Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii flexuosa,Globorotalia menardii & Globorotalia tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Turborotalita humilis & Berggrenia pumilio,Globigerinita uvula,Other ID,Other UnID
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,13.63,0,3.02,0,1,0,,0.13,0,40.77,0,0,0.07,0.54,0,11.69,7.39,0,0,0,19.14,0,1.14,,0,1.07,0,0,0,0,0.4,0,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.23,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,6.01,0,8.6,0,0.81,0,,0.32,0.81,17.21,0,2.27,0,0.97,0,14.94,8.28,0,0,0,33.12,0.32,1.62,,0,1.79,0,0,0,0,2.27,0.65,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,7.62,0,4.79,0,1.2,0,,0,0,35.13,0,1.2,0.6,0,0.3,8.97,4.78,0,0,0,29.75,0.15,0.75,,0,2.54,0,0,0.15,0,1.94,0.15,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,9.26,0,5.62,0,1.54,0,,0.66,0,19.96,0,0,0,0,0,18.52,5.51,0,0,0,31.97,0.11,2.09,,0,2.98,0,0,0,0.11,0.66,0.99,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,5.91,0,12.95,0,1.14,0,,0.68,0.23,20,0,0,0,0.45,0.91,17.73,1.82,0,0,0,31.59,0.23,2.5,,0,2.05,0,0,0,0.23,0.68,0.91,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,13.43,0,15.09,0,2.16,0,,1.33,0,27.53,0,0,0,0,0,16.25,2.82,0,0,0,10.95,0.17,1,,0,4.64,0,0,0,0.17,1.99,2.49,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,19.81,0.47,15.56,0,4.24,0,,1.89,1.42,21.23,0,0.47,0,0.47,0,8.96,0.47,0,0,0.47,11.79,0.47,1.89,,0,2.83,0,0,0.47,0,1.89,5.19,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,8.59,0,7.94,0,4.45,0,,0.54,0.22,38.59,0,0.98,0.87,0.22,0.43,11.52,3.7,0,0,0.11,8.8,0,5.54,,0,5.11,0,0,0,0,1.09,1.3,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,14.25,0,18.12,0,1.93,0,,2.66,0.48,27.29,0,1.45,0,0.24,0,5.31,1.21,0,0,0,15.7,0,6.52,,0,2.9,0,0,0,0,0.48,1.45,0,0,,0,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.63,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,10.93,0,4.96,0,0.67,0,,0.17,0.5,40.4,0,0.17,0.5,0,0.66,13.91,1.66,0,0,0.17,19.87,0,2.48,,0,1.49,0,0,0,0.17,0.17,1.16,0,0,,0,
GeoB1016-3,,-11.7705,11.6819,-3411,South Atlantic,0.73,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,13.63,0,2.2,0.26,1.03,0,,0,0.32,24.68,0.26,3.23,0.52,0.26,0.26,8.85,4.07,0,0,0,26.81,0,1.49,,0,7.88,0,0,0,0,1.36,2.91,0,0,,0,
GeoB1016-3,,-11.7705,11.6819,-3411,South Atlantic,0.78,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,8.67,0,7.81,0,10.69,0.87,,1.16,0,7.23,0,2.31,0.58,0.29,0,8.09,7.23,0,0,0,32.95,0,1.16,,0,1.73,0,0,3.18,0,4.05,2.02,0,0,,0,
GeoB1016-3,,-11.7705,11.6819,-3411,South Atlantic,0.88,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,21.29,0,10.55,0,0.98,0,,0.59,0,8.01,0,0.78,0.2,0,0.39,21.88,4.49,0,0,0,23.83,0,1.17,,0,1.76,0,0,0,0,1.17,2.93,0,0,,0,
