Latitude,Longitude,Sample depth - upper (m),Symbiosis,Spinose,Prop
84.0292,11.2383,0.14,Yes,No,0.007
84.0292,11.2383,0.15,Yes,No,0.001
82.3967,40.9083,3.1,Yes,No,0
82.3967,40.9083,3.3,Yes,No,0
82.3967,40.9083,3.5,Yes,No,0
82.0317,15.1908,0.73,Yes,No,0.001
82.0317,15.1908,0.79,Yes,No,0
81.759,-9.4355,0.17,Yes,No,0.001
81.759,-9.4355,0.27,Yes,No,0.006
81.759,-9.4355,0.61,Yes,No,0
81.759,-9.4355,0.83,Yes,No,0.001
81.535,30.5933,1.72,Yes,No,0
81.535,30.5933,1.92,Yes,No,0
81.535,30.5933,2.13,Yes,No,0
81.535,30.5933,2.23,Yes,No,0
81.3667,17.4717,0.3,Yes,No,0.003
81.3667,17.4717,0.4,Yes,No,0.006
81.2333,2.3817,3.89,Yes,No,0.004
81.2333,2.3817,3.95,Yes,No,0.003
81.2333,2.3817,3.97,Yes,No,0
79.6,-4.6077,0.5,Yes,No,0.001
79.6,-4.6077,0.52,Yes,No,0
79.6,-4.6077,0.56,Yes,No,0
78.8553,-4.7812,0.24,Yes,No,0
78.8553,-4.7812,0.26,Yes,No,0
77.46,4.58,0.3,Yes,No,0.008
76,8.3333,0.47,Yes,No,0
76,8.3333,0.53,Yes,No,0
76,8.3333,0.57,Yes,No,0
76,8.3333,0.58,Yes,No,0
76,8.3333,0.62,Yes,No,0
75.0003,-8.771,1.32,Yes,No,0
75.0003,-8.771,1.56,Yes,No,0
74.9967,-11.8267,0.23,Yes,No,0
74.9967,-11.8267,0.36,Yes,No,0
74.1767,-0.48,0.35,Yes,No,0.001
74.1767,-0.48,0.4,Yes,No,0
72.3797,-10.5923,1.2,Yes,No,0
72.2252,14.4273,2.6,Yes,No,0.002
72.183,8.583,2,Yes,No,0.006
72.151,11.4343,3.12,Yes,No,0.028
72.151,11.4343,3.15,Yes,No,0.028
72.151,11.4343,3.21,Yes,No,0.018
72.151,11.4343,3.25,Yes,No,0.018
72.151,11.4343,3.31,Yes,No,0.018
72.151,11.4343,3.35,Yes,No,0.018
72.151,11.4343,3.42,Yes,No,0.018
72.151,11.4343,3.46,Yes,No,0.027
72.151,11.4343,3.52,Yes,No,0.027
72.151,11.4343,3.56,Yes,No,0.027
72.151,11.4343,3.62,Yes,No,0.027
72.151,11.4343,3.65,Yes,No,0.027
72.151,11.4343,3.71,Yes,No,0.023
72.151,11.4343,3.75,Yes,No,0.023
72.151,11.4343,3.81,Yes,No,0.023
72.151,11.4343,3.85,Yes,No,0.018
72.151,11.4343,3.92,Yes,No,0.018
72.151,11.4343,3.96,Yes,No,0.009
72.151,11.4343,4,Yes,No,0.009
72.151,11.4343,4.11,Yes,No,0.009
72.151,11.4343,4.21,Yes,No,0
72.151,11.4343,4.3,Yes,No,0.019
72.151,11.4343,4.41,Yes,No,0.019
72.151,11.4343,4.5,Yes,No,0.019
72.151,11.4343,4.61,Yes,No,0.019
72.151,11.4343,4.71,Yes,No,0
72.151,11.4343,4.8,Yes,No,0.015
72.151,11.4343,4.91,Yes,No,0.015
72.151,11.4343,5,Yes,No,0.015
72.151,11.4343,5.11,Yes,No,0
72.151,11.4343,5.21,Yes,No,0.023
72.151,11.4343,5.3,Yes,No,0.023
72.151,11.4343,5.41,Yes,No,0.023
72.151,11.4343,5.5,Yes,No,0.009
72.1117,7.3883,1.4,Yes,No,0.004
72.1117,7.3883,1.45,Yes,No,0.006
72.1117,7.3883,1.47,Yes,No,0
72.1117,7.3883,1.5,Yes,No,0.003
72.1117,7.3883,1.55,Yes,No,0.014
72.1117,7.3883,1.57,Yes,No,0.001
71.4967,-17.1483,0.72,Yes,No,0
71.4967,-17.1483,0.8,Yes,No,0
71.4967,-17.1483,0.9,Yes,No,0
70.3622,-18.2053,0.6,Yes,No,0.005
70.3315,-10.6288,0.8,Yes,No,0
70.1165,-17.6943,0.9,Yes,No,0
68.8417,-20.825,0.83,Yes,No,0
68.8417,-20.825,0.94,Yes,No,0
68.8417,-20.825,1,Yes,No,0
68.5017,3.8383,0.3,Yes,No,0.007
68.5017,3.8383,0.35,Yes,No,0
68.495,0.8317,0.3,Yes,No,0.002
68.495,0.8317,0.32,Yes,No,0
68.495,0.8317,0.34,Yes,No,0.001
68.033,-6.117,0.6,Yes,No,0
68.033,-6.117,0.7,Yes,No,0
68.033,-6.117,0.8,Yes,No,0
67.8667,-21.765,1.13,Yes,No,0.001
67.8667,-21.765,1.17,Yes,No,0
67.085,2.9083,1.17,Yes,No,0.002
67.085,2.9083,1.18,Yes,No,0
67.085,2.9083,1.2,Yes,No,0
67.085,2.9083,1.28,Yes,No,0
67.085,2.9083,1.29,Yes,No,0
67.085,2.9083,1.3,Yes,No,0
67.085,2.9083,1.32,Yes,No,0.002
67.085,2.9083,1.34,Yes,No,0.001
67.085,2.9083,1.36,Yes,No,0
67.085,2.9083,1.38,Yes,No,0
67.085,2.9083,1.41,Yes,No,0
67.085,2.9083,1.43,Yes,No,0.001
67.085,2.9083,1.45,Yes,No,0.003
67.085,2.9083,1.47,Yes,No,0.005
67.085,2.9083,1.49,Yes,No,0
67.085,2.9083,1.53,Yes,No,0.001
67.085,2.9083,1.55,Yes,No,0.001
67.085,2.9083,1.57,Yes,No,0.001
67.085,2.9083,1.59,Yes,No,0
67.085,2.9083,1.61,Yes,No,0
67.085,2.9083,1.62,Yes,No,0
67.085,2.9083,1.64,Yes,No,0.002
66.9697,7.6393,10.41,Yes,No,0.043
66.9697,7.6393,10.46,Yes,No,0.028
66.9697,7.6393,10.52,Yes,No,0.05
66.9697,7.6393,10.56,Yes,No,0.087
66.9697,7.6393,10.62,Yes,No,0.035
66.9697,7.6393,10.66,Yes,No,0.022
66.9697,7.6393,10.71,Yes,No,0.015
66.9697,7.6393,10.77,Yes,No,0.031
66.9697,7.6393,10.81,Yes,No,0.046
66.9697,7.6393,10.87,Yes,No,0.023
66.9697,7.6393,10.91,Yes,No,0.038
66.9697,7.6393,10.96,Yes,No,0.035
66.9697,7.6393,11.02,Yes,No,0.021
66.9697,7.6393,11.06,Yes,No,0.032
66.9697,7.6393,11.12,Yes,No,0
66.9697,7.6393,11.16,Yes,No,0.011
66.9697,7.6393,11.21,Yes,No,0.005
66.9697,7.6393,11.27,Yes,No,0
66.9697,7.6393,11.31,Yes,No,0.02
66.9697,7.6393,11.37,Yes,No,0.022
66.9697,7.6393,11.77,Yes,No,0.012
66.9697,7.6393,11.87,Yes,No,0.053
66.9697,7.6393,11.91,Yes,No,0.058
66.9697,7.6393,11.96,Yes,No,0.084
66.9697,7.6393,12.21,Yes,No,0.043
66.9697,7.6393,12.4,Yes,No,0.037
66.9697,7.6393,12.61,Yes,No,0.061
66.9697,7.6393,12.8,Yes,No,0.038
66.9697,7.6393,13.01,Yes,No,0.021
66.9697,7.6393,13.21,Yes,No,0.073
66.9697,7.6393,13.4,Yes,No,0.067
66.9697,7.6393,13.61,Yes,No,0.023
66.9697,7.6393,13.8,Yes,No,0.073
66.9697,7.6393,14.21,Yes,No,0.078
66.9697,7.6393,14.4,Yes,No,0.122
66.9697,7.6393,14.61,Yes,No,0.112
66.9697,7.6393,14.8,Yes,No,0.06
66.9697,7.6393,15.01,Yes,No,0.054
66.6667,4.905,2.06,Yes,No,0
66.6667,4.905,2.1,Yes,No,0.017
66.6667,4.905,2.22,Yes,No,0.001
66.6667,4.905,2.32,Yes,No,0.001
66.6667,4.905,2.42,Yes,No,0
66.6667,4.905,2.52,Yes,No,0
66.6667,4.905,2.62,Yes,No,0.011
66.6667,4.905,2.71,Yes,No,0.004
66.6667,4.905,2.81,Yes,No,0.005
66.6667,4.905,2.91,Yes,No,0
66.6667,4.905,3.01,Yes,No,0
66.6667,4.905,3.11,Yes,No,0.001
66.6667,4.905,3.21,Yes,No,0
66.6667,4.905,3.31,Yes,No,0.004
66.6667,4.905,3.51,Yes,No,0.007
66.6667,4.905,3.71,Yes,No,0
66.6667,4.905,3.91,Yes,No,0.008
66.6667,4.905,3.93,Yes,No,0
66.6667,4.905,3.95,Yes,No,0
66.6667,4.905,4.11,Yes,No,0.004
66.6667,4.905,4.17,Yes,No,0
66.6,1.117,0.6,Yes,No,0.003
66.6,1.117,0.7,Yes,No,0
64.7973,-29.5958,0.68,Yes,No,0.003
64.7973,-29.5958,0.78,Yes,No,0
64.7973,-29.5958,0.88,Yes,No,0
64.783,-29.57,1.6,Yes,No,0
64.783,-29.57,1.7,Yes,No,0.003
62.6485,-53.8845,2.23,Yes,No,0
62.6485,-53.8845,2.35,Yes,No,0
62.6485,-53.8845,2.68,Yes,No,0
62.6485,-53.8845,3.03,Yes,No,0
62.6485,-53.8845,3.14,Yes,No,0
61.8725,-11.1787,0.1,Yes,No,0.006
61.8725,-11.1787,0.6,Yes,No,0
61.8725,-11.1787,0.7,Yes,No,0
61.8725,-11.1787,0.82,Yes,No,0
61.8725,-11.1787,1.02,Yes,No,0.003
61.8725,-11.1787,1.2,Yes,No,0.003
61.8725,-11.1787,1.6,Yes,No,0.005
61.8722,-11.2423,3.3,Yes,No,0
61.8722,-11.2423,3.5,Yes,No,0
61.8722,-11.2423,3.6,Yes,No,0
61.8722,-11.2423,3.7,Yes,No,0
61.8722,-11.2423,3.8,Yes,No,0.003
61.8722,-11.2423,3.9,Yes,No,0
61.8722,-11.2423,3.98,Yes,No,0.001
61.8722,-11.2423,4.02,Yes,No,0
61.8722,-11.2423,4.1,Yes,No,0
61.8722,-11.2423,4.2,Yes,No,0
61.8722,-11.2423,4.3,Yes,No,0
61.8722,-11.2423,4.4,Yes,No,0
61.8722,-11.2423,4.5,Yes,No,0
61.8722,-11.2423,4.6,Yes,No,0
61.8722,-11.2423,4.7,Yes,No,0
61.8722,-11.2423,4.8,Yes,No,0
61.8722,-11.2423,4.9,Yes,No,0
61.8722,-11.2423,4.98,Yes,No,0.003
61.8722,-11.2423,5.02,Yes,No,0
61.8722,-11.2423,5.1,Yes,No,0
61.8722,-11.2423,5.2,Yes,No,0.001
61.8722,-11.2423,5.3,Yes,No,0.001
61.8722,-11.2423,5.4,Yes,No,0
59.5217,-39.445,0.21,Yes,No,0.002
59.5217,-39.445,0.23,Yes,No,0.004
59.4693,-23.2427,0.44,Yes,No,0.002
59.4693,-23.2427,0.48,Yes,No,0.005
59.1862,-30.9048,1,Yes,No,0.003
59.1862,-30.9048,1.05,Yes,No,0.002
59.1862,-30.9048,1.1,Yes,No,0.002
59.1862,-30.9048,1.15,Yes,No,0.002
59.1862,-30.9048,1.2,Yes,No,0.004
59.1862,-30.9048,1.21,Yes,No,0.002
59.1862,-30.9048,1.22,Yes,No,0
59.1862,-30.9048,1.23,Yes,No,0.001
59.1862,-30.9048,1.24,Yes,No,0.001
59.1862,-30.9048,1.25,Yes,No,0.003
59.1862,-30.9048,1.26,Yes,No,0.004
59.1862,-30.9048,1.27,Yes,No,0.004
59.1862,-30.9048,1.28,Yes,No,0.008
59.1862,-30.9048,1.29,Yes,No,0.053
59.1862,-30.9048,1.3,Yes,No,0.064
59.1862,-30.9048,1.31,Yes,No,0.067
59.1862,-30.9048,1.32,Yes,No,0.005
59.1862,-30.9048,1.33,Yes,No,0.005
59.1862,-30.9048,1.34,Yes,No,0.003
59.1862,-30.9048,1.35,Yes,No,0.003
58.6288,-19.4349,0.36,Yes,No,0.036
