Model,Land Mean,Ocean Mean,Land Std,Ocean Std
CCSM4,-5.28,-3.80,0.03,0.01
CNRM-CM5,-2.77,-2.01,0.02,0.02
COSMOS-aso,-5.90,-5.15,0.06,0.05
FGOALS-g2,-5.43,-4.73,0.02,0.01
GISS-E2-R-p150,-7.19,-3.95,0.02,0.01
GISS-E2-R-p151,-7.49,-4.32,0.02,0.01
IPSL-CM5A-LR,-5.13,-3.97,0.03,0.02
MIROC-ESM-CMIP5,-5.99,-4.85,0.03,0.02
MPI-ESM-P-p2,-4.93,-3.29,0.03,0.02
MPI-ESM-P-p1,-5.57,-3.47,0.03,0.02
MRI-CGCM3,-4.52,-3.50,0.02,0.02
AWI-ESM-1-1-LR,-3.42,-2.50,0.03,0.01
AWI-ESM-2-1-LR,-3.44,-2.26,0.04,0.02
CESM1.2,-6.53,-5.16,0.03,0.02
HadCM3-PMIP3,-7.81,-6.52,0.02,0.02
HadCM3-ICE6GC,-6.56,-4.82,0.02,0.01
HadCM3-GLAC1D,-6.77,-5.34,0.02,0.01
iLOVECLIM-ICE-6G,-3.14,-2.78,0.03,0.01
iLOVECLIM-GLAC1D,-3.04,-2.80,0.03,0.01
INM-CM4-8,-4.91,-3.57,0.02,0.02
IPSLCM5A2,-5.35,-4.05,0.02,0.01
MIROC-ES2L,-4.54,-3.49,0.03,0.02
MPI-ESM-1.2,-4.27,-2.58,0.03,0.02
UoT-CCSM4,-4.95,-3.88,0.02,0.01
