species,LGM_Topt_mean,PI_Topt_mean,LGM_Topt_sd,PI_Topt_sd,LGM_Topt_min,PI_Topt_min,LGM_Topt_max,PI_Topt_max,Topt_mean_diff
B. digitata,23.017654415404724,25.01937835735394,1.0969416754926904,3.4236908187312523,20.754139799296983,18.68977165222168,26.35982557593532,29.247291564941406,2.0017239419492157
C. nitida,23.40260302295608,27.609399828283102,0.7568792435599575,0.7345361879782105,22.76316725569235,26.40686416625977,26.35982557593532,29.290630340576172,4.2067968053270235
G. bulloides,10.938016483891882,14.324539160791046,0.8787002759025375,4.284556569710968,9.565031928352084,6.119327545166016,12.236579629358577,19.677656173706055,3.3865226768991636
G. calida,24.627243198427003,28.745466931031483,0.6057940271165579,0.276359409527286,23.82169692574999,28.294986724853516,25.983649715494057,29.290630340576172,4.118223732604481
G. conglobatus,26.0565556301158,26.262695396931534,0.17949043743726822,1.7450398262267177,25.919579621620812,21.866668701171875,26.35982557593532,29.290630340576172,0.20613976681573476
G. conglomerata,25.938336610050087,28.530791354733843,0.23010961310633796,0.33334391650046336,25.63889253246127,28.14303398132324,26.35982557593532,29.290630340576172,2.5924547446837565
G. crassaformis,22.4318274132847,22.67098378982788,1.265493356037009,1.280127827155958,19.16423529526956,20.247692108154297,24.59653765189613,24.677602767944336,0.23915637654317834
G. cultrata,25.931281019762455,27.685381086786503,0.25393983210270454,0.5291380375398339,25.683394164873484,26.78487968444824,26.190869272793066,28.757993698120117,1.7541000670240479
G. falconensis,14.826363042292964,17.89985786784779,2.352353938247546,1.3546825245770064,12.502130750142443,15.009075164794922,20.567692209276256,20.05001449584961,3.0734948255548247
G. glutinata,25.02773264205295,26.42853910941391,0.5218014772770752,1.1054854607496198,24.37105621626761,25.24701690673828,26.35982557593532,29.290630340576172,1.4008064673609617
G. hexagonus,25.36719114000396,27.90800146886096,0.38676584170661593,0.5836171840657797,24.83822408430376,27.004772186279297,26.190869272793066,29.290630340576172,2.540810328856999
G. hirsuta,17.657234637857897,19.104909807123164,0.9693756583916763,1.3282997595026969,15.931724540454042,16.911758422851562,19.477670730923325,21.761207580566406,1.447675169265267
G. inflata,17.932359732478258,18.804878774315416,1.1473467547622387,1.4198738363405343,15.931724540454042,16.09259796142578,19.764574710359092,21.551443099975582,0.8725190418371582
G. ruber albus,19.415898078068707,23.247319560856013,2.221480679407723,1.425395644186337,16.22051365309356,20.48887634277344,22.8532893368351,25.353614807128903,3.831421482787306
G. ruber ruber,22.756796940283202,26.504107678441347,0.5135169304291263,0.870713636190268,21.478513917245735,24.675981521606445,23.486623685581424,28.06018447875977,3.747310738158145
G. rubescens,20.16415469683684,25.02087207550698,0.8530946439912235,3.703057084671127,18.820446933442533,17.17654800415039,21.398194409681548,29.290630340576172,4.85671737867014
G. scitula,13.810036761826456,18.36689922338268,0.770094841005177,1.2008752536782017,12.67508552801515,15.953645706176758,15.28434567393262,20.543729782104492,4.556862461556225
G. siphonifera,26.275347424364192,28.98097953796387,0.1194701476760991,0.15818853420772877,26.190869272793066,28.741819381713867,26.35982557593532,29.290630340576172,2.705632113599677
G. tenellus,25.269113125235496,25.967343782824138,0.4577499859512453,1.2332053876975198,24.69762578160064,22.92915916442871,26.35982557593532,27.6954288482666,0.6982306575886419
G. truncatulinoides,21.02163579716689,17.78066744082335,4.0589179883620625,3.0967559707760834,9.565031928352084,11.156996726989746,23.52985618215863,22.856388092041016,-3.24096835634354
G. tumida,25.931281019762455,27.77551505283157,0.25393983210270454,0.6451679226287675,25.683394164873484,26.706974029541016,26.190869272793066,29.284605026245117,1.8442340330691138
N. dutertrei,22.439847850401975,23.91403380282584,0.892837739366456,1.1396617971739842,20.019428752668944,21.747352600097656,26.35982557593532,25.58248519897461,1.4741859524238663
N. incompta,15.668696502803517,12.781694479436684,0.8273311287844043,2.306552125260521,14.307510387124964,8.634488105773926,17.214834789174482,16.57533836364746,-2.8870020233668328
N. pachyderma,2.5842696729360597,2.700190253330455,3.5409732886599756,1.9684576450317948,-1.813580669724445,-1.7999944686889648,8.777327221501704,5.930688381195068,0.11592058039439523
O. universa,22.98856192138466,16.23919302550637,0.5906806741643557,1.4897509046957729,21.648050977040626,13.279325485229492,24.430838919570668,18.21771240234375,-6.749368895878291
P. obliquiloculata,26.01753468473086,29.14864398411342,0.19366410834395528,0.08594148734436079,25.783409012421224,29.047550201416016,26.35982557593532,29.290630340576172,3.131109299382558
S. dehiscens,25.75599698847157,28.892584676327914,0.2729672096068828,0.1991482663832125,25.466991548649737,28.57799911499023,26.35982557593532,29.290630340576172,3.136587687856345
T. humilis,20.443548884486304,18.580680429118953,1.7059132643818935,1.2724546546592388,18.046291168124178,16.072967529296875,26.190869272793066,20.971982955932617,-1.8628684553673516
T. quinqueloba,13.273638308839713,5.8126443812721655,0.9255181895083849,0.9360377479897718,10.651435648707151,4.069669723510742,14.396490154603828,7.204169750213623,-7.460993927567547
T. sacculifer,24.26039980063867,26.86760480912755,0.7434693511436781,0.907429407113486,23.34609001890322,25.114599227905273,25.983649715494057,28.480697631835938,2.6072050084888794
