,dbn,dbs,dsn,dss,dsst,dsal,dpo4,dchl,dfe
40,5.492756e-10,3.1596257e-11,2.1590653e-10,4.2916226e-12,0.3325578,0.56211853,8.233054e-07,0.43646443,-1.7563223e-10
51,2.3481425e-10,1.16825325e-11,7.807292e-11,4.7494316e-13,0.22814703,0.22810364,5.5041323e-07,0.511365,-2.2003427e-10
53,1.1310265e-09,5.3558696e-11,3.7754827e-10,1.153817e-11,0.5028095,0.4596138,4.78364e-07,0.482012,-2.633313e-10
54,8.755068e-10,4.3351347e-11,3.0229455e-10,8.939294e-12,0.47321367,0.6876068,4.8326046e-07,0.6254502,-2.8841024e-10
72,0.14698227,1.3079765e-09,0.04719107,4.7045e-11,2.0024128,0.73885345,1.088597e-06,-0.15099451,-1.4943602e-12
73,0.10097831,2.0742361e-09,0.003205368,3.766152e-11,1.3832453,0.35947418,7.738187e-07,0.076345354,-8.926593e-11
74,0.14003135,1.4048773e-09,0.048045855,3.9663814e-11,2.535458,0.4056778,9.1670887e-07,-0.16097173,-2.859607e-11
75,0.12596478,1.708693e-09,0.03876621,3.3562018e-11,2.8104086,0.39728546,9.714513e-07,-0.18878037,-1.2082668e-11
76,0.11809828,1.5692527e-09,0.034762997,2.9557946e-11,3.1768875,0.31786346,8.901204e-07,-0.18129843,-3.637768e-11
77,0.10491113,1.0690822e-09,0.025528772,2.54307e-11,3.6251628,0.28027725,8.4607825e-07,-0.0964596,-4.8181237e-11
78,0.09492076,1.8634165e-09,0.014012444,3.025319e-11,3.3565967,0.2621193,8.643841e-07,-0.12013924,-5.1285365e-11
79,0.09197518,1.4591164e-09,0.009401467,2.9920434e-11,3.1902795,0.23989105,8.741758e-07,-0.14053646,-5.389239e-11
80,0.11721613,1.2496946e-09,0.030283306,2.9085253e-11,2.7481549,0.23022842,9.018472e-07,-0.14627224,-5.7465754e-11
81,0.123325676,1.3937553e-09,0.034393683,3.2383603e-11,2.5882483,0.23229218,8.47016e-07,-0.20038253,-8.228923e-11
82,0.11837756,2.3690898e-09,0.03023548,3.3070123e-11,2.4126506,0.19319153,7.6696693e-07,-0.13759494,-1.0863871e-10
83,0.11736293,2.2766977e-09,0.028774368,4.0024133e-11,2.3941479,0.15394211,6.78757e-07,-0.11443508,-1.3072027e-10
84,0.11508247,2.1762119e-09,0.026094047,3.5614615e-11,2.3533442,0.10889053,6.1611564e-07,-0.091098666,-1.3869544e-10
85,0.11523662,2.253816e-09,0.02619445,3.9606603e-11,2.3555949,0.06710434,5.56047e-07,-0.19640714,-1.433611e-10
86,0.11341979,2.4470395e-09,0.025918057,3.9839305e-11,2.6021903,0.06914902,5.4793327e-07,-0.20374683,-1.3612661e-10
87,0.1050899,2.3531257e-09,0.02084343,3.8774883e-11,3.0619988,0.10033417,5.736272e-07,-0.17938039,-1.1928852e-10
88,0.09690157,2.4359423e-09,0.017034376,3.8165093e-11,3.6787608,0.1643982,5.8446415e-07,0.008226454,-1.06910314e-10
89,0.086826675,1.9716517e-09,0.011143936,3.2483616e-11,4.321157,0.24072266,5.472072e-07,-0.17388046,-1.1068596e-10
90,0.06794107,2.067001e-09,2.204409e-08,3.6638952e-11,4.388352,0.29492188,4.6672835e-07,-0.066536635,-1.4065632e-10
91,0.09600172,2.8402698e-09,0.0146649415,4.181371e-11,3.3883023,0.25302124,5.848867e-07,-0.056416154,-1.3129997e-10
92,0.1067825,2.0318576e-09,0.021406958,4.674571e-11,3.0861704,0.4662285,5.036937e-07,0.020138234,-2.5535296e-10
93,0.092058025,1.936314e-09,0.00013072096,4.3985298e-11,2.119109,0.505291,5.3690104e-07,0.14049149,-2.8962377e-10
94,1.02879145e-08,7.166903e-10,1.027578e-09,2.3373628e-11,1.1691048,0.4664383,2.9237913e-07,0.17190677,-4.2626536e-10
95,2.1883424e-09,2.2497976e-10,4.4436138e-10,1.5359406e-11,0.7723768,0.38051224,8.572067e-08,0.34983426,-5.138495e-10
96,1.3723604e-09,1.5771434e-10,3.1717218e-10,1.2664356e-11,0.6229826,0.30587387,2.3359462e-08,0.36718875,-5.0412924e-10
97,1.6502182e-09,1.5806424e-10,4.0149994e-10,1.7119329e-11,0.54664195,0.2669983,4.6171635e-09,0.32706568,-4.6002574e-10
98,2.3364015e-09,2.0282095e-10,5.0832943e-10,1.9546443e-11,0.6099328,0.27841568,2.651825e-08,0.20093974,-4.1274784e-10
99,1.8170824e-09,2.2759004e-10,3.6706937e-10,1.2853938e-11,0.7942176,0.34942245,3.1971922e-08,0.12702444,-3.898566e-10
100,2.967395e-09,3.277662e-10,5.0434623e-10,1.5333543e-11,0.9076023,0.3513031,6.846233e-08,0.03986594,-3.4104997e-10
101,4.705428e-09,3.3468583e-10,8.058759e-10,2.3235342e-11,0.78949517,0.40805817,9.088535e-08,0.22379628,-3.3298847e-10
102,3.1974878e-09,2.2290947e-10,6.164038e-10,2.165704e-11,0.6592065,0.51413345,2.4778126e-07,0.18772104,-2.9901714e-10
103,6.365425e-09,5.225078e-10,8.263936e-10,1.9475062e-11,0.97839963,0.98475266,4.94269e-07,0.049601644,-2.620532e-10
104,0.0012504403,1.0888886e-09,1.5987527e-09,2.4210777e-11,1.410701,0.8997307,6.9742583e-07,0.16739082,-1.762509e-10
105,0.044994093,1.3364934e-09,2.908026e-09,3.7200836e-11,1.2668408,0.94293976,8.036936e-07,0.040033907,-1.3715373e-10
106,0.029168893,1.302573e-09,2.6112856e-09,2.9038404e-11,1.5796878,1.1439438,1.1122393e-06,0.020338446,-4.3122617e-11
107,0.17417286,1.0078312e-09,0.06546861,5.460765e-11,1.8030286,0.8993416,1.1224117e-06,-0.011039138,-1.0709322e-11
108,0.049159385,0.046537768,0.10044126,5.1298403e-11,6.2868996,0.030658722,-4.7618983e-08,-0.028040588,-2.793747e-10
109,-0.025461957,0.042354994,0.026199736,3.5185625e-11,6.1361523,-0.07183838,-2.6836494e-07,-0.011476904,-3.4486608e-10
110,-0.034489676,0.031535428,0.015020579,3.3629894e-11,6.323044,-0.06750107,-2.5639565e-07,-0.01479432,-3.4049288e-10
111,-0.027079001,0.04070339,0.018303826,3.836673e-11,6.2660904,-0.07249069,-2.5375755e-07,-0.01638946,-3.4668476e-10
112,-0.030191809,0.038185995,0.013722226,3.972623e-11,6.289814,-0.06607056,-2.4410713e-07,-0.0075442493,-3.4841602e-10
113,-0.03674072,0.02508118,0.005982265,3.6941946e-11,6.2641263,-0.048316956,-1.8219811e-07,-0.0047283173,-3.326654e-10
114,-0.030515805,0.011303337,0.0060166344,3.1254384e-11,5.5819407,-0.048721313,1.2810801e-09,0.00015464425,-2.884102e-10
115,-0.021295458,0.024173692,0.012607835,3.4305007e-11,5.596814,-0.03691101,9.206599e-08,-0.04266286,-2.6181166e-10
116,-0.014260769,0.04422719,0.020417713,3.6827003e-11,5.670829,-0.015850067,1.4411484e-07,-0.00867945,-2.4849234e-10
117,-0.029153302,0.053949222,0.015432,3.7540727e-11,6.2035894,0.02017212,1.1500674e-07,-0.006861955,-2.5555014e-10
118,-0.023054957,0.05617201,0.027956277,4.3448568e-11,6.735858,0.028305054,4.415108e-08,0.0021778047,-2.7266114e-10
