,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,lat,upwelling,stratification
37,1.1665793e-10,4.3260836e-11,2.8549245e-11,9.661833e-12,-1.5861602,34.163136,9.785118e-07,0.08446091,2.5071956e-10,79.350815,66.44353539051718,1,3.8156992e-07
38,1.1649666e-10,4.3703395e-11,3.0282245e-11,1.0315777e-11,-1.5005181,34.15585,9.857081e-07,0.08360204,2.538198e-10,80.84517,66.44353539051718,1,1.859611e-07
39,1.6425253e-10,6.1390615e-11,4.0636574e-11,2.0013217e-11,-1.3810756,34.233433,9.623838e-07,0.11020484,2.4679425e-10,91.83465,66.44353539051718,1,9.4126705e-08
40,2.5867417e-10,1.0043561e-10,5.6942555e-11,3.2518842e-11,-1.0267342,34.295685,1.0285337e-06,0.16868052,2.6552613e-10,86.035576,66.44353539051718,1,7.7647394e-07
41,6.1133667e-09,2.7519937e-09,1.3401716e-10,7.199095e-11,0.15222652,34.509365,1.3917944e-06,0.24810292,3.5994774e-10,187.78058,66.44353539051718,1,5.918421e-07
42,4.2419286e-09,1.8522729e-09,1.237814e-10,6.78013e-11,0.1665009,34.564217,1.4922861e-06,0.2304289,3.8016007e-10,262.68478,66.44353539051718,1,1.4552256e-07
43,2.607035e-09,1.0929787e-09,1.1044347e-10,6.213967e-11,-0.015411016,34.5831,1.5660836e-06,0.21624148,3.9217696e-10,314.88797,66.44353539051718,1,-1.7793809e-07
44,1.1310932e-08,4.865806e-09,1.3668001e-10,7.6808976e-11,-0.50311273,34.56528,1.6728005e-06,0.27953112,4.222487e-10,109.27447,66.44353539051718,1,-1.0474182e-06
45,4.739028e-10,1.7425286e-10,5.969086e-11,3.185055e-11,-1.0471932,34.511578,1.573168e-06,0.16437726,3.8692463e-10,90.313805,66.44353539051718,1,-6.413275e-07
46,2.405229e-10,8.579313e-11,4.2904787e-11,1.809266e-11,-1.3201709,34.4728,1.5343348e-06,0.13382351,3.7365627e-10,97.83089,66.44353539051718,1,-4.4197986e-07
47,2.2411031e-10,8.017031e-11,4.1024628e-11,1.6882964e-11,-1.3828483,34.454693,1.5127662e-06,0.12964574,3.678962e-10,99.362404,66.44353539051718,1,-3.2741065e-07
48,1.9408568e-10,6.8076454e-11,3.6063114e-11,1.2829882e-11,-1.435631,34.44024,1.510155e-06,0.11172002,3.664814e-10,98.78675,66.44353539051718,1,-3.7492237e-07
49,1.8076726e-10,6.359319e-11,3.5189813e-11,1.2330111e-11,-1.4584264,34.42498,1.4777584e-06,0.10657063,3.5754263e-10,85.95021,66.44353539051718,1,-2.2279664e-07
50,2.1513229e-10,7.632269e-11,4.0689594e-11,1.753872e-11,-1.3801662,34.43441,1.489842e-06,0.12039333,3.6162923e-10,90.32811,66.44353539051718,1,-2.3137238e-07
51,3.573035e-10,1.3062043e-10,5.0572456e-11,2.517603e-11,-1.2376733,34.4523,1.49587e-06,0.15069917,3.6576311e-10,109.493286,66.44353539051718,1,-1.710431e-07
52,4.1493237e-10,1.5032747e-10,6.150457e-11,3.5125125e-11,-1.0390362,34.475704,1.4845874e-06,0.15797877,3.6302134e-10,131.90741,66.44353539051718,1,9.185567e-08
53,3.9128767e-09,2.0030921e-09,1.194532e-10,7.022487e-11,-0.6081197,34.520203,1.5820351e-06,0.26679376,3.9646203e-10,114.376236,66.44353539051718,1,2.4028532e-07
54,9.078867e-10,3.4814904e-10,7.2173136e-11,3.6373366e-11,-0.46751222,34.54438,1.5042857e-06,0.19609112,3.7217265e-10,346.87894,66.44353539051718,1,-5.1473774e-07
55,3.4670916e-10,1.2587315e-10,5.7956622e-11,3.2809692e-11,-1.0155689,34.49827,1.4204803e-06,0.16644402,3.4656464e-10,126.86328,66.44353539051718,0,-7.4231644e-07
56,1.5715708e-10,5.47351e-11,3.262787e-11,1.10172965e-11,-1.5185578,34.425198,1.3631509e-06,0.094853655,3.3208278e-10,92.83648,66.44353539051718,0,-3.6344585e-07
57,7.473038e-11,1.8730125e-11,1.6366188e-11,6.974194e-21,-1.7685024,34.387608,1.4563832e-06,8.6298417e-07,3.6397133e-10,92.5464,66.44353539051718,1,-1.0095424e-07
58,5.6319685e-11,1.4352879e-11,2.7320713e-13,1.1112258e-32,-1.8079097,34.39326,1.5765839e-06,9.059269e-08,4.095397e-10,91.76969,66.44353539051718,1,-8.291492e-08
59,5.1032407e-11,1.4134608e-11,1.2481006e-12,5.95701e-32,-1.812416,34.397835,1.605435e-06,6.4171445e-08,4.2965217e-10,95.48384,66.44353539051718,0,1.1050169e-07
60,5.0446463e-11,1.3980136e-11,1.3336279e-11,1.4998122e-12,-1.808465,34.408646,1.6112243e-06,6.190922e-08,4.4029153e-10,78.80572,66.44353539051718,1,-1.0478149e-07
61,0.0,0.0,0.0,0.0,-1.8169953,34.415394,1.6684314e-06,1.8362373e-08,4.6574894e-10,81.23684,66.44353539051718,0,-1.3558856e-07
62,0.0,0.0,4e-45,0.0,-1.8181014,34.422016,1.7083763e-06,1.8734763e-08,4.8160315e-10,81.43884,66.44353539051718,1,-1.5966216e-07
63,0.0,0.0,0.0,0.0,-1.821318,34.41993,1.7418022e-06,1.9393415e-08,4.936997e-10,81.17889,66.44353539051718,1,-2.2908355e-07
64,1.9054721e-33,0.0,5.6557423e-15,0.0,-1.824199,34.4245,1.7573894e-06,2.0862744e-08,4.9540105e-10,96.99507,66.44353539051718,1,-2.8435096e-07
65,6.6519776e-11,2.4248589e-27,2.5656238e-13,3.718279e-16,-1.8228941,34.423862,1.7703906e-06,2.3512325e-08,4.961002e-10,94.41234,66.44353539051718,1,-3.3623053e-07
66,5.6661453e-11,1.7766014e-11,1.9212038e-13,2.536554e-27,-1.8191688,34.405613,1.7536372e-06,2.6317759e-08,4.879068e-10,99.26661,66.44353539051718,0,-1.2873981e-07
67,6.5278866e-11,1.6499925e-11,1.2099851e-11,1.1645053e-35,-1.791377,34.38802,1.6675978e-06,1.2435915e-07,4.5726226e-10,104.475136,66.44353539051718,1,-1.0762096e-07
68,7.7202716e-11,1.9868301e-11,1.927998e-11,2.7589116e-12,-1.7720653,34.363903,1.5604799e-06,0.0002021076,4.2063747e-10,84.14746,66.44353539051718,1,-2.9388457e-07
69,1.00562204e-10,2.8887078e-11,2.2392432e-11,5.4325927e-12,-1.7499781,34.34854,1.453997e-06,0.036801852,3.8581058e-10,80.4717,66.44353539051718,1,-1.2168026e-07
70,1.12449744e-10,3.641308e-11,2.2675601e-11,3.777879e-12,-1.6932355,34.31727,1.3335712e-06,0.05785883,3.4808154e-10,90.12109,66.44353539051718,0,-3.6595299e-07
72,0.050769787,4.4559536e-05,2.124906e-10,1.1132522e-10,2.1748564,34.5481,1.461554e-06,0.3167387,4.0389853e-10,183.10187,59.44156799225373,1,-6.381722e-07
73,0.03403173,2.339962e-08,2.1464998e-10,1.0884704e-10,2.490536,34.582073,1.4202138e-06,0.30263335,3.9283024e-10,208.80072,59.44156799225373,1,-1.9861332e-06
74,0.03203136,2.5088147e-08,2.2914631e-10,1.121868e-10,3.1041603,34.616467,1.390491e-06,0.29238102,3.8642725e-10,214.3843,59.44156799225373,1,-8.759855e-07
75,0.02934351,2.5617663e-08,2.462995e-10,1.16287785e-10,3.8405535,34.645794,1.3459735e-06,0.2790757,3.7756312e-10,222.22386,59.44156799225373,1,-6.7003515e-07
76,0.022782583,2.6242244e-08,2.6546076e-10,1.1869719e-10,4.463937,34.676033,1.3200203e-06,0.26817146,3.7336742e-10,236.8379,59.44156799225373,1,-4.0195562e-07
77,0.014941924,2.2596089e-08,2.7199706e-10,1.1951669e-10,5.010319,34.69856,1.3082408e-06,0.2605782,3.7164652e-10,251.41583,59.44156799225373,1,-1.3538283e-07
78,0.016924482,2.2338188e-08,2.6947455e-10,1.1964094e-10,4.9452834,34.700058,1.3318539e-06,0.26063275,3.748868e-10,247.1534,59.44156799225373,1,-1.650369e-08
79,0.018758645,2.0537616e-08,2.5440275e-10,1.1762895e-10,4.540576,34.693657,1.3649108e-06,0.26524287,3.7848338e-10,240.65779,59.44156799225373,1,-1.6748396e-07
80,0.02708337,2.2553625e-08,2.3869517e-10,1.1485697e-10,3.7240567,34.671837,1.4131225e-06,0.27981952,3.828315e-10,223.72737,59.44156799225373,1,-1.8681169e-07
81,0.03532441,2.213014e-08,2.2024721e-10,1.1190854e-10,2.870564,34.637436,1.4364518e-06,0.29694664,3.7918313e-10,197.1797,59.44156799225373,1,-1.8126946e-07
82,0.040965606,2.1928594e-08,2.1246856e-10,1.1096944e-10,2.4675553,34.614395,1.4549266e-06,0.3101964,3.787265e-10,184.22589,59.44156799225373,1,-2.2167444e-07
83,0.041898653,2.1754122e-08,2.1094301e-10,1.1092275e-10,2.406679,34.6027,1.4488983e-06,0.31339273,3.7518483e-10,182.15352,59.44156799225373,1,-1.8930893e-07
84,0.039317682,1.9040284e-08,2.0531418e-10,1.09181615e-10,2.2221239,34.590736,1.4520235e-06,0.3131293,3.7427378e-10,182.71832,59.44156799225373,1,-2.2331187e-07
85,0.03310166,1.6412278e-08,2.0108308e-10,1.07345806e-10,2.1706762,34.585613,1.4529086e-06,0.30346102,3.7367476e-10,191.74599,59.44156799225373,1,-2.6356201e-07
86,0.02895707,1.7047189e-08,2.0395209e-10,1.06749026e-10,2.2959452,34.589848,1.4542682e-06,0.30419567,3.743364e-10,202.5483,59.44156799225373,1,-2.7099964e-07
87,0.025579818,1.6917271e-08,2.0707473e-10,1.0705918e-10,2.4813433,34.59409,1.4337865e-06,0.30036104,3.6906392e-10,208.43599,59.44156799225373,1,-2.8093666e-07
88,0.017067952,1.5754175e-08,2.1167137e-10,1.0717937e-10,2.9459586,34.610367,1.4083413e-06,0.28121144,3.6563216e-10,224.68434,59.44156799225373,1,-3.5502165e-07
89,1.9715662e-06,1.1550765e-08,2.1271834e-10,1.0469143e-10,3.7171423,34.64044,1.3622027e-06,0.26799548,3.6015907e-10,260.3165,59.44156799225373,1,-5.990293e-07
90,2.9464138e-08,1.05087565e-08,2.1578568e-10,1.005236e-10,4.010358,34.658413,1.3163132e-06,0.25324297,3.5299663e-10,282.63516,59.44156799225373,1,-5.00719e-07
91,4.2946642e-08,9.536736e-09,2.0248336e-10,1.04364e-10,3.3215384,34.64223,1.2988302e-06,0.2709453,3.45403e-10,247.67628,59.44156799225373,1,-1.1152626e-06
92,0.0032875568,1.1105185e-08,2.0086148e-10,1.0693935e-10,2.7958574,34.617508,1.2725602e-06,0.28644207,3.3701056e-10,217.02669,59.44156799225373,1,-5.8021345e-07
93,0.02731239,9.216052e-09,1.8807057e-10,1.0670177e-10,1.9104738,34.571148,1.2663817e-06,0.31558454,3.329122e-10,178.97519,59.44156799225373,1,-3.1359008e-07
94,0.046421368,0.0016559854,1.6821168e-10,1.1300797e-10,1.1493099,34.512325,1.1981516e-06,0.33325318,3.1584554e-10,105.54986,59.44156799225373,1,-8.751829e-08
95,1.4886123e-09,7.3170486e-10,1.2668969e-10,8.435039e-11,0.31789234,34.38474,9.3895994e-07,0.30828747,2.5185237e-10,80.423744,59.44156799225373,1,-7.423125e-08
96,3.7523984e-10,1.8943862e-10,8.6841936e-11,5.831399e-11,-0.04209833,34.298885,7.979572e-07,0.23177555,2.1830963e-10,83.122246,59.44156799225373,1,-3.7958785e-08
97,5.2518484e-10,2.4110777e-10,8.774262e-11,5.654555e-11,-0.16160683,34.32452,9.3070213e-07,0.23001502,2.537729e-10,83.25819,59.44156799225373,1,-1.7266905e-07
