,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,light,stratification
37,4.4925202e-10,1.7260825e-10,6.9249925e-11,4.0411986e-11,-0.50573754,34.365982,1.0438544e-06,0.18995105,2.7344377e-10,89.470116,103.99735,9.502233e-07
38,1.2690761e-09,5.3016547e-10,8.71831e-11,4.7042183e-11,0.0966391,34.400555,1.0174613e-06,0.21357216,2.7179498e-10,115.5631,103.99735,-1.3393073e-07
39,4.2800887e-09,1.85149e-09,1.3412517e-10,7.485476e-11,0.8004715,34.445717,1.069914e-06,0.23835546,2.8815164e-10,150.05823,103.99735,-4.476988e-07
40,6.7516006e-09,2.772591e-09,1.4681797e-10,7.816834e-11,1.4489663,34.485798,1.1383088e-06,0.2356852,3.0677957e-10,165.88248,103.99735,1.9666382e-07
41,9.193441e-09,3.5945513e-09,1.6019018e-10,8.1096546e-11,1.939141,34.517574,1.2135e-06,0.23439734,3.260401e-10,197.4487,103.99735,4.3370164e-08
42,1.0506384e-08,4.0949093e-09,1.6398066e-10,8.189691e-11,1.9739187,34.527866,1.2592053e-06,0.23542424,3.3564998e-10,199.93222,103.99735,-1.794134e-07
43,1.0504787e-08,4.1764134e-09,1.6177777e-10,8.107376e-11,1.7757622,34.53117,1.3041387e-06,0.23661001,3.4404826e-10,199.20815,103.99735,-1.9995821e-07
44,9.068806e-09,3.792432e-09,1.5083754e-10,7.8541354e-11,1.2304697,34.517467,1.3105199e-06,0.24013653,3.412686e-10,184.54477,103.99735,-8.0962207e-07
45,4.877347e-09,2.1594715e-09,1.3220332e-10,7.2373635e-11,0.45587382,34.48996,1.2846587e-06,0.23816687,3.281231e-10,175.03172,103.99735,-5.447274e-07
46,1.6005823e-09,6.9860245e-10,9.092947e-11,4.8927307e-11,-0.18715903,34.4446,1.2190661e-06,0.2214569,3.0754282e-10,95.611084,103.99735,-4.6922744e-07
47,3.9565645e-10,1.5159415e-10,6.7192876e-11,3.8196418e-11,-0.66826344,34.38772,1.1460595e-06,0.1974129,2.855318e-10,79.43119,103.99735,-4.1167658e-07
48,3.2338426e-10,1.2403917e-10,6.1751486e-11,3.5228508e-11,-0.8679308,34.34524,1.1216052e-06,0.17744133,2.776613e-10,75.92426,103.99735,-4.6636976e-07
49,2.0652596e-10,8.043315e-11,4.8036512e-11,2.4097042e-11,-0.95851433,34.311348,1.1158018e-06,0.13685504,2.7467428e-10,80.147934,103.99735,-2.8697437e-07
50,3.1063194e-10,1.2100528e-10,5.493469e-11,2.7527189e-11,-0.84417224,34.3227,1.1331642e-06,0.17231598,2.796114e-10,83.29962,103.99735,-2.8221672e-07
51,5.772978e-10,2.2335402e-10,7.259121e-11,4.0194893e-11,-0.74126565,34.34246,1.1426472e-06,0.20220864,2.8228186e-10,84.15624,103.99735,-2.0769266e-07
52,4.1051598e-09,1.8901352e-09,1.2696649e-10,7.1040965e-11,-0.09345783,34.42032,1.2760513e-06,0.24277823,3.195066e-10,154.64497,103.99735,-8.085965e-08
53,5.058579e-09,2.1964854e-09,1.3290667e-10,7.23758e-11,0.533772,34.47126,1.3370628e-06,0.23736542,3.3808367e-10,200.1069,103.99735,1.0143867e-07
54,2.552908e-09,1.0128542e-09,1.1656588e-10,6.5773324e-11,0.6487339,34.48814,1.3249295e-06,0.21363808,3.3452402e-10,263.91815,103.99735,-5.376644e-07
55,1.5533891e-09,6.2025385e-10,1.0354464e-10,6.077052e-11,0.10761709,34.470882,1.2599252e-06,0.20921516,3.1485853e-10,269.81067,103.99735,-9.871007e-07
56,2.36672e-10,9.3288065e-11,5.0631544e-11,2.4947357e-11,-0.82107276,34.36878,1.053515e-06,0.15347508,2.6099925e-10,88.67386,103.99735,-6.265293e-07
57,1.1770554e-10,4.539019e-11,3.268265e-11,1.2771146e-11,-1.456411,34.20844,8.884661e-07,0.086816214,2.2408528e-10,74.24707,103.99735,-4.888573e-07
58,9.217595e-11,3.0912006e-11,2.3169295e-11,5.210946e-12,-1.7069753,34.05725,7.817206e-07,0.045653585,2.0607131e-10,70.708405,103.99735,-3.0837555e-07
59,7.854238e-11,2.1355398e-11,1.9400677e-11,1.6683525e-12,-1.7655065,33.988575,7.4845434e-07,3.6248891e-06,2.0426959e-10,68.91291,103.99735,3.730122e-08
60,7.7556864e-11,2.0935602e-11,1.7113458e-11,1.226246e-12,-1.7627634,34.009342,8.2080237e-07,4.8651327e-06,2.2430467e-10,71.05485,103.99735,-1.0350311e-07
61,7.5647565e-11,2.021516e-11,1.995593e-11,1.5137734e-25,-1.7759784,33.993626,9.1966746e-07,2.3425896e-06,2.502133e-10,69.87459,103.99735,-5.1530858e-08
62,7.706383e-11,2.0491426e-11,1.9955235e-11,3.1157503e-19,-1.7760319,34.010807,1.0047917e-06,2.6350963e-06,2.7156802e-10,69.69691,103.99735,-7.7292825e-08
