,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
7,2.630745e-10,1.0791972e-10,6.839408e-11,1.2565505e-11,-1.8565189,34.526882,1.7042369e-07,0.15394002,1.4702178,3.1351885e-10,77.14721,59.351826,7.5395633e-07
8,6.552505e-10,2.7131677e-10,8.832211e-11,2.3349057e-11,-1.8402722,34.525993,2.4314818e-07,0.19476415,1.6501004,3.4294e-10,70.94377,59.351826,-2.8376655e-07
9,3.5692863e-10,1.4304785e-10,7.4782625e-11,1.626391e-11,-1.8501666,34.550663,1.9038359e-07,0.17018193,1.543802,3.2090713e-10,73.89044,59.351826,-8.3976474e-08
10,2.879665e-10,1.174419e-10,7.0677984e-11,1.4211605e-11,-1.850746,34.5607,1.7552881e-07,0.16115183,1.5086013,3.1289535e-10,74.16141,59.351826,-1.685827e-07
11,1.945195e-10,8.409349e-11,6.284057e-11,1.0223807e-11,-1.8543926,34.566364,1.4814545e-07,0.1406463,1.4383563,2.9926067e-10,74.61906,59.351826,-5.897121e-09
20,7.067301e-11,3.3856678e-11,4.1659138e-11,3.2892756e-13,-1.8510606,34.408123,8.078347e-08,0.07273241,1.3789362,3.3865738e-10,83.439224,59.351826,3.0495602e-07
21,9.961464e-11,4.8810865e-11,5.05344e-11,3.4405564e-12,-1.8492051,34.41792,9.6158516e-08,0.10356907,1.4611025,3.5310896e-10,77.90927,59.351826,-2.6496633e-07
22,8.1285804e-11,4.060721e-11,4.610195e-11,1.4816265e-12,-1.85038,34.406258,7.8732725e-08,0.08936713,1.4355426,3.4901113e-10,77.49688,59.351826,-6.6634726e-08
36,1.3499421e-10,8.256373e-11,7.5909105e-11,3.3463777e-11,-1.8319044,34.135117,7.9539525e-08,0.20893003,1.5411575,3.1132122e-10,82.82305,96.760216,4.4018606e-08
37,1.8965021e-10,1.1294312e-10,8.6686505e-11,4.2688384e-11,-1.8275328,34.14982,9.903809e-08,0.24556872,1.6431081,3.2576689e-10,82.66288,96.760216,-8.310009e-08
38,1.6617573e-10,1.00389426e-10,8.270985e-11,3.9135993e-11,-1.8271549,34.141594,8.970358e-08,0.23195063,1.6059244,3.2759676e-10,82.734505,96.760216,-1.7000181e-07
39,1.6286583e-10,9.838339e-11,8.199324e-11,3.8433777e-11,-1.8282311,34.14463,8.736901e-08,0.22890593,1.5967071,3.3387748e-10,82.95564,96.760216,-2.2641181e-08
40,2.7343244e-10,1.4879704e-10,9.806076e-11,4.635359e-11,-1.8236123,34.16442,1.06128965e-07,0.25687334,1.694014,3.4977649e-10,83.31818,96.760216,1.7678639e-07
41,5.685009e-10,2.501659e-10,1.181776e-10,5.0957575e-11,-1.8198068,34.196854,1.2356415e-07,0.2640178,1.7954161,3.6087042e-10,83.35525,96.760216,1.719066e-07
42,3.7732292e-10,1.8626886e-10,1.0727983e-10,4.8358317e-11,-1.8277533,34.239487,1.1334927e-07,0.2629202,1.7303547,3.5458725e-10,83.54919,96.760216,3.2491346e-07
43,3.159032e-09,1.2361835e-09,1.6937776e-10,6.3041065e-11,-1.8136578,34.276333,1.7425833e-07,0.2806397,1.9778104,3.7419143e-10,82.74425,96.760216,-1.2715805e-07
44,1.4366566e-09,5.7114746e-10,1.4361572e-10,5.7390016e-11,-1.8217751,34.2811,1.518058e-07,0.272555,1.9076362,3.5881356e-10,82.67637,96.760216,-1.03897406e-07
45,3.5161157e-10,1.7740795e-10,1.05341284e-10,4.7969326e-11,-1.8325315,34.30965,1.1584784e-07,0.2611867,1.7291691,3.301281e-10,82.8555,96.760216,-2.1831454e-08
46,2.0173833e-10,1.1855993e-10,8.803256e-11,4.3857647e-11,-1.8362614,34.33727,1.0212094e-07,0.24859995,1.6504762,3.1196865e-10,82.975044,96.760216,-1.18485985e-08
47,1.415601e-10,8.619134e-11,7.732735e-11,3.4482497e-11,-1.8437961,34.38615,8.0700154e-08,0.21257333,1.5464352,2.8914973e-10,83.62534,96.760216,1.1826053e-08
48,1.539578e-10,9.319165e-11,7.99105e-11,3.653495e-11,-1.8463621,34.42824,8.5283986e-08,0.22144096,1.5672985,2.8658717e-10,84.30677,96.760216,4.9103413e-08
49,2.527408e-10,1.4037664e-10,9.5106485e-11,4.5478094e-11,-1.8457837,34.43179,1.07582856e-07,0.25331056,1.6747999,3.000767e-10,84.12167,96.760216,5.1436693e-08
50,6.585663e-10,2.8078695e-10,1.2125524e-10,5.168098e-11,-1.8446561,34.43755,1.3129115e-07,0.2633465,1.804696,3.1520186e-10,84.01509,96.760216,1.3588508e-08
51,9.853092e-10,3.9948767e-10,1.3209638e-10,5.463944e-11,-1.8417434,34.413967,1.4154466e-07,0.2673331,1.8552015,3.2185984e-10,83.59113,96.760216,-9.3283155e-08
52,4.2899437e-10,2.0309998e-10,1.10504356e-10,4.9339945e-11,-1.8395824,34.34154,1.1827185e-07,0.26028052,1.7576481,3.0681568e-10,83.149704,96.760216,-2.782567e-07
53,1.520024e-10,9.227057e-11,7.9960885e-11,3.687342e-11,-1.8369309,34.209,8.0457625e-08,0.21911927,1.5728956,2.7735855e-10,83.02479,96.760216,-3.1636907e-07
54,7.165514e-11,4.0569118e-11,5.500248e-11,1.746327e-11,-1.829992,33.996136,4.2754706e-08,0.10640004,1.2955487,2.4169822e-10,82.552376,96.760216,6.624983e-07
56,7.385482e-11,4.220456e-11,5.6182007e-11,1.7389146e-11,-1.8469508,34.318573,4.4076852e-08,0.11340052,1.3408046,3.8269377e-10,86.18261,96.760216,-2.0504845e-07
57,1.04208725e-10,6.339742e-11,6.7590274e-11,2.6230396e-11,-1.8435744,34.31543,6.322169e-08,0.17503741,1.4464772,3.9971973e-10,84.661674,96.760216,2.8856644e-07
58,1.0051943e-10,6.090092e-11,6.683893e-11,2.4958835e-11,-1.8470236,34.317043,5.669707e-08,0.1656707,1.4784402,4.1254156e-10,87.64576,96.760216,-6.519523e-07
