Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
A152-84,44.3498,-30.267,-2750,0,,4,0,2,28,30,4,0,2,2,0,0,4,8,61,64,0,6,0,10,8,39,3,0,0,0,67,7,10,0,45,16,41,0,0,0,0,0,0,37,0,0,0,0,0,20
A153-154,28,-38.783,-4020,0,,1,2,7,168,175,20,2,2,4,0,0,15,0,5,33,0,6,1,0,0,2,0,0,0,0,39,18,16,5,0,2,4,0,0,0,0,0,0,44,0,0,0,0,0,21
A15-559FF,8.983,51.733,-3797,0,,2,0,0,80,80,0,7,0,7,1,0,4,2,70,2,1,4,0,0,1,0,11,0,2,2,0,0,0,0,0,0,0,0,28,6,0,34,0,132,0,0,0,0,0,12
A157-3,50.9332,-41.75,-4025,0,,0,1,0,4,4,0,1,0,1,0,0,0,0,150,3,0,0,0,4,94,104,8,0,0,0,162,8,5,0,119,14,0,0,1,0,0,1,0,14,0,0,0,0,0,10
A164-13,35.7167,-67.3333,-5103,0,,1,3,0,76,76,0,29,7,36,1,0,8,2,106,5,0,0,1,0,0,7,34,0,0,22,45,15,3,0,4,27,0,0,15,18,0,33,0,7,0,0,0,0,0,16
A164-15,36.1333,-68.9167,-4624,0,,2,2,0,53,53,0,9,6,15,1,0,7,0,65,8,0,0,1,0,1,21,31,0,0,19,63,11,0,1,11,10,0,0,21,20,0,41,0,1,0,0,0,0,0,10
A164-16,36.15,-69.15,-4624,0,,7,3,0,106,106,0,26,16,42,1,0,11,3,59,16,2,0,0,0,0,10,36,0,0,14,31,26,7,0,7,17,0,0,3,6,0,9,0,34,0,0,0,0,0,16
A164-17,35.7833,-68.9333,-4824,0,,1,4,3,65,68,0,20,5,25,0,0,5,2,69,6,2,0,1,0,1,22,31,0,0,6,61,21,1,0,5,20,0,0,14,17,0,31,0,5,0,0,0,0,0,16
A164-23,36.2167,-69.4,-4512,0,,3,3,1,81,82,0,23,13,36,0,0,10,0,67,11,1,0,0,0,0,19,26,0,0,18,43,25,0,1,4,31,0,0,10,7,0,17,0,19,0,0,0,0,0,7
A167-12,31.8333,-74.35,-4700,0,,0,16,0,167,167,0,14,5,19,1,0,23,2,34,10,1,0,1,0,0,0,43,0,0,18,33,57,2,0,0,23,0,0,20,19,0,39,0,21,0,0,0,0,0,9
A167-13,31.65,-75.35,-2880,0,,2,6,24,275,299,10,58,7,65,0,0,41,13,13,69,0,5,3,0,0,3,18,0,0,27,5,63,20,0,3,17,1,0,25,5,0,30,1,52,0,0,0,0,0,13
A167-18TW,29.7667,-76.8,-1015,0,,2,2,5,94,99,9,16,3,19,0,0,21,12,1,3,0,6,0,0,0,0,8,0,0,5,1,5,7,0,0,1,3,0,5,1,0,6,1,94,0,0,0,0,0,18
A167-1TW,37.65,-72.95,-2706,0,,3,13,0,5,5,0,3,3,6,0,0,0,0,14,2,0,0,0,0,6,83,29,0,0,8,139,2,1,0,97,3,0,0,30,3,0,33,0,9,0,0,0,0,0,5
A179-13,23.9333,-75.75,-1847,0,,5,4,8,191,199,33,9,3,12,0,0,22,5,0,1,0,11,0,0,0,0,2,0,0,0,0,6,17,0,0,0,1,0,0,0,0,0,2,34,0,0,0,0,0,13
A179-15,24.8,-75.9333,-3109,0,,4,3,12,157,169,39,16,3,19,0,0,22,4,1,0,0,21,0,0,0,0,3,0,0,0,0,4,3,0,0,1,0,0,1,0,0,1,0,41,0,0,0,1,0,7
A179-20,30.7833,-67.6667,-4993,0,,5,4,1,200,201,1,8,1,9,0,0,11,0,55,2,1,0,2,0,0,1,7,0,0,1,32,32,9,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,8
