Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],G. calida [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%],Foram plankt oth [%],Foram plankt [#],Sample comment (Author or institute)
A150/180,A152-84,44.3498,-30.267,01/01/1960,-2750,0,0.8,12.6,1.6,0,0,0,0,0,3.1,13.2,7.6,3.3,0,13.8,0,0,0,1.6,14.8,0,0,2.1,0.4,5.8,1.2,0,0.4,8.4,0.8,1.4,2.1,3.5,0,0.8,0,0,8.6,6.2,4.2,486,CLIMAP Project Members
A150/180,A153-154,28,-38.783,01/01/1960,-4020,0,3.8,1.3,0,0,0.5,1.3,0,0,0,8.4,11.2,0.5,0.3,10,0,0,0,0,0.5,0,0,0,1.8,43,1.5,0.5,0.5,1,5.1,4.4,3.9,8.7,0,0.3,0,0,0,0.5,0,413,Gif-sur-Yvette
A150/180,A164-13,35.7167,-67.3333,,-5103,0,1.8,23.9,0.5,0,0.7,0,0.2,0,6.5,1.1,1.6,5.9,0.2,10.1,3.4,0,5,0,2,0,0,0,0,17.1,0,6.5,1.6,0,0,3.4,0.7,4.1,4.1,0.2,0,7.4,0.9,1.1,3.6,444,CLIMAP Project Members
A150/180,A164-15,36.1333,-68.9167,,-4624,0,1.9,17.9,0,0,0.5,0.3,0.3,0,9.8,2.2,0.3,2.7,0.3,17.3,5.2,0,4.9,0.3,6.8,0,0,0,0,14.5,0,2.5,1.6,0,0,3,0,3,4.6,0.5,0,11.2,3,3.8,1.4,366,CLIMAP Project Members
A150/180,A164-16,36.15,-69.15,,-4624,0,2.4,12.9,0.7,0,0.7,0,0.2,0.4,8.1,3.5,7.4,3.7,0,6.8,0.7,0,3.1,0,3.5,0,0,0,0,23.2,0,5.7,3.5,0,0,5.7,1.5,7.2,1.3,1.5,0,2,1.5,2,3.5,457,CLIMAP Project Members
A150/180,A164-17,35.7833,-68.9333,,-4824,0,1.2,17.1,0.5,0,1,0,0,0.5,8.4,1.5,1.2,5,0.2,15.1,3.5,0,1.5,0.2,6,0,0,0,0.7,16.1,0,5,1.2,0,0,5.2,0.2,5.5,4.2,0.2,0,7.7,3.2,2.7,4.2,403,CLIMAP Project Members
A150/180,A164-23,36.2167,-69.4,,-4512,0,2.4,15.8,0,0,0.7,0.2,0,0.2,7.1,2.6,4.5,7.3,0,10.2,2.4,0,4.3,0,4.5,0,0,0,0.2,19.1,0,5.4,3.1,0,0,5.9,0,5.9,1.7,0.7,0,4,1.2,3.3,1.8,423,CLIMAP Project Members
A150/180,A167-12,31.8333,-74.35,,-4700,0,4.6,6.8,0.4,0,3.2,0,0.2,0.2,7.4,2,4.2,4.2,0.2,6.2,3.5,0,3.6,0,0,0,0,0,0,33.4,0,2.8,1,0,0,11.2,0.4,11.8,3.8,0,0,7.8,0,0,0,507,CLIMAP Project Members
A150/180,A167-13,31.65,-75.35,,-2880,0,8.9,2.6,4,0,1.2,0.3,0,0,4,6.6,8.9,1.7,0,2,3.1,0,1.4,0,0.9,0,0,0,2.9,29.7,0.6,5.5,2,0.3,0.9,7.5,1.4,9.2,0.8,2.3,0,4,0.8,0,0.1,360,CLIMAP Project Members
A150/180,A167-18TW,29.7667,-76.8,,-1015,0,6.9,0.3,3.9,0,0.7,0,0,0,2.6,1,30.9,0.3,0,0.3,1.5,0.3,1.6,0,0,0,0,0,1.6,30.9,2,5.2,1,1,3,1.5,2.2,3.9,0.3,0.7,0,2,0,0,0.1,323,Gif-sur-Yvette
