Latitude,Longitude,Event,Depth [m],Elevation [m],Symbiosis,Spinose,Relative_Abundance
-36.8333,-14.4033,GeoB2021-5,0.13,-3575,No,No,0.4603
-36.8333,-14.4033,GeoB2021-5,0.13,-3575,No,Yes,0.26890000000000003
-36.8333,-14.4033,GeoB2021-5,0.13,-3575,Yes,No,0.46010000000000006
-36.8333,-14.4033,GeoB2021-5,0.13,-3575,Yes,Yes,0.0175
-36.06,-8.7783,GeoB2019-1,0.33,-3825,No,No,0.4281999999999999
-36.06,-8.7783,GeoB2019-1,0.33,-3825,No,Yes,0.34
-36.06,-8.7783,GeoB2019-1,0.33,-3825,Yes,No,0.3954
-36.06,-8.7783,GeoB2019-1,0.33,-3825,Yes,Yes,0.0359
-35.2067,-26.765,GeoB1306-1,0.19,-4057,No,No,0.6636
-35.2067,-26.765,GeoB1306-1,0.19,-4057,No,Yes,0.1402
-35.2067,-26.765,GeoB1306-1,0.19,-4057,Yes,No,0.28490000000000004
-35.2067,-26.765,GeoB1306-1,0.19,-4057,Yes,Yes,0.09849999999999999
-35.125,17.5433,GeoB3603-2,0.33,-2840,No,No,0.647
-35.125,17.5433,GeoB3603-2,0.33,-2840,No,Yes,0.163
-35.125,17.5433,GeoB3603-2,0.33,-2840,Yes,No,0.28159999999999996
-35.125,17.5433,GeoB3603-2,0.33,-2840,Yes,Yes,0.04939999999999999
-35.125,17.5433,GeoB3603-2,0.38,-2840,No,No,0.6033
-35.125,17.5433,GeoB3603-2,0.38,-2840,No,Yes,0.1653
-35.125,17.5433,GeoB3603-2,0.38,-2840,Yes,No,0.3361
-35.125,17.5433,GeoB3603-2,0.38,-2840,Yes,Yes,0.0333
-32.2683,-21.9667,GeoB3813-3,0.13,-4331,No,No,0.4375
-32.2683,-21.9667,GeoB3813-3,0.13,-4331,No,Yes,0.1524
-32.2683,-21.9667,GeoB3813-3,0.13,-4331,Yes,No,0.3967
-32.2683,-21.9667,GeoB3813-3,0.13,-4331,Yes,Yes,0.3265000000000001
-31.9,-1.33,GeoB2016-1,0.18,-3385,No,No,0.3521999999999999
-31.9,-1.33,GeoB2016-1,0.18,-3385,No,Yes,0.331
-31.9,-1.33,GeoB2016-1,0.18,-3385,Yes,No,0.3247
-31.9,-1.33,GeoB2016-1,0.18,-3385,Yes,Yes,0.21520000000000003
-31.6667,-28.6667,GeoB1309-2,0.18,-3963,No,No,0.3468
-31.6667,-28.6667,GeoB1309-2,0.18,-3963,No,Yes,0.0571
-31.6667,-28.6667,GeoB1309-2,0.18,-3963,Yes,No,0.29529999999999995
-31.6667,-28.6667,GeoB1309-2,0.18,-3963,Yes,Yes,0.7276000000000002
-31.6617,-29.6567,GeoB1312-2,0.13,-3436,No,No,0.29950000000000004
-31.6617,-29.6567,GeoB1312-2,0.13,-3436,No,Yes,0.0113
-31.6617,-29.6567,GeoB1312-2,0.13,-3436,Yes,No,0.30310000000000004
-31.6617,-29.6567,GeoB1312-2,0.13,-3436,Yes,Yes,0.9277999999999998
-30.87,14.3433,GeoB2004-2,0.68,-2569,No,No,0.6533
-30.87,14.3433,GeoB2004-2,0.68,-2569,No,Yes,0.12140000000000001
-30.87,14.3433,GeoB2004-2,0.68,-2569,Yes,No,0.26570000000000005
-30.87,14.3433,GeoB2004-2,0.68,-2569,Yes,Yes,0.09139999999999998
-30.87,14.3433,GeoB2004-2,0.73,-2569,No,No,0.6496999999999999
-30.87,14.3433,GeoB2004-2,0.73,-2569,No,Yes,0.1396
-30.87,14.3433,GeoB2004-2,0.73,-2569,Yes,No,0.2637
-30.87,14.3433,GeoB2004-2,0.73,-2569,Yes,Yes,0.10109999999999998
-30.87,14.3433,GeoB2004-2,0.78,-2569,No,No,0.7308999999999999
-30.87,14.3433,GeoB2004-2,0.78,-2569,No,Yes,0.1183
-30.87,14.3433,GeoB2004-2,0.78,-2569,Yes,No,0.2003
-30.87,14.3433,GeoB2004-2,0.78,-2569,Yes,Yes,0.07070000000000001
-30.8483,-38.3433,GeoB2819-1,0.13,-3435,No,No,0.3675
-30.8483,-38.3433,GeoB2819-1,0.13,-3435,No,Yes,0.1321
-30.8483,-38.3433,GeoB2819-1,0.13,-3435,Yes,No,0.3066
-30.8483,-38.3433,GeoB2819-1,0.13,-3435,Yes,Yes,0.5482999999999999
-30.8117,-14.7117,GeoB3808-6,0.18,-3213,No,No,0.2518
-30.8117,-14.7117,GeoB3808-6,0.18,-3213,No,Yes,0.25170000000000003
-30.8117,-14.7117,GeoB3808-6,0.18,-3213,Yes,No,0.3876
-30.8117,-14.7117,GeoB3808-6,0.18,-3213,Yes,Yes,0.4545000000000001
-29.5117,-8.305,GeoB3801-6,0.18,-4546,No,No,0.2681
-29.5117,-8.305,GeoB3801-6,0.18,-4546,No,Yes,0.1822
-29.5117,-8.305,GeoB3801-6,0.18,-4546,Yes,No,0.41850000000000004
-29.5117,-8.305,GeoB3801-6,0.18,-4546,Yes,Yes,0.46360000000000007
-29.45,11.75,GeoB1722-1,0.23,-3973,No,No,0.4732
-29.45,11.75,GeoB1722-1,0.23,-3973,No,Yes,0.1223
-29.45,11.75,GeoB1722-1,0.23,-3973,Yes,No,0.5915
-29.45,11.75,GeoB1722-1,0.23,-3973,Yes,Yes,0.10120000000000001
-29.45,11.75,GeoB1722-1,0.28,-3973,No,No,0.6579999999999999
-29.45,11.75,GeoB1722-1,0.28,-3973,No,Yes,0.09480000000000001
-29.45,11.75,GeoB1722-1,0.28,-3973,Yes,No,0.308
-29.45,11.75,GeoB1722-1,0.28,-3973,Yes,Yes,0.1311
-27.9117,-45.8817,GeoB2109-1,0.48,-2504,No,No,0.13940000000000002
-27.9117,-45.8817,GeoB2109-1,0.48,-2504,No,Yes,0.04100000000000001
-27.9117,-45.8817,GeoB2109-1,0.48,-2504,Yes,No,0.40959999999999996
-27.9117,-45.8817,GeoB2109-1,0.48,-2504,Yes,Yes,0.9095
-27.9117,-45.8817,GeoB2109-1,0.53,-2504,No,No,0.1433
-27.9117,-45.8817,GeoB2109-1,0.53,-2504,No,Yes,0.0659
-27.9117,-45.8817,GeoB2109-1,0.53,-2504,Yes,No,0.3586000000000001
-27.9117,-45.8817,GeoB2109-1,0.53,-2504,Yes,Yes,0.9477
-27.9117,-45.8817,GeoB2109-1,0.58,-2504,No,No,0.17270000000000002
-27.9117,-45.8817,GeoB2109-1,0.58,-2504,No,Yes,0.048600000000000004
-27.9117,-45.8817,GeoB2109-1,0.58,-2504,Yes,No,0.5309
-27.9117,-45.8817,GeoB2109-1,0.58,-2504,Yes,Yes,0.70630000000000015
-27.9117,-45.8817,GeoB2109-1,0.63,-2504,No,No,0.1487
-27.9117,-45.8817,GeoB2109-1,0.63,-2504,No,Yes,0.0392
-27.9117,-45.8817,GeoB2109-1,0.63,-2504,Yes,No,0.3667999999999999
-27.9117,-45.8817,GeoB2109-1,0.63,-2504,Yes,Yes,0.9691000000000003
-25.5117,-35.9983,GeoB2116-4,0.28,-4167,No,No,0.39409999999999995
-25.5117,-35.9983,GeoB2116-4,0.28,-4167,No,Yes,0.0339
-25.5117,-35.9983,GeoB2116-4,0.28,-4167,Yes,No,0.40990000000000004
-25.5117,-35.9983,GeoB2116-4,0.28,-4167,Yes,Yes,0.4126000000000001
-25.25,12.0217,GeoB3722-2,0.83,-3506,No,No,0.8809999999999999
-25.25,12.0217,GeoB3722-2,0.83,-3506,No,Yes,0.0408
-25.25,12.0217,GeoB3722-2,0.83,-3506,Yes,No,0.15380000000000002
-25.25,12.0217,GeoB3722-2,0.83,-3506,Yes,Yes,0.0013
-25.25,12.0217,GeoB3722-2,0.88,-3506,No,No,0.8073999999999999
-25.25,12.0217,GeoB3722-2,0.88,-3506,No,Yes,0.08289999999999999
-25.25,12.0217,GeoB3722-2,0.88,-3506,Yes,No,0.18020000000000003
-25.25,12.0217,GeoB3722-2,0.88,-3506,Yes,Yes,0.019200000000000002
-25.25,12.0217,GeoB3722-2,0.93,-3506,No,No,0.9109999999999999
-25.25,12.0217,GeoB3722-2,0.93,-3506,No,Yes,0.024399999999999998
-25.25,12.0217,GeoB3722-2,0.93,-3506,Yes,No,0.12179999999999999
-25.25,12.0217,GeoB3722-2,0.93,-3506,Yes,Yes,0.004200000000000001
-25.25,12.0217,GeoB3722-2,0.98,-3506,No,No,0.8942
-25.25,12.0217,GeoB3722-2,0.98,-3506,No,Yes,0.0529
-25.25,12.0217,GeoB3722-2,0.98,-3506,Yes,No,0.1026
-25.25,12.0217,GeoB3722-2,0.98,-3506,Yes,Yes,0.0022
-24.69,7.24,GeoB1214-1,0.23,-3210,No,No,0.39150000000000007
-24.69,7.24,GeoB1214-1,0.23,-3210,No,Yes,0.20370000000000002
-24.69,7.24,GeoB1214-1,0.23,-3210,Yes,No,0.4203
-24.69,7.24,GeoB1214-1,0.23,-3210,Yes,Yes,0.22159999999999996
-24.69,7.24,GeoB1214-1,0.28,-3210,No,No,0.4461
-24.69,7.24,GeoB1214-1,0.28,-3210,No,Yes,0.2048
-24.69,7.24,GeoB1214-1,0.28,-3210,Yes,No,0.3743
-24.69,7.24,GeoB1214-1,0.28,-3210,Yes,Yes,0.2065
-24.1833,-12.0217,GeoB5121-2,0.16,-3486,No,No,0.1209
-24.1833,-12.0217,GeoB5121-2,0.16,-3486,No,Yes,0.0759
-24.1833,-12.0217,GeoB5121-2,0.16,-3486,Yes,No,0.3439
-24.1833,-12.0217,GeoB5121-2,0.16,-3486,Yes,Yes,0.7959
-24.1433,-14.0433,GeoB5115-2,0.14,-3291,No,No,0.0951
-24.1433,-14.0433,GeoB5115-2,0.14,-3291,No,Yes,0.07479999999999999
-24.1433,-14.0433,GeoB5115-2,0.14,-3291,Yes,No,0.30329999999999996
-24.1433,-14.0433,GeoB5115-2,0.14,-3291,Yes,Yes,0.9610000000000001
-24.1433,-14.0433,GeoB5115-2,0.15,-3291,No,No,0.11299999999999999
-24.1433,-14.0433,GeoB5115-2,0.15,-3291,No,Yes,0.06770000000000001
-24.1433,-14.0433,GeoB5115-2,0.15,-3291,Yes,No,0.26899999999999996
-24.1433,-14.0433,GeoB5115-2,0.15,-3291,Yes,Yes,0.9730000000000001
-24.1433,-14.0433,GeoB5115-2,0.16,-3291,No,No,0.0943
-24.1433,-14.0433,GeoB5115-2,0.16,-3291,No,Yes,0.08439999999999999
-24.1433,-14.0433,GeoB5115-2,0.16,-3291,Yes,No,0.3563
-24.1433,-14.0433,GeoB5115-2,0.16,-3291,Yes,Yes,0.9009999999999999
-24.1433,-14.0433,GeoB5115-2,0.17,-3291,No,No,0.0913
-24.1433,-14.0433,GeoB5115-2,0.17,-3291,No,Yes,0.05140000000000001
-24.1433,-14.0433,GeoB5115-2,0.17,-3291,Yes,No,0.3544
-24.1433,-14.0433,GeoB5115-2,0.17,-3291,Yes,Yes,0.9227000000000001
-24.0333,5.3067,GeoB1220-1,0.33,-2265,No,No,0.4826
-24.0333,5.3067,GeoB1220-1,0.33,-2265,No,Yes,0.17
-24.0333,5.3067,GeoB1220-1,0.33,-2265,Yes,No,0.30400000000000005
-24.0333,5.3067,GeoB1220-1,0.33,-2265,Yes,Yes,0.27630000000000005
-24.0333,5.3067,GeoB1220-1,0.38,-2265,No,No,0.41800000000000004
-24.0333,5.3067,GeoB1220-1,0.38,-2265,No,Yes,0.19190000000000002
-24.0333,5.3067,GeoB1220-1,0.38,-2265,Yes,No,0.3689
-24.0333,5.3067,GeoB1220-1,0.38,-2265,Yes,Yes,0.2791
-23.825,-16.2583,GeoB5112-5,0.16,-3841,No,No,0.10010000000000002
-23.825,-16.2583,GeoB5112-5,0.16,-3841,No,Yes,0.0758
-23.825,-16.2583,GeoB5112-5,0.16,-3841,Yes,No,0.36089999999999994
-23.825,-16.2583,GeoB5112-5,0.16,-3841,Yes,Yes,0.8917999999999999
-23.315,12.3767,GeoB1711-4,1.73,-1967,No,No,0.865
-23.315,12.3767,GeoB1711-4,1.73,-1967,No,Yes,0.08
-23.315,12.3767,GeoB1711-4,1.73,-1967,Yes,No,0.059000000000000004
-23.315,12.3767,GeoB1711-4,1.73,-1967,Yes,Yes,0.006
-23.315,12.3767,GeoB1711-4,1.78,-1967,No,No,0.7809999999999999
-23.315,12.3767,GeoB1711-4,1.78,-1967,No,Yes,0.141
-23.315,12.3767,GeoB1711-4,1.78,-1967,Yes,No,0.087
-23.315,12.3767,GeoB1711-4,1.78,-1967,Yes,Yes,0
-23.315,12.3767,GeoB1711-4,1.83,-1967,No,No,0.853
-23.315,12.3767,GeoB1711-4,1.83,-1967,No,Yes,0.087
-23.315,12.3767,GeoB1711-4,1.83,-1967,Yes,No,0.06899999999999999
-23.315,12.3767,GeoB1711-4,1.83,-1967,Yes,Yes,0
-23.315,12.3767,GeoB1711-4,1.88,-1967,No,No,0.813
-23.315,12.3767,GeoB1711-4,1.88,-1967,No,Yes,0.049
-23.315,12.3767,GeoB1711-4,1.88,-1967,Yes,No,0.15
-23.315,12.3767,GeoB1711-4,1.88,-1967,Yes,Yes,0.006
-23.315,12.3767,GeoB1711-4,1.93,-1967,No,No,0.7519999999999999
-23.315,12.3767,GeoB1711-4,1.93,-1967,No,Yes,0.08900000000000001
-23.315,12.3767,GeoB1711-4,1.93,-1967,Yes,No,0.19
-23.315,12.3767,GeoB1711-4,1.93,-1967,Yes,Yes,0.003
-23.315,12.3767,GeoB1711-4,1.98,-1967,No,No,0.8100000000000002
-23.315,12.3767,GeoB1711-4,1.98,-1967,No,Yes,0.084
-23.315,12.3767,GeoB1711-4,1.98,-1967,Yes,No,0.11899999999999998
-23.315,12.3767,GeoB1711-4,1.98,-1967,Yes,Yes,0.012
-23.315,12.3767,GeoB1711-4,2.03,-1967,No,No,0.818
-23.315,12.3767,GeoB1711-4,2.03,-1967,No,Yes,0.09300000000000001
