Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],D. grahami [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%]
A150/180,A180-73,0.1667,-23,,-3749,0.38,0,0.7,0,0,0.9,3.2,0,0,29.1,4.1,8.5,0.5,0,10.3,0,0,0,0,18.5,0,0,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,0,7.1,7.1,0,0.2,0,0,13.7,4.8
ANT-IV/1c,GIK16457-2,5.385,-21.7517,22/10/1985,-3303,0.3,0.3,5.1,0,0,0.7,3,0,0.9,19.3,0.3,1.5,0,0,1.5,0,0,1.7,0,3.3,0,0,0,1.5,28.7,0,13.6,13.5,0,0,0,3.6,3.7,0.3,0.6,0,0.3,1.8,1.5
ANT-IV/1c,GIK16458-1,5.335,-22.0533,22/10/1985,-3518,0.24,3.9,6.4,0,0,1,2,0,1.3,11.6,0,7.2,0,0,1.3,0,0.3,0.5,1.1,3.3,0,0,0,1.8,24.6,0.5,20.7,1.5,0,0,0,0,6.4,3.8,1.1,0,3.8,0.8,2.5
ANT-IV/1c,GIK16458-1,5.335,-22.0533,22/10/1985,-3518,0.26,1.5,2.6,0.3,0,2,4.2,0,1.8,11.6,0,3.6,0,0,2.3,0,0,0,1.1,1,0,0,0,2.3,33.9,0,27.2,1.9,0,0.5,0,0,1.3,0,0.9,0,0,0,1
ANT-IV/1c,GIK16458-1,5.335,-22.0533,22/10/1985,-3518,0.28,1.8,4.5,0,0,2.3,3,0,0.5,12.1,0.5,3.2,0,0,1.4,0,0,0,0.8,0.8,0,0,0,2,35.5,0,26.6,1.5,0.2,0,0,0,2,0,1.4,0,0,0,0.8
ANT-IV/1c,GIK16458-1,5.335,-22.0533,22/10/1985,-3518,0.3,2.2,4.5,0,0,1.1,2.3,0,0.7,10.9,0,5.8,0.2,0,1.3,0,0.2,0,1.3,2.1,0,0,0,0.7,40.3,0,22.6,0.4,0.2,0,0,0,2.5,0,0.8,0,0,0.7,1.4
ANT-IV/1c,GIK16458-2,5.335,-22.055,22/10/1985,-3518,0.26,3,3.9,1.5,0,0.8,1.8,0,0.1,3.7,0,7.4,0,0,0.3,1.1,0,1.4,0.1,0.4,0,0,0,3.1,36.6,0.8,20,9.6,0,0.7,0,0.7,0.7,1.6,1.3,0,2.7,0.1,0.3
ANT-IV/1c,GIK16458-2,5.335,-22.055,22/10/1985,-3518,0.29,3.9,4.1,0.3,0,2,0.9,0,0.1,3.8,0,8.4,0,0,0.2,1,0.2,0.9,0,1,0,0,0,3.9,33.3,0.5,19.6,10.8,0.5,1.2,0,0.7,0.7,1.8,1.1,0,2.8,0.2,0.9
ANT-IV/1c,GIK16458-2,5.335,-22.055,22/10/1985,-3518,0.32,4.2,4.2,0.3,0,0.8,0.3,0.1,0.7,4.2,0,5.7,0,0,0,2.6,0,1.5,0,0.2,0,0,0,5.5,29.1,0,24.6,12.2,0.3,0.7,0,0.2,0.2,1.1,1.4,0,3.6,0.2,0
ARK-II/4,PS1230-1,78.8553,-4.7812,16/08/1984,-1249,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,1.5,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
ARK-II/4,PS1230-1,78.8553,-4.7812,16/08/1984,-1249,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
ARK-II/4,PS1230-1,78.8553,-4.7812,16/08/1984,-1249,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
ARK-IV/3,PS1533-3,82.0317,15.1908,16/08/1987,-2026,0.67,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,2.9,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
ARK-IV/3,PS1533-3,82.0317,15.1908,16/08/1987,-2026,0.73,0,1.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,95.4,3,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ARK-IV/3,PS1533-3,82.0317,15.1908,16/08/1987,-2026,0.79,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
ARK-IX/4,PS2446-4,82.3967,40.9083,19/08/1993,-2022,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARK-IX/4,PS2446-4,82.3967,40.9083,19/08/1993,-2022,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
ARK-IX/4,PS2446-4,82.3967,40.9083,19/08/1993,-2022,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
ARK-IX/4,PS2446-4,82.3967,40.9083,19/08/1993,-2022,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
