Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii flexuosa,Globorotalia menardii & Globorotalia tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Turborotalita humilis & Berggrenia pumilio,Globigerinita uvula,Other ID,Other UnID
BC15,Piston,41.95,5.93,2500,Mediterranean ,0.7725,18.890941,2,"Rohling et al., 1998",AH,37643,0,0,0,0,0,0,0,0,0,96,0,0,0,50,0,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,32,0,0,0,0,0,3
BC15,Piston,41.95,5.93,2500,Mediterranean ,0.9475,21.174271,2,"Rohling et al., 1998",AH,37643,0,0,2,0,0,0,0,0,0,78,0,0,0,52,0,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0
BC15,Piston,41.95,5.93,2500,Mediterranean ,1.0925,23.066173,2,"Rohling et al., 1998",AH,37643,0,0,2,0,0,0,0,0,0,101,0,0,0,84,0,16,0,0,0,0,2,1,0,0,0,24,0,0,0,0,30,0,0,0,0,0,1
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.11,19.5355521,2,"Rohling et al., 1995",AH,37643,0.4,0,2.1,0,0,0,0,0,0,7.4,0,0,0,9.9,0,74.1,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,3.7,0,0,0,0,0,1.2
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.19,19.9344409,2,"Rohling et al., 1995",AH,37643,0,0,0.8,0,0,0,0,0,0,9.6,0,0,0,7.3,0,78.1,0,0,0,0,1.2,0,0,0,0,1.2,0,0,0,0,1.9,0,0,0,0,0,0
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.35,20.7322185,2,"Rohling et al., 1995",AH,37643,0.5,0,0.5,0,0,0,0,0,0,18,0,0,0,9.3,0,65.6,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,4.9,0,0,0,0,0,0
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.43,21.1311073,2,"Rohling et al., 1995",AH,37643,0.4,0,1.2,0,0,0,0,0,0,14.4,0,0,0,7.8,0,68.7,0,0,0,0,2.1,0,0,0,0,0.8,0,0,0,0,4.5,0,0,0,0,0,0
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.59,21.9288849,2,"Rohling et al., 1995",AH,37643,1.1,0,2.2,0,0,0,0,0,0,13.6,0,0,0,10.7,0,68.4,0,0,0,0,0.7,0,0,0,0,1.5,0,0,0,0,1.8,0,0,0,0,0,0
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.71,22.5272181,2,"Rohling et al., 1995",AH,37643,0.4,0,1.4,0,0,0,0,0,0,16.6,0,0,0,4,0,69,0,0,0,0,0.4,0,0,0,0,1.8,0,0,0,0,6.1,0,0,0,0,0,0.4
KS310,Piston,35.55,-1.57,1900,Mediterranean ,2.79,22.9261069,2,"Rohling et al., 1995",AH,37643,0.3,0,0,0,0,0,0,0.6,0,24,0,0,0.3,6.3,0,56.5,0,0,0,0,4.8,0,0,0,0,1.5,0,0,0,0,5.1,0,0,0,0,0,0.6
