Event,Latitude,Longitude,Elevation [m],SST (1-12) [°C],Symbiosis,Spinose,Depth [m],Relative_Abundance
A15-547TW,28,-38.783,NA,26.143,No,No,0,0.0275
A15-547TW,28,-38.783,NA,26.143,No,Yes,0,0.49119999999999997
A15-547TW,28,-38.783,NA,26.143,Yes,No,0,0.24559999999999998
A15-547TW,28,-38.783,NA,26.143,Yes,Yes,0,0.3709
A15-552TW,12,51.9,NA,26.141,No,No,0,0.054000000000000006
A15-552TW,12,51.9,NA,26.141,No,Yes,0,0.2475
A15-552TW,12,51.9,NA,26.141,Yes,No,0,0.5478000000000001
A15-552TW,12,51.9,NA,26.141,Yes,Yes,0,0.20369999999999996
A15-558P,10.25,53.167,NA,26.339,No,No,0,0.038200000000000005
A15-558P,10.25,53.167,NA,26.339,No,Yes,0,0.1199
A15-558P,10.25,53.167,NA,26.339,Yes,No,0,0.5709000000000001
A15-558P,10.25,53.167,NA,26.339,Yes,Yes,0,0.4292999999999999
A15-558TW,8.983,51.733,-3985,26.339,No,No,0,0.0152
A15-558TW,8.983,51.733,-3985,26.339,No,Yes,0,0.1377
A15-558TW,8.983,51.733,-3985,26.339,Yes,No,0,0.6883
A15-558TW,8.983,51.733,-3985,26.339,Yes,Yes,0,0.19310000000000002
A15-559FF,8.983,51.733,-3797,26.339,No,No,0,0.009099999999999999
A15-559FF,8.983,51.733,-3797,26.339,No,Yes,0,0.21850000000000003
A15-559FF,8.983,51.733,-3797,26.339,Yes,No,0,0.45189999999999997
A15-559FF,8.983,51.733,-3797,26.339,Yes,Yes,0,0.5719000000000001
A15-572FF,8.9,51.617,NA,28.068,No,No,0,0.0176
A15-572FF,8.9,51.617,NA,28.068,No,Yes,0,0.0984
A15-572FF,8.9,51.617,NA,28.068,Yes,No,0,0.5212
A15-572FF,8.9,51.617,NA,28.068,Yes,Yes,0,0.4083
A15-585GC,9.217,60.217,NA,27.446,No,No,0,0.0032
A15-585GC,9.217,60.217,NA,27.446,No,Yes,0,0.1303
A15-585GC,9.217,60.217,NA,27.446,Yes,No,0,0.2606
A15-585GC,9.217,60.217,NA,27.446,Yes,Yes,0,0.9089999999999999
A15-586TW,20.15,69.433,NA,27.208,No,No,0,0
A15-586TW,20.15,69.433,NA,27.208,No,Yes,0,0.0864
A15-586TW,20.15,69.433,NA,27.208,Yes,No,0,0.41359999999999997
A15-586TW,20.15,69.433,NA,27.208,Yes,Yes,0,0.7623000000000001
A15-590GC,20.117,67.917,NA,26.567,No,No,0,0.0229
A15-590GC,20.117,67.917,NA,26.567,No,Yes,0,0.22010000000000002
A15-590GC,20.117,67.917,NA,26.567,Yes,No,0,0.4771
A15-590GC,20.117,67.917,NA,26.567,Yes,Yes,0,0.37029999999999996
A15-591GC,23.117,59.367,NA,26.056,No,No,0,0.016200000000000003
A15-591GC,23.117,59.367,NA,26.056,No,Yes,0,0.4351
A15-591GC,23.117,59.367,NA,26.056,Yes,No,0,0.2576
A15-591GC,23.117,59.367,NA,26.056,Yes,Yes,0,0.44789999999999996
A15-592FF,21,59.55,NA,26.494,No,No,0,0.017
A15-592FF,21,59.55,NA,26.494,No,Yes,0,0.2969
A15-592FF,21,59.55,NA,26.494,Yes,No,0,0.413
A15-592FF,21,59.55,NA,26.494,Yes,Yes,0,0.38100000000000006
A15-596FF,20.833,61.017,NA,26.571,No,No,0,0.0115
A15-596FF,20.833,61.017,NA,26.571,No,Yes,0,0.2325
A15-596FF,20.833,61.017,NA,26.571,Yes,No,0,0.5464
A15-596FF,20.833,61.017,NA,26.571,Yes,Yes,0,0.2794
A15-597A,18.933,61.383,NA,26.34,No,No,0,0.0427
A15-597A,18.933,61.383,NA,26.34,No,Yes,0,0.7672000000000001
A15-597A,18.933,61.383,NA,26.34,Yes,No,0,0.6517000000000001
A15-597A,18.933,61.383,NA,26.34,Yes,Yes,0,0.8422
A15-597B,17.433,57.183,NA,26.569,No,No,0,0.0246
A15-597B,17.433,57.183,NA,26.569,No,Yes,0,0.3575
A15-597B,17.433,57.183,NA,26.569,Yes,No,0,0.3944
A15-597B,17.433,57.183,NA,26.569,Yes,Yes,0,0.3809
A15-600FF,16.233,54.767,NA,26.599,No,No,0,0.0118
A15-600FF,16.233,54.767,NA,26.599,No,Yes,0,0.3262
A15-600FF,16.233,54.767,NA,26.599,Yes,No,0,0.45530000000000004
A15-600FF,16.233,54.767,NA,26.599,Yes,Yes,0,0.3218
A15-602FF,15.267,54.633,NA,26.802,No,No,0,0.0134
A15-602FF,15.267,54.633,NA,26.802,No,Yes,0,0.39280000000000004
A15-602FF,15.267,54.633,NA,26.802,Yes,No,0,0.42750000000000005
A15-602FF,15.267,54.633,NA,26.802,Yes,Yes,0,0.2699
A15-612GC,14.933,57.35,NA,28.65,No,No,0,0.056600000000000004
A15-612GC,14.933,57.35,NA,28.65,No,Yes,0,0.11560000000000001
A15-612GC,14.933,57.35,NA,28.65,Yes,No,0,0.38439999999999996
A15-612GC,14.933,57.35,NA,28.65,Yes,Yes,0,0.6853999999999999
