corename,latitude,longitude,depth, Orbulina universa, Globigerinoides conglobatus, Globigerinoides ruber (total of pink & white), Globigerinoides tenellus, Globigerinoides sacculifer (total), Sphaeroidinella dehiscens, Globigerinella aequilateralis, Globigerina calida , Globigerina bulloides, Globigerina falconensis, Globigerina digitata, Globigerina rubescens, Globigerina quinquiloba," Neogloboquadrina pachyderma, left coiling"," Neogloboquadrina pachyderma, right coiling", Neogloboquadrina dutertrei (includes p/d intergrade), Globoquadrina conglomerata, Globoquadrina hexagona, Pulleniatina obliquiloculata, Globorotalia inflata," Globorotalia truncatulinoides, left coiling"," Globorotalia truncatulinoides, right coiling", Globorotalia crassaformis, Globorotalia hirsuta, Globorotalia scitula, Globigerinita glutinata
A156  4,34.817,-74.683,750,0.3,0.6,28.8,1.3,9.1,0.3,2.8,0,5.6,5,0,4.7,5.6,0,2.5,6.6,0,0,2.2,6.6,1.3,0,0,0,0.6,16.3
A164  5,37.767,-71.235,171,0.3,0.3,7.4,1.7,1.1,0,0.9,0,7.1,0.3,0,0.6,2.6,15.4,10.9,8,0,0,0.3,30,0.6,0.9,0.3,0,0.6,10.9
A164  6,38.133,-69.851,109,1.6,0,3.8,0,0.5,0,0.5,0,14.6,0.5,0,0,1.1,28.6,19.5,3.2,0,0,0,17.3,0,0.5,0,0,0,8.1
A164 24,36.483,-69,75,1.3,1.9,10.3,0,7.7,0,1.9,0,4.5,0.6,0,0.6,0,1.3,6.4,14.7,0,0.6,0,36.5,1.3,1.3,0.6,1.3,0,7.1
A164 61,39.535,-68.783,100,1,0,4.3,0.8,2,0,0.8,0,14.3,1,0,1.5,3.3,13.3,11.2,10.7,0,0,0.3,29.1,0.3,0,0,0,0.3,5.9
A167 13,31.65,-75.35,140,1,0.3,27.1,1.9,2.5,0,1.9,2.2,4.8,1.9,0,1.6,0,0,1.9,6.7,0,0,0,23.9,2.2,3.2,0.6,0,3.2,13.1
A167 14,31.467,-76.467,100,0.6,0,29.4,4,0,0,2.5,5.3,3.7,1.5,0.3,1.5,0,0,0,1.5,0,0,0,23.2,1.2,7.7,0,0.3,4.6,12.4
A172  1,17.233,-73.467,40,0.4,0,56.1,0.6,9.5,0,2.5,0,1.9,0,0,2.5,0.4,0,0.2,10.5,0,0,0,2.5,1.1,1.5,0,0,1.5,8.8
A172  2,16.2,-72.317,60,0.2,0.5,44.1,1.7,10.8,0,2.6,0,1.7,0,0,4.5,0.5,0,0.5,9.9,0,0,0,8.5,0,0.7,0,0,1.2,12.7
A173  4,33.867,-62.533,72,0.3,0.6,9.2,0.3,2.1,0,0,1.2,4.4,1.5,0.3,0,0,0.3,3.6,10.4,0,0,0,52.7,4.4,3,0.6,2.4,0.3,2.7
A179 15,24.8,-75.918,149,0.9,0.5,48.7,13.8,2.6,0,9.1,1.4,0.2,0.7,0.5,1.6,0,0,0,0.9,0,0,0,2.3,0.5,4.4,0,0,0,11.9
A180  9,39.45,-45.95,60,0.3,0,3.8,0,0.3,0,0.3,0.3,13.5,0.3,0,0,2.6,17.6,20.9,16.3,0,0,0.3,20.4,0,0,0,0,0.5,2.8
A180 15,39.267,-36.7,60,0.4,0,10.3,0,0.7,0,0.3,0,9.6,1,0,0.3,0.7,6.3,16.3,12.1,0,0,0,33.1,0.1,0.7,0,1.3,1.3,4.9
A180 16,38.35,-32.483,70,0,0,4.4,0.3,0.6,0,0.3,0.3,17.2,4.1,0,0.9,10.3,0.9,13.8,6.6,0,0,0,14.1,0.3,0.9,0,0,8.5,16.3
A180 32,29.117,-26.25,60,0,0.3,35.5,1.8,1.5,0,1.8,0.6,2.1,12.1,0.3,0.6,0,0.6,1.8,3.6,0,0,0,21,1.2,9.5,2.4,0.6,0.3,2.7
A180 39,25.833,-19.3,30,0.7,0,8.5,0.2,0.9,0,2.4,0.2,17.4,6.7,0.4,0.2,1.7,1.1,13.5,29.6,0,0,0,11.5,0,0.7,0.4,0,0.4,3.5
A180 47,15.318,-17.918,350,1,0,10.7,3.3,1.5,0,1,2,55,1,0.5,0,2,0.3,0.5,11.5,0,0,0,5.9,0,0,0.3,0,0.3,3.3
A180 48,15.317,-18.1,529,0.3,0,38.8,1.2,5.8,0,0.9,1.2,31.3,0,0,0.6,0,0.3,0.9,6.7,0,0,0,6.7,0,0,0.3,0,0.3,4.9
A180 56,12.235,-17.767,100,1.1,0,15.4,0.2,5.5,0,2.6,0.7,44.1,1.1,0,1.3,0.4,0,6.1,11.4,0,0,0,2.9,0.2,0.2,1.3,0,1.1,4.4
A180 72,0.585,-21.783,46,0.3,0.6,5.3,0,5.6,0,0,0.3,2.8,0.6,0,0.3,0,1.4,4.7,45.6,0,0,0,14.2,0,10.8,1.7,0,0,6.1
A180 73,0.167,-23,60,0.7,0.2,13.3,0,11,0,1.1,0.7,1.4,0.9,0,2.1,0,0.5,4.1,36.8,0,0,0.2,4.8,0,7.4,1.4,0,0.2,13.1
