Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
A152-84,44.35,-30.267,-2750,0,16.476,0.84,0,6.49,0.84,0,0,0.84,1.78,13.18,13.81,0,1.26,2.2,1.78,6.49,12.24,0,0,0,14.44,1.46,2.2,0,3.45,8.79,7.95
A153-154,28,-38.783,-4020,0,23.194,0.21,0.53,44.73,5.06,1.05,0,3.8,0,1.27,8.44,0,1.58,0,0,0.53,0,0,0,0,9.92,4.64,4.11,1.27,0.53,1.05,11.29
A15-547TW,28,-38.783,,0,26.143,0,0.33,12.33,0.33,2.2,0,0.66,1.21,48.79,3.74,0,3.08,0,0,0,8.59,0,1.21,0.88,0,0,0,0,0,1.54,15.09
A15-552TW,12,51.9,,0,26.141,0.34,0.34,5.29,0.34,2.47,0,1.91,0,24.41,4.39,0,0.34,0,0,2.14,30.03,0,1.91,6.3,0,0,0.34,0.34,0,0.67,18.45
A15-558P,10.25,53.167,,0,26.339,0.41,0.41,14.99,0.82,4.36,0.41,2.18,0.82,11.17,1.36,0,2.18,0,0.41,1.36,12.4,0.82,0.41,13.35,0,0,0,0.82,0,0,31.34
A15-558TW,8.983,51.733,-3985,0,26.339,0,0,3.44,1.34,6.31,0.76,2.68,0,12.43,2.68,0,0,0,0,0.76,20.65,0.76,0,20.65,0,0,0,0,0,0,27.53
A15-559FF,8.983,51.733,-3797,0,26.339,0.57,0,24.94,0,2.17,0.34,1.26,0.57,21.85,0.57,0.34,1.26,0,0.34,0,3.43,0,0.57,0.57,0,0,0,0,0,0,41.19
A15-572FF,8.9,51.617,,0,28.068,0.44,2.5,6.61,0,10.57,1.47,11.31,0.44,9.84,0.44,2.94,0,0,0,0,20.7,1.03,0.73,25.11,0.44,0,0,0,0,0,5.43
A15-585GC,9.217,60.217,,0,27.446,0.32,0.74,28.5,4.56,2.86,0,1.38,1.8,8.47,19.7,0,5.3,0.32,0,0,0.74,0,0,1.06,0,0,0,0,0,0,24.26
A15-586TW,20.15,69.433,,0,27.208,0,1.23,26.23,1.23,2.47,0,0,0,7.41,19.14,0,0.93,0,0,0,1.85,0,0,2.47,0,0,0,0,0,0,37.04
A15-590GC,20.117,67.917,,0,26.567,0,0.76,9.04,1.53,2.29,0,0.76,0,20.48,15.14,0,0,0,0,0,3.81,0,2.29,1.53,0,0,0,0,0,0,42.37
A15-591GC,23.117,59.367,,0,26.056,0,0,14.72,3.25,0.65,0,0.32,0.97,40.26,10.17,0,2.27,0.32,0,0,4.55,0,0,0.32,0,0,0,0,0,1.3,20.89
A15-592FF,21,59.55,,0,26.494,0.68,0,10.81,0.68,4.89,0,2.84,0.34,29.01,7.05,0.34,0.34,0.68,0,0,16.5,0,0,5.23,0,0,0,0,0.34,0.68,19.57
A15-596FF,20.833,61.017,,0,26.571,0,0,7.56,0.57,5.27,0.57,3.55,0.57,22.68,2.29,1.15,0,0,0,0,16.84,0,1.15,2.86,0,0,0,0,0,0,34.94
A15-597A,18.933,61.383,,0,26.34,0,0,12.14,1.9,0.84,0.32,2.22,0.84,40.02,5.49,0,1.06,0.53,0,0,5.49,0,0.53,0,0,0,0,0,0,1.06,27.56
A15-597A,18.933,61.383,,0,26.34,0.32,0,16.54,0.86,2.69,0,2.04,0.86,33.94,6.44,0,2.04,0,0,0,7.09,0,0.32,0.86,0,0,0,0,0,1.83,24.17
A15-597B,17.433,57.183,,0,26.569,0,0,15.08,1.9,1.56,0,1.23,0.67,33.85,1.9,0,1.9,0.34,0,0,5.59,0,1.23,0.89,0,0,0,0,0,0.89,32.96
A15-600FF,16.233,54.767,,0,26.599,0.32,0,11.84,0.65,2.69,0,1.18,0,31.97,3.34,0.32,0.97,0,0,0,6.67,0,0,2.69,0,0,0,0,0,1.18,36.17
A15-602FF,15.267,54.633,,0,26.802,0.33,0,9.71,1.67,2.9,0,1,0.67,37.61,1,0,1,0,0,0,9.71,0,0.67,3.24,0,0,0,0,0,0.67,29.8
A15-612GC,14.933,57.35,,0,28.65,0,0.56,24.22,2,10.44,0,2.78,1.44,9.56,2,1.44,1.44,0,0,0,9.33,2.22,3.11,5.11,0,0,0,0,0,0.33,24
A15-614TW,13.583,71.567,,0,28.697,0.34,0.34,19.68,0.34,7.24,0,5.43,1.47,21.49,0.57,1.47,0,0,0,0,12.78,2.15,4.3,0.9,0,0,0,0,0,0.57,20.93
A15-618GC,9.9,74.183,,0,28.688,0.78,1.79,21.84,4.48,7.84,0.56,2.24,3.02,17.81,0.78,0,1.57,0,0,0,14.11,1.79,2.46,4.03,0,0,0,0,0,1.57,13.33
A157-3,50.933,-41.75,-4025,0,11.865,0,0.1,0.61,0,0.1,0,0,0,21.77,0.41,0,0,0.41,13.84,12.21,21.16,0,0,0,23.5,1.12,0.71,0,2.03,0,2.03
A164-13,35.717,-67.333,-5103,0,23.219,0.23,0.79,19.26,0,9.12,0.23,2.03,0.56,26.91,1.24,0,0,0,0,1.24,8.33,0,0,5.63,11.37,3.83,0.79,0,6.64,0,1.8
A164-15,36.133,-68.917,-4624,0,23.264,0.69,0.69,16.59,0,4.69,0.34,2.17,0,20.37,2.52,0,0,0,0.34,4.35,14.76,0,0,5.61,19.68,3.43,0,0.34,3.09,0,0.34
A164-16,36.15,-69.15,-4624,0,23.246,1.59,0.74,24.55,0,9.74,0.21,2.54,0.74,13.65,3.7,0.42,0,0,0,2.12,10.16,0,0,3.28,7.2,6.03,1.59,0,3.92,0,7.83
A164-17,35.783,-68.933,-4824,0,23.303,0.34,1.13,19.16,0,7.03,0,1.36,0.57,19.39,1.7,0.57,0,0,0.34,3.06,13.27,0,0,1.7,17.12,5.9,0.34,0,5.67,0,1.36
A164-23,36.217,-69.4,-4512,0,23.246,0.74,0.74,20.57,0,9.01,0,2.55,0,16.76,2.76,0.21,0,0,0,3.5,8.8,0,0,4.56,10.82,6.26,0,0.21,7.74,0,4.77
A167-1TW,37.65,-72.95,-2706,0,21.694,0.76,3.16,1.2,0,1.42,0,0,0,3.38,0.44,0,0,0,1.42,14.05,35.4,0,0,1.96,33.22,0.44,0.22,0,0.76,0,2.18
A167-12,31.833,-74.35,-4700,0,24.171,0,3.53,36.27,0,4.19,0.22,4.96,0.44,7.39,2.21,0.22,0,0,0,0,8.05,0,0,3.97,6.73,12.35,0.44,0,4.52,0,4.52
A167-13,31.65,-75.35,-2880,0,24.41,2.38,1.19,33.95,0.86,7.78,0,9.3,4.22,2.7,6.92,0,0.65,0,0,0,5.08,0,0,1.51,2.05,8.11,1.51,0.32,1.84,0.32,9.3
A167-18TW,29.767,-76.8,-1015,0,25.074,0.65,0.65,33.23,3.03,6.39,0,7.03,4,0.32,0.97,0,2.06,0,0,0,2.71,0,0,1.73,0.32,1.73,2.38,0,0.32,0.97,31.49
A179-13,23.933,-75.75,-1847,0,26.873,1.46,1.15,56.46,9.38,3.44,0,6.25,1.46,0,0.31,0,3.13,0,0,0,0.52,0,0,0,0,1.67,4.79,0,0,0.31,9.69
A179-15,24.8,-75.933,-3109,0,26.549,1.23,0.92,50.51,11.68,5.64,0,6.56,1.23,0.31,0,0,6.25,0,0,0,0.92,0,0,0,0,1.23,0.92,0,0.31,0,12.3
A179-20,30.783,-67.667,-4993,0,23.721,1.33,1.02,52.97,0.31,1.84,0,2.66,0,14.55,0.31,0.31,0,0,0,0,1.64,0,0,0.31,6.86,7.38,2.15,0,4,0,2.36
A179-24,35.767,-69.083,-4663,0,23.358,2.29,0.94,17.4,0,10.94,0,5.63,3.23,6.04,1.15,0.42,0,0,0.21,0.73,9.79,0,0,6.25,16.04,5.52,0.94,0,3.75,0,8.75
A179-6,19.4,-78.55,-4731,0,27.741,2.53,0,55.51,0.33,16.19,0,5.95,1.54,0,0.99,0,0.99,0,0.33,0,4.63,0,0,0,0.33,0,2.2,0.99,0,0.66,6.83
A179-7,19.917,-73.833,-2926,0,27.867,4.37,0.55,37.12,2.18,7.86,0,16.48,2.18,0,0.33,0,1.86,0,0,0,2.4,0,0,0,0,0,2.18,0,0,0.55,21.94
A180-13,39.133,-42.65,-4880,0,20.205,0.42,0.83,11.04,0.21,3.23,0,0.42,0.63,7.4,0.42,0,0,0,0.42,6.77,16.98,0,0,2.6,28.02,5.73,2.29,0,8.54,0,4.06
A180-15,39.267,-36.7,-4610,0,19.498,0.52,0.21,17.03,0.52,1.78,0,1.46,0.21,18.5,13.79,0.52,0,0.52,0.73,2.19,4.49,0,0,0,11.39,5.64,1.46,0,5.64,3.97,9.4
A180-20,33.333,-27.367,-4040,0,20.813,0.63,0.21,24.76,2.61,3.13,0,2.4,0.42,11.49,16.82,0.21,0,0.21,0,1.78,1.57,0,0,0,9.51,3.97,2.93,0,3.13,4.7,9.51
A180-39,25.833,-19.3,-3470,0,20.833,1.59,0,25.85,1.8,15.25,0,3.71,0.95,1.8,7.52,0.74,1.59,0,0.74,5.3,3.71,0,0,1.59,10.7,7.31,1.17,0.74,0,0.21,7.73
A180-69,5.283,-17.067,-5100,0,27.867,1.99,0,7.46,1.99,5.22,6.22,3.23,1.99,1.99,0,1.99,1,0,1,0,24.13,0,0,26.37,1.99,1,1,6.22,1,1,3.23
A180-70,3.65,-18.3,-4846,0,27.379,0.58,0.97,5.04,0.58,17.44,6.2,2.52,0,0,0,2.13,0,0.58,0.58,0,29.65,0,0,26.55,0,0,0,6.2,0,0,0.97
A180-72,0.6,-21.783,-3841,0,26.28,1.43,0,44.37,0.33,18.43,0,5.41,0.33,0,3.64,0,1.43,0,0,0,3.2,0,0,2.21,0,0.33,0,0.77,0,2.21,15.89
