Core,Latitude (N),Longitude (E),Depth (m),Basin,Age (ka),F. profunda (%),Time period,NPP(mg C/m2/day)
16772,-1.35,-12,3912,SAtl,0.269906,48.3871,MLH,154.3198756
16772,-1.35,-12,3912,SAtl,0.809717,55.4839,MLH,131.0550814
16772,-1.35,-12,3912,SAtl,2.42915,56.4516,MLH,128.1671905
16772,-1.35,-12,3912,SAtl,3.77868,62.2581,MLH,112.1274291
16772,-1.35,-12,3912,SAtl,5.93792,61.2903,MLH,114.6541726
16772,-1.35,-12,3912,SAtl,19.7031,43.2258,LGM,173.7940342
16772,-1.35,-12,3912,SAtl,21.8623,40.9677,LGM,183.0694448
94KL,22.48,65.65,2109,Ind,1.63666,21.5385,MLH,286.3570399
94KL,22.48,65.65,2109,Ind,3.92799,20.4396,MLH,293.6952107
94KL,22.48,65.65,2109,Ind,4.58265,37.5824,MLH,197.910513
94KL,22.48,65.65,2109,Ind,5.89198,37.1429,MLH,199.9235084
94KL,22.48,65.65,2109,Ind,19.3126,10.7692,LGM,366.9449071
94KL,22.48,65.65,2109,Ind,20.2946,13.1868,LGM,347.0762244
94KL,22.48,65.65,2109,Ind,20.9493,18.022,LGM,310.5080504
94KL,22.48,65.65,2109,Ind,21.6039,17.1429,LGM,316.8574074
94KL,22.48,65.65,2109,Ind,21.6039,11.4286,LGM,361.4155751
94KL,22.48,65.65,2109,Ind,22.2586,12.7473,LGM,350.6064202
94KL,22.48,65.65,2109,Ind,22.9133,12.967,LGM,348.8372583
94KL,22.48,65.65,2109,Ind,23.2406,15.6044,LGM,328.283356
Arose C_33,38.39,10.35,2368,Med,2.45763,33.2463,MLH,218.6904733
Arose C_33,38.39,10.35,2368,Med,3.12789,26.5299,MLH,255.2665239
Arose C_33,38.39,10.35,2368,Med,3.35131,25.8582,MLH,259.2452838
Arose C_33,38.39,10.35,2368,Med,4.02157,33.9179,MLH,215.3346231
Arose C_33,38.39,10.35,2368,Med,4.46841,15.1119,MLH,332.027354
Arose C_33,38.39,10.35,2368,Med,4.91525,23.5075,MLH,273.6641222
Arose C_33,38.39,10.35,2368,Med,5.3621,24.1791,MLH,269.4646901
Arose C_33,38.39,10.35,2368,Med,19.4376,0,LGM,470.2110864
Arose C_33,38.39,10.35,2368,Med,20.5547,0.335821,LGM,466.5891703
Arose C_33,38.39,10.35,2368,Med,21.225,5.03731,LGM,418.7162005
Arose C_33,38.39,10.35,2368,Med,22.3421,1.34328,LGM,455.8899984
