Site,References,Basin,Latitude,Longitude,Depth,d15N,Trace metals,Lamitions,Forams,Hol-LGM
PO200-10-28-2,"Baas et al., 98",Atlantic,41.48833333,-9.721,2155,,,,1,1
SO75-26KL,"Baas et al., 98",Atlantic,37.82166667,-9.503333333,1099,,,,0,0
ODP1002,"Haug et al., 98/Peterson et al., 00/Yarincik et al., 00",Atlantic,10.70666667,-65.17,893,1,-1,-1,,-1
PL07-39PC,"Dean, 07",Atlantic,10.7,-64.94166667,790,,-1,-1,,-1
MD03-2621,"Meckler et al., 07",Atlantic,10.67816667,-64.9715,850,0,,-1,,-1
11147,"Thomson et al., 90",Atlantic,29.71666667,-14.66666667,4363,,1,,,1
SU94-20bK,"Martinez et al., 00",Atlantic,25.017,-16.392,1445,-1,1,,,1
8534,"Thomson et al., 90",Atlantic,13.31666667,-20.66666667,4568,,1,,,1
8539,"Thomson et al., 90",Atlantic,10.91666667,-18.46666667,4604,,1,,,1
A180-74,"Thomson et al., 90",Atlantic,-5.00E-04,-24.16666667,3330,,1,,,1
10549,"Thomson et al., 90",Atlantic,-6.67E-04,-16.16666667,3525,,1,,,1
PS 2082,"Frank et al., 00",Atlantic,-43.22,11.73833333,4610,,1,,,1
PS1754-1,"Frank et al., 00",Atlantic,-46.77,7.611666667,2470,,1,,,1
PS 1756-5,"Frank et al., 00",Atlantic,-48.73166667,6.713333333,3787,,1,,,1
PS 1768-8,"Frank et al., 00",Atlantic,-55.60666667,4.466666667,3270,,1,,,1
MD04-2876,"Pichevin et al., 07",Indian,24.84283333,64.00816667,828,-1,,,,-1
NIOP478,"Reichart et al., 02",Indian,24.21166667,65.66166667,565,,,1,,1
SO90-137KA,"von Rad et al., 99",Indian,23.12166667,66.49666667,573,,,0,0,0
SO90-111KL,"Schulz et al., 98/Suthhof et al., 01",Indian,23.09666667,66.48366667,775,-1,,,,-1
SO90-119KA,"von Rad et al., 99",Indian,23.0965,66.4825,774,,,0,,0
ME33-ST,"Suthhof et al., 01",Indian,19.999,65.68433333,3170,-1,,,,-1
NIOP484,"Reichart et al., 02",Indian,19.49666667,58.42833333,516,,1,1,,1
RC27-14,"Altabet et al., 02",Indian,18.25333333,57.655,596,-1,,,,-1
RC27-23,"Altabet et al., 02",Indian,17.99333333,57.59,820,-1,,,,-1
SO42-74KL,"Suthhof et al., 01",Indian,14.321,57.347,3212,-1,,,,-1
NIOP 905P,"Ivanochko et al., 05",Indian,10.76666667,51.95,1586,-1,,,,-1
NIOP455,"den Dulk et al., 98/Reichart et al., 98",Indian,23.55666667,65.95,1002,-1,1,1,1,1
NIOP464,"Reichart et al., 98",Indian,22.25666667,63.585,1470,-1,,,,-1
ODP723,"Altabet et al., 95",Indian,18.05166667,57.61,808,-1,,,,-1
V34-101,"Altabet et al., 99",Indian,17.48816667,67.42333333,3038,-1,,,,-1
RC27-61,"Altabet et al., 95",Indian,16.65833333,59.52333333,1893,-1,,,,-1
MD76-131,"Ganeshram et al., 00",Indian,15.53,72.56833333,1230,-1,,,,-1
GC-08,"Bakar et al., 05",Indian,15.48333333,72.85,2500,-1,,,,-1
GeoB3004,"Schmiedl & Leuschner, 05",Indian,14.605,52.92,1803,,,,1,1
SK-20-185,"Sarkar et al., 93",Indian,10,71.83333333,2523,,1,,,1
SK-129/CR-05,"Pattan&Pierce, 09",Indian,9.35,71.98333333,2300,,1,,,1
MD94-102,"Bareille et al., 98/Dezileau et al., 02",Indian,-43.5,79.8,3205,,1,,,1
RC11-120,"Bareille et al., 98",Indian,-43.5,79.9,3193,,1,,,1
MD88-769,"Bareille et al., 98/Dezileau et al., 02",Indian,-46.1,90.1,3420,,1,,,1
MD94-104,"Dezileau et al., 02",Indian,-46.5,88.1,3460,,1,,,1
MD88-772,"Bareille et al., 98",Indian,-50,104.9,3240,,1,,,1
MD88-773,"Bareille et al., 98",Indian,-52.9,109.9,2460,,1,,,1
MD88-773,"Francois et al., 97",Indian,-52.91666667,109.867,2460,,1,,,1
MD84-552,"Francois et al., 97",Indian,-54.91666667,73.83333333,1780,,1,,,1
