Core,Latitude,Longitude,Productivity_anomlies
PS2212-3,82.06666667,15.71666667,-1
PS2138-1,81.53333333,30.6,-1
SU90/39,52.56666667,-21.1,0
SU90/08,43.5,-30.4,0.5
MD952040,40.58333333,-9.866666667,0.5
MD952039,40.5785,-10.3485,1
MD952042,37.75,-10.16666667,0.5
GeoB5559-2,31.645,-13.18666667,1
GeoB4216-1/2,30.63,-12.395,1
GeoB4242-5,29.675,-17.8883,-1
GeoB4223-2,29.0167,-12.4667,1
GeoB4240-2,28.8883,-13.225,1
SU94-20bK,25.01666667,-16.65,1
SU94-11K,21.48333333,-17.95,-1
ODP 658,20.75,-18.5833,-1
V30-51K,19.87,-19.92,1
V30-49,18.43,-21.08,1
GIK16408-2,9.0133,-21.4567,0.5
GIK16459-1,7.2767,-26.1867,-1
EN06601-0010PG,6.64,-21.897,-1
GIK13519-1,5.67,-19.8517,1
EN6601-0047PG,5.313,-22.197,-1
KN11002-0055PG,4.948,-42.892,1
EN06601-0038PG,4.918,-20.498,-1
KN11002-0050PG,4.865,-43.205,1
GeoB2910-1,4.85,-21.05,1
KN11002-0058PG,4.792,-43.038,1
KN11002-0091PG,4.76,-43.307,1
GeoB1520-2,4.59,-41.9333,-1
KN11002-0066PG,4.563,-43.382,1
KN11002-0071PG,4.363,-43.697,1
KN11002-0075PG,4.342,-43.408,1
KN11002-0082PG,4.337,-43.487,1
EN06601-0036PG,4.305,-20.212,1
GeoB1515-1,4.238333333,-43.66666667,-0.5
GeoB1523-1,3.8317,-41.6217,1
GeoB1523-1,3.831666667,-41.62166667,-0.5
GIK13521-1,3.02,-22.0317,-1
EN06601-0029PG,2.46,-19.762,1
GeoB1505-2,2.2667,-33.015,1
RC13-189,1.87,-30,1
GeoB1101-4/5,1.6583,-10.98,1
RC16-66,0.75,-36.617,1
V29-144,-0.2,6.05,1
V30-40,-0.2,-23.15,1
V30-41K,-0.22,-23.07,1
V22-182,-0.55,-17.27,1
ODP 663,-1.2,-11.88,1
RC24-07,-1.35,-11.92,1
GeoB1105-4,-1.665,-12.4283,1
GIK16867-2,-2.2017,5.1017,1
RC24-12,-3.007,-11.42,1
GeoB1041-3/1,-3.475,-7.6,1
GeoB1118-3,-3.56,-16.4283,1
GeoB1115-3,-3.5617,-12.56,1
GeoB3104-1,-3.6667,-37.7167,1
GeoB1117-2/3,-3.815,-14.8967,1
GeoB1117-2,-3.815,-14.8967,-1
GeoB3117-1,-4.295,-37.0917,1
175-1075A,-4.7853,10.075,1
RC24-16,-5.03,-10.2,1
T78-33,-5.18,7.97,1
GeoB1112-4,-5.7783,-10.75,-1
GeoB1112-4,-5.7783,-10.75,1
GeoB1008-3,-6.581666667,10.31333333,1
T78-46,-6.84,10.76,1
GeoB1401-4,-6.9262,9.0057,1
V22-177,-7.75,-14.62,0.5
T78-45,-7.8,10.12,1
GeoB2202-4,-8.1983,-34.265,0.5
GeoB2204-2,-8.5283,-34.0217,0
T78-42,-8.61,8.8,1
GeoB1016-3,-11.77,11.68166667,1
