Core,Latitude,Longitude,LGM,MLH,anomaly(mg_C/m2/day)
16772,-1.35,-12,178.4317395,128.0647498,50.36698966
94KL,22.48,65.65,341.3161499,244.471568,96.84458186
CAMEL-1,5.1069,-21.04,76.00488474,73.16861463,2.83627011
GeoB 1117-2,-3.815,-14.8967,129.7603488,107.499546,22.26080278
GeoB 1214-1,-24.69,7.24,462.8908055,457.5684956,5.322309933
GeoB 13617-1,20.71,-21.18,301.987524,222.0365137,79.95101027
GeoB 1523-1,3.8317,-41.6217,167.378633,232.2135344,-64.8349014
GeoB 2908-7,0.1067,-23.3233,238.9545796,201.9611968,36.99338288
GeoB 5546-2,27.5367,-13.7367,400.4601329,319.6650639,80.79506896
GeoB 5844-2 ,27.72,34.69,215.63177,172.6292773,43.00249275
GeoB1028-5,-20.104,9.185833,384.1309005,353.1223147,31.00858585
GeoB12613-1,-5.48,40.93,141.1132565,129.3814957,11.73176082
GeoB1710-3,-23.431667,11.698333,408.4715258,436.1148334,-27.64330757
KF13,-20.1,-39,300.9836222,251.9578646,49.02575755
KT84-14P1,23.836,124.401,227.6267563,135.8194178,91.8073385
KX21-2,-1.4,158,130.1341663,117.8038761,12.33029019
M35003-4,12.09,-61.2433,239.2098736,175.5418045,63.66806909
MD-2901,14.37,110.74,89.98870607,81.09829083,8.890415238
MD-2904,19.45,116.25,166.9202784,191.5678152,-24.64753671
MD01-2378,13.08,121.78,185.0232488,138.2119327,46.81131612
MD01-2386,1.13,129.8,155.1159328,152.9802338,2.135698999
MD02-2510,24.64,-110.6,339.2044427,212.0966384,127.1078043
MD02-2529,8.205,-84.11,275.1195888,246.9876877,28.13190115
MD06-3067,6.51433,126.49766,215.0843401,163.6324566,51.4518835
MD06-3075,6.476167,125.832,230.5738017,193.6390788,36.93472287
MD85674,3.18,50.43,117.2029006,168.9732455,-51.77034493
MD97-2141,8.47,121.17,190.3401807,120.7332409,69.60693978
MD972138,-1.41,146.23,124.4045985,120.3020718,4.102526717
ODP 1082,-21.0939,11.8206,449.6994997,454.2919051,-4.5924054
ODP 1109C,-9.5,151.51,139.1650481,115.2501032,23.91494488
ODP 1202,24.8,122.5,332.1119351,254.0180784,78.09385667
ODP Hole 108-658C,20.7492,-18.5808,326.0131461,293.2297759,32.78337023
ODP Hole 130-807A,3.607,156.625,73.81681251,84.95313595,-11.13632343
ODP-1143,9.36,113.28,82.0237676,104.6005046,-22.576737
ODP1002,10.7,-65,447.1781043,411.2753615,35.9027428
ODP117–723 A,18,57.6,360.3299497,253.7446427,106.5853071
ODP677B ,1.28,-83.74,168.151439,95.91711376,72.23432526
RC13-110,0.1,-95.073,272.5748653,190.9821713,81.592694
RC24-02,0.56,-13.65,139.5752905,121.6406544,17.93463612
RC24-08,1.33,-11.9,161.2157296,148.0617675,13.1539621
RC24-17,-5.05,-10.18,137.9717898,153.1065608,-15.134771
RN87-PC4,25.345,127.4816,263.986589,165.8386923,98.1478967
RN89-PC3,24.75,127.0166,282.6128238,160.8338225,121.7790013
SAN-76,-24.43,-42.28,181.5510067,186.0616153,-4.51060855
SCS90-36,18,111.5,200.1181557,219.454977,-19.33682138
Site502B,17.08,-66.72,117.8400354,67.50327322,50.33676218
SK 17,15.25,72.96,311.5735976,206.0827969,105.4908007
SK-128A-30,15,71.68,199.4144987,113.7402968,85.67420192
SO139_74KL,-6.543,103.83367,146.653646,134.3885529,12.26509308
TR7532,14.82,-70.92,73.84020002,60.0195679,13.82063212
TY93-929,13.7,53.25,298.2762893,244.3862462,53.89004312
W84-14GC,0.95,-138.95,262.3464039,192.0386672,70.30773665
WP7,-3.933,156,124.5426165,104.0638077,20.47880883
