Core,Region,Longitude,Latitude,Water_depth,Dating_ctrl,Confidence_rank,Productivity_anomlies
PS2212-3,AT-ARC,15.71666667,82.06666667,2550,d18O,6,-1
PS2138-1,AT-ARC,30.6,81.53333333,995,d18O,6,-1
SU90/39,AT-NE,-21.1,52.56666667,3900,d18O,5,0
SU90/08,AT-NE,-30.4,43.5,3100,"14C, d18O",6,0.5
MD952040,AT-NE,-9.866666667,40.58333333,2465,d18O,5,0.5
MD952039,AT-NE,-10.3485,40.5785,3381,"14C, d18O",7,1
MD952042,AT-NE,-10.16666667,37.75,3146,d18O,7,0.5
MD952037,AT-NE,-32.03333333,37.08333333,2630,d18O,5,99
GeoB5559-2,AT-NE,-13.18666667,31.645,3178,d18O,6.498,1
GeoB4216-1/2,AT-NE,-12.395,30.63,2324,d18O,6.5,1
GeoB4242-5,AT-NE,-17.8883,29.675,4286,d18O,7,-1
GeoB4241-11,AT-NE,-15.4517,29.1667,3609,d18O,6,99
GeoB4223-2,AT-NE,-12.4667,29.0167,775,d18O,6,1
GeoB4240-2,AT-NE,-13.225,28.8883,1358,d18O,7,1
12309-2,AT-NE,-15.83833,26.83833,2820,d18O,4.5,99
12347-2,AT-NE,-17.845,26.825,2576,d18O,4.5,99
12310-4,AT-NE,-18.7167,26.49833,2080,d18O,4.5,99
12392-1,AT-NE,-16.845,26.17167,2575,d18O,4.5,99
SU94-20bK,AT-EEQ,-16.65,25.01666667,1445,d18O,9,1
SU94-11K,AT-EEQ,-17.95,21.48333333,1200,d18O,7,-1
ODP 658,AT-NE,-18.5833,20.75,2263,"14C, d18O",7,-1
V30-51K,AT-EQ,-19.92,19.87,3409,"14C, d18O",7,1
V30-49,AT-EQ,-21.08,18.43,3093,"14C, d18O",7,1
GIK16408-2,AT,-21.4567,9.0133,4239,d18O,6,0.5
GIK16459-1,AT-EEQ,-26.1867,7.2767,4835,d18O/14Cstrat,6,-1
EN06601-0010PG,AT-EEQ,-21.897,6.64,3527,d18O/14Cstrat,6,-1
GIK13519-1,AT-EEQ,-19.8517,5.67,2862,"14C, d18O",7,1
EN6601-0047PG,AT-EEQ,-22.197,5.313,N/A,N/A,4,-1
KN11002-0055PG,AT-EQ,-42.892,4.948,4556,d18O,6,1
EN66-38,AT-EEQ,-20.5,4.92,2931,d18O,7,
EN06601-0038PG,AT-EQ,-20.498,4.918,2937,d18O,6,-1
KN11002-0050PG,AT-EQ,-43.205,4.865,3995,d18O,6,1
GeoB2910-1,AT-EEQ,-21.05,4.85,2700,d18O,7,1
