,dbn,dbs,dsn,dss,dsst,dsal,dpo4,dchl,dfe
37,0.017655097,0.008768803,0.012028913,0.0016992586,-5.3445363,-0.33488083,-3.8512326e-08,0.012023956,-2.9400926e-12
38,0.016716858,0.008158724,0.011333403,0.001564051,-5.2400227,-0.33481216,-3.484388e-08,0.33151639,-1.6990298e-12
39,0.016723469,0.007962532,0.011290315,0.0015575401,-5.3182473,-0.34447098,-3.613286e-08,0.012737572,-2.0232704e-12
40,0.01570101,0.007537675,0.010555421,0.001403016,-5.1388874,-0.333683,-2.5813506e-08,-0.2799348,1.5932811e-12
41,0.015530644,0.0074325446,0.010384321,0.0013287505,-5.0117307,-0.32801437,-1.8632818e-08,-0.18706506,4.0589754e-12
42,0.0163172,0.007741471,0.010938496,0.0015011383,-5.000644,-0.3305397,-3.0673846e-08,-0.19437373,-1.2240209e-13
43,0.016445978,0.007822685,0.011032211,0.0016435818,-4.969781,-0.33047485,-4.0051418e-08,-0.24210322,-3.387679e-12
44,0.016738012,0.007943597,0.011286824,0.0016502617,-4.992347,-0.33052444,-3.385844e-08,-0.34700596,-1.214584e-12
45,0.017159013,0.0080703255,0.011592832,0.0017891303,-4.986523,-0.3304062,-3.467221e-08,-0.32102782,-1.4814261e-12
46,0.01712253,0.007998455,0.011578883,0.0019185906,-4.983009,-0.33022308,-3.6320216e-08,-0.30633995,-2.068734e-12
47,0.016885716,0.00785769,0.011363256,0.0018480215,-4.9579616,-0.33023453,-3.4946652e-08,-0.3201173,-1.5530355e-12
48,0.016235366,0.0075440416,0.010913779,0.0016361447,-4.956701,-0.330307,-3.325863e-08,-0.3493715,-9.366952e-13
49,0.014987091,0.0069749085,0.010100471,0.0016780342,-4.9751964,-0.3292961,-3.4819095e-08,-0.29241306,-1.4737656e-12
50,0.014847526,0.006915438,0.009993616,0.0016656173,-4.9750547,-0.32938766,-3.4277036e-08,-0.30834168,-1.2765899e-12
51,0.014694357,0.0068403454,0.009880794,0.0016525974,-4.972717,-0.3294716,-3.502555e-08,-0.2823221,-1.5454305e-12
52,0.014592053,0.006796483,0.009732066,0.0015177377,-4.951207,-0.32951355,-3.3510787e-08,-0.3316905,-1.023126e-12
53,0.014636682,0.00682796,0.009745327,0.0014393446,-4.9493217,-0.3294983,-2.2197128e-08,-0.32317537,2.9592995e-12
54,0.013605511,0.0062208585,0.009117214,0.0014795857,-5.0154223,-0.32522583,-1.542685e-08,-0.2751038,5.258627e-12
56,0.015979078,0.007384062,0.010701764,0.0010585934,-4.8639364,-0.33257675,-1.4501438e-08,-0.24695249,4.887535e-12
57,0.016071418,0.007376794,0.010811667,0.0015699565,-4.9492817,-0.3305664,-4.2851298e-08,-0.05217111,-5.1667004e-12
58,0.015998807,0.0073444047,0.010719003,0.0016291314,-4.924852,-0.33022308,-3.8689677e-08,-0.18608868,-3.755163e-12
59,0.015959464,0.0073181777,0.01069809,0.0017413027,-4.927209,-0.3300743,-3.8675807e-08,-0.17891088,-3.784084e-12
60,0.015257146,0.007028728,0.010201633,0.0015249536,-4.929109,-0.3292694,-2.9245484e-08,-0.43347478,-5.1486593e-13
61,0.014939092,0.0068913437,0.010018178,0.0015518125,-4.9513707,-0.32939148,-2.9456714e-08,-0.42319193,-5.594969e-13
62,0.014774729,0.0068276078,0.009940106,0.0015905476,-4.9769783,-0.3295517,-3.2013077e-08,-0.3450683,-1.3757329e-12
63,0.01468523,0.0068086116,0.009864806,0.0015812372,-4.9791074,-0.32964706,-3.111745e-08,-0.3819972,-8.790191e-13
64,0.01468618,0.0068428824,0.009853031,0.0015789261,-4.983324,-0.329628,-3.2609023e-08,-0.3423609,-1.2847501e-12
