Year,CO2_ppm
1763,277.1556866
1764,276.396102
1765,
1770,
1773,277.8559525
1775,
1779,280.2362982
1780,273.073717
1785,
1790,
1794,281.617118
1795,
1796,281.3545737
1799,282.7995519
1800,
1805,
1810,
1814,284.4312876
1815,
1820,
1825,281.3603653
1827,285.9089399
1830,
1833,284.4532795
1835,
1837,284.151984
1840,
1841,283.6545457
1843,281.5814826
1844,283.5311237
1845,283.182872
1846,283.6198857
1847,286.8392375
1850,284.001634
1851,287.1281131
1852,
1853,
1854,288.0544375
1855,285.5655772
1856,
1857,283.1621007
1858,
1859,286.6330756
1860,
1861,
1862,287.1745622
1863,285.3533188
1864,286.6541582
1865,
1866,
1867,285.0522923
1868,288.7641981
1869,
1870,287.1561379
1871,
1872,
1873,286.6550967
1874,291.5581975
1875,
1876,
1877,289.3281311
1878,
1879,
1880,287.7707292
1881,
1882,
1883,292.4639348
1884,289.494506
1885,
1886,288.1157637
1887,294.3417875
1888,
1889,292.3423879
1890,290.9175394
1891,
1892,295.1719293
1893,295.0879468
1894,293.4876862
1895,
1896,
1897,
1898,
1899,296.164411
1900,294.2207216
1901,
1902,295.6106368
1903,
1904,295.9913578
1905,299.0235966
1906,298.4775408
1907,
1908,
1909,301.5041354
1910,297.8691068
1911,298.3634466
1912,
1913,301.2977262
1914,300.7000887
1915,
1916,301.9151507
1917,
1918,303.8522213
1919,304.6132073
1920,301.8758604
1921,
1922,
1923,304.6900813
1924,
1925,304.8425357
1926,
1927,
1928,306.8433052
1929,305.6230468
1930,
1931,305.7409187
1932,308.2555622
1933,307.1116137
1934,308.3530852
1935,306.3197984
1936,308.3016427
1937,307.4076932
1938,311.067673
1939,310.8342309
1940,310.3760009
1941,309.7704657
1942,312.3719084
1943,
1944,312.3616402
1945,310.9383985
1946,312.2634107
1947,311.6146312
1948,311.57095
1949,309.6939936
1950,312.8310311
1951,
1952,312.1844627
1953,
1954,312.7313872
1955,314.7139613
1956,315.3420739
1957,315.3442642
1958,315.301
1959,315.9758333
1960,316.905
1961,317.6383333
1962,318.4483333
1963,318.9858333
1964,319.6125
1965,320.03
1966,321.3625
1967,322.1741667
1968,323.0466667
1969,324.6158333
1970,325.6758333
1971,326.3141667
1972,327.4541667
1973,329.675
1974,330.2425
1975,331.155
1976,332.16
1977,333.9041667
1978,335.5091667
1979,336.8566667
1980,338.6966667
1981,339.9466667
1982,341.145
1983,342.7891667
1984,344.495
1985,345.8858333
1986,347.1258333
1987,348.8508333
1988,351.2375
1989,352.7
1990,353.9858333
1991,355.3866667
1992,356.1708333
1993,356.8391667
1994,358.7075
1995,360.7225
1996,362.5066667
1997,363.6416667
1998,366.5183333
1999,368.2091667
2000,369.3825
2001,370.9325
2002,373.0158333
2003,375.5658333
2004,377.3033333
2005,379.56
2006,381.7666667
2007,383.5575
2008,385.4166667
2009,387.3375
2010,389.9091667
2011,391.6883333
2012,393.9433333
2013,396.645
2014,398.6983333
2015,400.8608333
2016,404.205
2017,406.5091667
2018,408.5208333
2019,411.4175
2020,413.9441667
2021,416.1083333
2022,417.978
