,bn,bs,sn,ss,sst,po4,prey,fe,lat,upwelling,stratification
72,0.66369355,0.17696023,0.13218059,0.027165689,-1.5935233,5.276414e-07,0.10833165,5.7941285e-10,59.44156799225373,0,1.17895524e-07
73,0.6420101,0.1980435,0.12521087,0.034735553,-1.4845029,5.5378024e-07,0.13238025,5.7963073e-10,59.44156799225373,0,-3.2081914e-08
74,0.6297961,0.20621328,0.12196937,0.042021193,-1.3238803,5.571901e-07,0.15445483,5.738617e-10,59.44156799225373,0,-6.953795e-08
75,0.626502,0.21660677,0.11260283,0.044288453,-1.2030258,5.3961395e-07,0.17042467,5.7185906e-10,59.44156799225373,0,-5.904854e-08
76,0.6399413,0.22116002,0.09670139,0.042197306,-1.0828007,6.1125564e-07,0.1794897,5.991824e-10,59.44156799225373,1,-2.441082e-07
77,0.64709836,0.22831099,0.08662135,0.037969347,-1.0457315,6.447864e-07,0.18626323,6.1421784e-10,59.44156799225373,1,-2.8126192e-07
78,0.6505285,0.22228251,0.096026346,0.031162668,-1.0624582,6.408329e-07,0.17326577,6.1737104e-10,59.44156799225373,1,-1.6852573e-07
79,0.64649886,0.2220703,0.09923071,0.03220004,-1.0852612,6.386442e-07,0.1716142,6.1957917e-10,59.44156799225373,1,-1.2245505e-07
80,0.6363271,0.21637101,0.10114588,0.046156,-1.1782153,6.569895e-07,0.17545953,6.28833e-10,59.44156799225373,1,-1.5673254e-07
81,0.63317966,0.20388475,0.112751074,0.050184473,-1.2846271,7.1215226e-07,0.16375422,6.4977174e-10,59.44156799225373,1,-1.4244722e-07
82,0.63806903,0.19997396,0.1126669,0.04929008,-1.3218652,7.7539414e-07,0.1588614,6.670017e-10,59.44156799225373,1,-8.740142e-08
83,0.63925624,0.20109844,0.11540293,0.044242345,-1.3643233,8.4710217e-07,0.15063335,6.830489e-10,59.44156799225373,1,-1.3869976e-07
84,0.66273916,0.20430526,0.10842225,0.024533331,-1.3886086,9.0972463e-07,0.14507124,6.914363e-10,59.44156799225373,1,-1.7687967e-07
85,0.64015055,0.1974631,0.117151484,0.045234833,-1.3857304,9.641003e-07,0.14685987,6.9455325e-10,59.44156799225373,1,-2.2770041e-07
86,0.66344,0.20141776,0.10994396,0.025198296,-1.3920224,9.54458e-07,0.14102536,6.8406e-10,59.44156799225373,1,-2.3198356e-07
87,0.66312665,0.20121104,0.11039549,0.025266841,-1.371484,9.021332e-07,0.14116554,6.6451683e-10,59.44156799225373,1,-1.283272e-07
88,0.66256833,0.20238616,0.10952563,0.025519919,-1.3895531,8.447632e-07,0.13794084,6.457549e-10,59.44156799225373,1,-2.2419295e-07
89,0.64079857,0.1947603,0.11880064,0.045640558,-1.3954645,8.24196e-07,0.14165795,6.4261085e-10,59.44156799225373,1,-2.3270582e-07
90,0.6721954,0.20004255,0.10835128,0.01941077,-1.3996447,8.7306455e-07,0.1261978,6.659544e-10,59.44156799225373,1,7.0633837e-07
91,0.66881293,0.18970625,0.11976845,0.021712368,-1.4924251,7.813834e-07,0.11360483,6.480956e-10,59.44156799225373,1,-1.0358817e-06
92,0.7547402,0.09260187,0.150438,0.0022199273,-1.748769,8.9579845e-07,0.039797574,7.7462936e-10,59.44156799225373,0,-1.4367777e-06
93,0.74356997,0.057061385,0.18078291,0.01858569,-1.7700319,9.266618e-07,2.9020875e-06,8.1354845e-10,59.44156799225373,1,6.157529e-08
94,0.9205578,0.01977698,0.05964518,2.008037e-05,-1.7831571,1.0705888e-06,3.1819252e-07,9.143714e-10,59.44156799225373,1,-1.53477e-07
96,0.88073933,0.018367918,0.045117788,0.055774946,-1.7935089,1.354726e-06,1.8202128e-07,9.931244e-10,59.44156799225373,1,-2.0469747e-07
99,0.79964626,0.021908276,0.17839088,5.4602056e-05,-1.7813308,1.3922111e-06,3.1243073e-07,9.0178753e-10,59.44156799225373,1,-2.0628443e-07
107,0.6991047,0.14508164,0.14202002,0.013793697,-1.6736126,5.4990585e-07,0.070331335,6.0050137e-10,59.44156799225373,0,1.6073633e-07
108,0.6998344,0.28548458,0.010951052,0.0037299183,-0.23249473,1.1404471e-06,0.27130598,7.3284434e-10,53.66394230733816,1,-4.773492e-07
109,0.6254191,0.37458092,3.7328567e-09,1.5343219e-09,0.26581174,1.2880502e-06,0.34346268,7.8073115e-10,53.66394230733816,1,-4.5476713e-07
110,0.5917059,0.40829405,3.3802816e-09,1.3898221e-09,0.7297895,1.2722132e-06,0.34158486,7.8501267e-10,53.66394230733816,1,-5.352663e-07
111,0.61371434,0.38628566,4.913985e-09,1.7620454e-09,1.2142553,1.2148552e-06,0.33571556,7.800127e-10,53.66394230733816,1,-5.5440137e-07
112,0.62445104,0.37554902,6.8651906e-09,2.1621682e-09,1.7067974,1.1316397e-06,0.3244212,7.6793777e-10,53.66394230733816,1,-5.253755e-07
113,0.622172,0.37782806,7.573777e-09,2.3187414e-09,2.1143577,1.038188e-06,0.32082257,7.5276085e-10,53.66394230733816,1,-8.641621e-07
114,0.6432993,0.35670075,8.927396e-09,2.7189795e-09,2.5273476,9.237506e-07,0.31572422,7.296218e-10,53.66394230733816,1,-1.1719244e-06
115,0.6768206,0.3231794,1.2457488e-08,3.2890068e-09,2.397064,8.516147e-07,0.32896423,7.0794537e-10,53.66394230733816,1,-8.261883e-07
116,0.6739408,0.32605916,8.882257e-09,2.6284632e-09,1.9169039,8.1846406e-07,0.34610987,6.926478e-10,53.66394230733816,1,-8.816319e-07
117,0.5859584,0.41404164,3.2176626e-09,1.4085719e-09,1.2712444,8.256301e-07,0.34937665,6.8798667e-10,53.66394230733816,1,-3.6364017e-07
118,0.5870207,0.41297933,2.8122058e-09,1.3070435e-09,0.8303961,8.828907e-07,0.34580764,6.988762e-10,53.66394230733816,1,2.8816203e-08
119,0.5926168,0.40738314,2.6932019e-09,1.1991763e-09,0.4754672,9.117697e-07,0.36383283,6.998233e-10,53.66394230733816,1,-1.4336752e-07
120,0.59303164,0.40696836,2.3620996e-09,1.2045168e-09,0.38526854,9.720769e-07,0.35759076,7.112353e-10,53.66394230733816,1,-1.613148e-07
121,0.6060688,0.39393127,3.123758e-09,1.3786775e-09,0.38216087,1.0290336e-06,0.3498747,7.210997e-10,53.66394230733816,1,-2.4140616e-07
122,0.6898693,0.31013072,7.315544e-09,2.2540148e-09,0.5377954,1.0305422e-06,0.34938246,7.156645e-10,53.66394230733816,1,-2.9712862e-07
123,0.8263563,0.17364372,1.3750505e-08,3.7232866e-09,0.7890357,1.0315854e-06,0.34700528,7.133222e-10,53.66394230733816,1,-3.5390792e-07
124,0.9999977,2.2703803e-06,2.8117094e-08,7.360108e-09,1.0027076,9.807693e-07,0.33625412,6.948021e-10,53.66394230733816,1,-6.6677114e-07
125,0.99999696,2.917633e-06,6.15638e-08,1.6908425e-08,1.4035655,8.74917e-07,0.3231964,6.6631667e-10,53.66394230733816,1,-3.0418867e-06
126,0.8570327,0.14296731,1.2526226e-08,3.6234686e-09,1.1885656,7.93854e-07,0.34393972,6.4020483e-10,53.66394230733816,0,-3.3370043e-07
127,0.7394084,0.2605916,6.779149e-09,2.4291302e-09,0.81156886,7.333519e-07,0.34433186,6.363507e-10,53.66394230733816,0,-4.4729984e-07
128,0.6479041,0.31409287,0.027033709,0.010969275,-0.4761283,5.9332615e-07,0.2608836,6.497593e-10,53.66394230733816,1,-7.037704e-07
129,0.661043,0.2521472,0.06310963,0.023700206,-0.9314936,5.9654457e-07,0.19909221,7.0461376e-10,53.66394230733816,1,-5.327582e-07
130,0.66421276,0.25568935,0.058594774,0.021503072,-1.0321223,6.2131153e-07,0.20082994,7.372327e-10,53.66394230733816,1,7.3593014e-08
131,0.65919507,0.25678608,0.058416877,0.025602093,-1.1091818,7.224695e-07,0.20092629,7.771578e-10,53.66394230733816,1,-1.04793344e-07
132,0.6700144,0.25614527,0.055031512,0.018808845,-1.1394428,8.088679e-07,0.19875681,7.841178e-10,53.66394230733816,1,-9.5809696e-08
133,0.6584903,0.26722795,0.052096583,0.022185156,-1.1493965,8.7534823e-07,0.20924582,7.758912e-10,53.66394230733816,1,-1.7176808e-07
134,0.6684142,0.25816435,0.05442221,0.018999267,-1.1200923,9.2106836e-07,0.20147218,7.621441e-10,53.66394230733816,1,-1.9311528e-07
135,0.6694983,0.26176095,0.051243633,0.01749708,-1.0762706,9.688256e-07,0.20396939,7.544821e-10,53.66394230733816,1,-2.493266e-07
136,0.67185783,0.25807726,0.052461304,0.017603522,-1.0153638,1.0002171e-06,0.20140241,7.4403983e-10,53.66394230733816,1,-2.4941096e-07
137,0.6523249,0.29594827,0.036486544,0.01524023,-0.86655766,9.988624e-07,0.23119265,7.329801e-10,53.66394230733816,1,-2.5124723e-07
138,0.6615555,0.2879743,0.037377656,0.013092497,-0.7174251,1.0690035e-06,0.22378066,7.3994677e-10,53.66394230733816,1,-3.283692e-07
139,0.66214406,0.2925414,0.03349173,0.011822769,-0.66823053,1.1626095e-06,0.22729103,7.520062e-10,53.66394230733816,1,-4.0386135e-07
140,0.6626861,0.29088458,0.03426721,0.012162143,-0.641583,1.1433492e-06,0.22641407,7.3918793e-10,53.66394230733816,1,-3.0467436e-07
141,0.64900106,0.31404528,0.02630582,0.010647872,-0.704738,1.0377472e-06,0.25276673,7.118409e-10,53.66394230733816,1,-4.7130993e-07
142,0.6576897,0.30498353,0.027330238,0.009996537,-0.5551518,1.0179494e-06,0.24194446,7.0571143e-10,53.66394230733816,1,-5.0443987e-07
143,0.70259607,0.28211838,0.011155248,0.0041302894,-0.4355628,1.0920046e-06,0.28135818,7.203765e-10,53.66394230733816,1,-4.820665e-07
144,0.49756685,0.5024331,3.8876324e-09,1.4207542e-09,2.1644347,9.4298287e-07,0.35664412,7.283378e-10,48.59037774223244,1,-3.921449e-07
145,0.49815503,0.50184494,5.925398e-09,1.6625222e-09,2.7190151,9.215925e-07,0.35169414,7.311258e-10,48.59037774223244,1,-4.667146e-07
146,0.5023184,0.49546632,0.002215283,2.0311162e-09,3.4378312,8.554312e-07,0.34290805,7.257073e-10,48.59037774223244,1,-3.6943607e-07
147,0.4937062,0.4866831,0.019610727,2.5830877e-09,4.0825405,7.731144e-07,0.33860892,7.1279266e-10,48.59037774223244,1,-3.4318396e-07
148,0.4890701,0.47980458,0.031125318,3.4695138e-09,4.695828,6.8550435e-07,0.33344474,6.9697836e-10,48.59037774223244,1,-2.5363255e-07
149,0.4696162,0.46895832,0.04538902,0.01603642,5.3592567,5.8254426e-07,0.32780835,6.722036e-10,48.59037774223244,0,-6.518981e-07
150,0.5253829,0.4517643,0.02285279,6.7379413e-09,6.4169664,4.5727032e-07,0.31197396,6.383214e-10,48.59037774223244,0,-1.9446234e-06
151,0.5177785,0.45856586,0.023655681,5.722092e-09,5.949728,4.4742015e-07,0.3204814,6.273252e-10,48.59037774223244,0,-1.5635601e-07
152,0.4714377,0.46572542,0.042220093,0.020616828,5.3691945,4.848194e-07,0.328673,6.2260946e-10,48.59037774223244,0,-1.4134688e-06
153,0.4505224,0.4761536,0.048053004,0.025270911,4.5120316,5.335409e-07,0.34297198,6.184511e-10,48.59037774223244,0,-1.9266719e-07
154,0.47009066,0.4951695,0.034003723,0.00073613477,3.7397242,6.0038025e-07,0.34903336,6.246973e-10,48.59037774223244,0,-1.4703716e-07
155,0.47534305,0.49798036,0.026676616,2.5948688e-09,3.4827125,6.409607e-07,0.3509501,6.2975336e-10,48.59037774223244,1,-1.7425349e-07
156,0.48462036,0.49904734,0.016332272,2.158468e-09,3.3885846,6.783009e-07,0.34909874,6.365363e-10,48.59037774223244,1,-2.5148907e-07
157,0.49211442,0.49937734,0.008508174,1.9924205e-09,3.3609903,7.1223263e-07,0.34735,6.4223743e-10,48.59037774223244,1,-2.5179656e-07
158,0.4987365,0.49745128,0.003812265,2.008904e-09,3.4955263,7.197514e-07,0.34463313,6.414379e-10,48.59037774223244,1,-2.5765883e-07
159,0.5149187,0.4850813,5.9862217e-09,1.9845088e-09,3.5614567,7.3782354e-07,0.34082672,6.4330313e-10,48.59037774223244,1,-2.5032136e-07
160,0.52964085,0.4703591,5.667447e-09,2.1023887e-09,3.6588264,7.3381875e-07,0.33913022,6.390879e-10,48.59037774223244,1,-5.1758747e-07
161,0.54190475,0.45809522,6.55446e-09,2.5147497e-09,4.022406,6.0873947e-07,0.33716547,6.0397237e-10,48.59037774223244,0,-2.8671925e-06
164,0.46364608,0.51540834,0.020945683,1.2052539e-09,1.5355486,2.8462387e-07,0.38097003,6.107997e-10,48.59037774223244,1,-4.982338e-07
165,0.6322291,0.36777085,2.750595e-09,1.3679653e-09,0.93493265,2.3707605e-07,0.35454136,6.4106104e-10,48.59037774223244,1,-9.003175e-08
166,0.85576487,0.14423507,6.2329373e-09,2.5295648e-09,0.5220375,3.0023764e-07,0.33594424,6.692477e-10,48.59037774223244,1,-8.3315456e-08
167,0.6628982,0.3371018,4.2169406e-09,1.5586292e-09,0.3959854,3.6405567e-07,0.33277938,6.891483e-10,48.59037774223244,1,-1.3192812e-07
168,0.61197567,0.38802436,4.051718e-09,1.3676277e-09,0.32857308,4.2427118e-07,0.34304437,6.9470013e-10,48.59037774223244,1,-2.0406776e-07
169,0.73138326,0.2686167,5.0368554e-09,1.7023214e-09,0.29688948,4.8855975e-07,0.31546456,6.954647e-10,48.59037774223244,1,-1.7704326e-07
170,0.5164215,0.48357853,2.1507436e-09,8.5900576e-10,0.36319458,6.1601946e-07,0.35643017,7.1561007e-10,48.59037774223244,1,-2.0745449e-07
171,0.47939423,0.52060574,2.035777e-09,8.0299056e-10,0.45330098,7.0182443e-07,0.38566324,7.2371054e-10,48.59037774223244,1,-1.6427578e-07
172,0.47606447,0.5239355,2.2950628e-09,9.507887e-10,0.6586273,7.276387e-07,0.37815174,7.1623923e-10,48.59037774223244,1,-3.2758976e-07
173,0.47906187,0.5209381,3.0146887e-09,1.0960011e-09,1.26009,7.395136e-07,0.3704674,7.1733985e-10,48.59037774223244,1,-2.8565398e-07
