Year,Group,pCO2 (mol),pCO2 (ppm),Temperature
2022.5,1p5,7.43831919028e+16,420.434,13.549789
2023.5,1p5,7.45597610671e+16,421.432,13.566555
2024.5,1p5,7.46280950632e+16,421.81800000000004,13.58283
2025.5,1p5,7.46956846229e+16,422.2,13.594938
2026.5,1p5,7.47629465842e+16,422.581,13.60844
2027.5,1p5,7.48298959058e+16,422.959,13.619418
2028.5,1p5,7.48967267774e+16,423.337,13.631797
2029.5,1p5,7.496341212e+16,423.714,13.641268
2030.5,1p5,7.5030015065e+16,424.09000000000003,13.650868
2031.5,1p5,7.50964322409e+16,424.46500000000003,13.66142
2032.5,1p5,7.51627732838e+16,424.84000000000003,13.669626
2033.5,1p5,7.52292728269e+16,425.216,13.678965
2034.5,1p5,7.52954006091e+16,425.59,13.688603
2035.5,1p5,7.53617258391e+16,425.965,13.696121
2036.5,1p5,7.54279785287e+16,426.339,13.703524
2037.5,1p5,7.54943158137e+16,426.714,13.711207
2038.5,1p5,7.55603799795e+16,427.088,13.719478
2039.5,1p5,7.56265678382e+16,427.462,13.726743
2040.5,1p5,7.5692783626e+16,427.836,13.733408
2041.5,1p5,7.57588265853e+16,428.21,13.741182
2042.5,1p5,7.58249492526e+16,428.583,13.747734
2043.5,1p5,7.58910737661e+16,428.957,13.75482
2044.5,1p5,7.59572147941e+16,429.331,13.761116
2045.5,1p5,7.60231998682e+16,429.704,13.767805
2046.5,1p5,7.60893604724e+16,430.07800000000003,13.773536
2047.5,1p5,7.61553844271e+16,430.45099999999996,13.780513
2048.5,1p5,7.62214456639e+16,430.824,13.787371
2049.5,1p5,7.62874872536e+16,431.198,13.792867
2050.5,1p5,7.63535271953e+16,431.571,13.799899
2051.5,1p5,7.641956995e+16,431.944,13.805344
2052.5,1p5,7.64856496464e+16,432.318,13.811621
2053.5,1p5,7.65515797177e+16,432.69,13.817166
2054.5,1p5,7.66176578051e+16,433.06399999999996,13.823009
2055.5,1p5,7.6683585405e+16,433.436,13.829712
2056.5,1p5,7.6749660299e+16,433.81,13.834487
2057.5,1p5,7.68157660871e+16,434.184,13.84156
2058.5,1p5,7.68817718197e+16,434.557,13.847858
2059.5,1p5,7.69477713727e+16,434.93,13.854013
2060.5,1p5,7.70136446364e+16,435.30199999999996,13.860932
2061.5,1p5,7.70796854594e+16,435.675,13.86689
2062.5,1p5,7.71457163069e+16,436.049,13.870842
2063.5,1p5,7.72115500902e+16,436.421,13.877115
2064.5,1p5,7.72775148825e+16,436.794,13.883542
2065.5,1p5,7.73435201397e+16,437.16700000000003,13.886804
2066.5,1p5,7.7409485415e+16,437.53900000000004,13.891931
2067.5,1p5,7.74754552594e+16,437.912,13.897443
2068.5,1p5,7.75414542163e+16,438.285,13.901422
2069.5,1p5,7.76075225901e+16,438.659,13.907368
2070.5,1p5,7.76734561123e+16,439.032,13.911773
2071.5,1p5,7.77393863631e+16,439.404,13.918641
2072.5,1p5,7.78052888216e+16,439.777,13.923203
2073.5,1p5,7.78713774731e+16,440.15,13.928388
2074.5,1p5,7.79371848894e+16,440.522,13.934125
2075.5,1p5,7.80031167471e+16,440.89500000000004,13.939221
2076.5,1p5,7.80689578053e+16,441.267,13.94459
2077.5,1p5,7.81348895946e+16,441.64,13.949064
2078.5,1p5,7.8200880057e+16,442.013,13.954081
2079.5,1p5,7.82668040165e+16,442.385,13.959516
2080.5,1p5,7.83328820899e+16,442.75899999999996,13.963487
2081.5,1p5,7.83988420246e+16,443.132,13.968571
2082.5,1p5,7.84647421214e+16,443.504,13.973352
2083.5,1p5,7.8530521978e+16,443.876,13.978785
2084.5,1p5,7.85965743092e+16,444.249,13.982946
2085.5,1p5,7.86625621915e+16,444.622,13.987156
2086.5,1p5,7.87283610455e+16,444.99399999999997,13.993172
2087.5,1p5,7.87943429676e+16,445.367,13.99781
2088.5,1p5,7.88602615372e+16,445.74,14.003276
2089.5,1p5,7.89261482661e+16,446.11199999999997,14.007915
2090.5,1p5,7.89920761131e+16,446.485,14.012627
2091.5,1p5,7.90579979143e+16,446.85699999999997,14.01796
2092.5,1p5,7.91239192793e+16,447.23,14.021794
2093.5,1p5,7.91898332568e+16,447.60200000000003,14.026435
2094.5,1p5,7.92558067237e+16,447.97499999999997,14.031258
2095.5,1p5,7.93217920026e+16,448.348,14.035369
2096.5,1p5,7.93876501751e+16,448.721,14.040118
2097.5,1p5,7.94535380793e+16,449.093,14.045084
2098.5,1p5,7.95194422312e+16,449.466,14.049438
2099.5,1p5,7.95805581497e+16,449.811,14.054219
2022.5,2,7.44015448349e+16,420.53799999999995,13.549879
2023.5,2,7.47745003143e+16,422.646,13.568337
2024.5,2,7.50937740035e+16,424.45,13.587908
2025.5,2,7.54129487973e+16,426.255,13.605328
2026.5,2,7.57320226102e+16,428.058,13.621653
2027.5,2,7.60510109393e+16,429.86100000000005,13.639487
2028.5,2,7.63698514532e+16,431.663,13.65558
2029.5,2,7.66887190818e+16,433.466,13.672415
2030.5,2,7.70074990388e+16,435.267,13.68971
2031.5,2,7.73261800359e+16,437.069,13.706681
2032.5,2,7.7644848917e+16,438.87,13.722828
2033.5,2,7.79636298389e+16,440.672,13.738081
2034.5,2,7.82823217123e+16,442.47299999999996,13.755086
2035.5,2,7.8601015078e+16,444.274,13.770277
2036.5,2,7.89196466808e+16,446.075,13.78477
2037.5,2,7.92383444336e+16,447.877,13.800516
2038.5,2,7.95569938556e+16,449.678,13.815757
2039.5,2,7.98756817188e+16,451.47900000000004,13.830061
2040.5,2,8.01943238398e+16,453.28000000000003,13.845757
2041.5,2,8.0512945112e+16,455.08099999999996,13.861643
2042.5,2,8.08316463897e+16,456.882,13.878386
2043.5,2,8.11502500358e+16,458.683,13.893019
2044.5,2,8.14688813441e+16,460.484,13.909244
2045.5,2,8.17874931605e+16,462.28499999999997,13.923701
2046.5,2,8.21061437415e+16,464.086,13.938751
