,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
37,0.011257951,1.4448319e-09,1.1327859e-10,4.4259606e-11,-1.7338715,34.424255,1.3153718e-06,0.2588469,2.0186799,4.2425607e-10,176.35146,103.99735,1.7756063e-06
38,0.00038808802,1.2379153e-09,1.1231967e-10,4.1595522e-11,-1.4152393,34.59141,1.437404e-06,0.24381267,2.2365878,4.606708e-10,218.25456,103.99735,7.581796e-07
39,0.09845903,1.8035469e-09,1.222947e-10,6.018133e-11,-1.1704735,34.65971,1.6214451e-06,0.27934018,2.1458135,5.16154e-10,111.88419,103.99735,2.806472e-07
40,0.11372874,2.1328574e-09,1.2879267e-10,6.2049e-11,-0.9868752,34.715286,1.7557031e-06,0.2872217,2.1345823,5.5184424e-10,101.01219,103.99735,5.833981e-07
41,0.07146273,3.7138719e-09,1.4983574e-10,5.97937e-11,-0.819275,34.7286,1.8044489e-06,0.28969494,2.1161995,5.619215e-10,108.779175,103.99735,3.8213784e-07
42,0.0007712251,7.852884e-10,1.2785824e-10,3.9812407e-11,-0.80782115,34.735016,1.7749163e-06,0.32717097,2.0801873,5.476154e-10,122.86385,103.99735,-1.503222e-07
43,0.00060116546,6.6390676e-10,1.2459109e-10,3.858217e-11,-0.72649,34.73492,1.7814366e-06,0.32598966,2.0545294,5.483383e-10,138.71382,103.99735,1.9182107e-07
44,0.0035212217,1.037029e-09,1.3232562e-10,4.2651587e-11,-1.0440849,34.7361,1.7760208e-06,0.33646983,2.126701,5.4461424e-10,103.944305,103.99735,-1.274999e-06
45,3.6960092e-08,6.0604416e-10,9.468073e-11,3.108097e-11,-1.1302804,34.724136,1.7112952e-06,0.21178177,1.9223386,5.2442506e-10,686.89526,103.99735,-1.0629815e-06
46,0.04046282,1.207258e-09,1.048036e-10,4.6536674e-11,-1.2521582,34.699657,1.718837e-06,0.2482681,2.181249,5.306959e-10,457.56302,103.99735,-8.6210343e-07
47,0.03731655,1.200105e-09,1.0419161e-10,4.6187998e-11,-1.2999662,34.68583,1.7040425e-06,0.24829847,2.0677636,5.283266e-10,443.6558,103.99735,-6.9359317e-07
48,6.951311e-06,3.0360996e-09,1.1905608e-10,4.3907076e-11,-1.3013769,34.674698,1.682295e-06,0.26177153,2.0676932,5.2396826e-10,397.61496,103.99735,-6.485498e-07
