,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
7,3.873656e-09,1.5024969e-10,6.57535e-11,1.809116e-11,-1.8660407,34.661716,3.6739362e-07,0.17255096,1.6447465,4.0840795e-10,136.89897,59.351826,4.983964e-07
8,9.45001e-09,2.9452218e-10,7.553079e-11,2.2025898e-11,-1.86273,34.67901,4.435753e-07,0.19534361,1.6910866,4.384398e-10,115.127884,59.351826,-2.315511e-07
9,5.1908873e-09,1.83118e-10,6.850034e-11,1.9581904e-11,-1.8637649,34.68691,4.2534256e-07,0.18307368,1.7437791,4.3175222e-10,134.35287,59.351826,-3.4273853e-08
10,4.757912e-09,1.7158315e-10,6.7651953e-11,1.8919137e-11,-1.8642994,34.687485,4.1815125e-07,0.17918338,1.6688483,4.297856e-10,138.46199,59.351826,-1.3032616e-07
11,4.1623003e-09,1.5728016e-10,6.628694e-11,1.8225407e-11,-1.8652887,34.68193,3.911571e-07,0.17463934,1.6551173,4.2017662e-10,136.43134,59.351826,3.42731e-09
20,1.1001107e-09,7.136104e-11,5.3968316e-11,1.2059936e-11,-1.863243,34.59848,2.6424658e-07,0.13121998,1.7164712,4.638294e-10,140.3281,59.351826,3.0327442e-07
21,1.8170946e-09,9.2744507e-11,5.8924025e-11,1.4233816e-11,-1.8628458,34.61238,3.0707596e-07,0.14910091,1.7692871,4.819052e-10,148.3557,59.351826,-2.6391194e-07
22,1.5983099e-09,8.65145e-11,5.7586942e-11,1.3609705e-11,-1.862597,34.604427,3.0258127e-07,0.14418902,1.7512169,4.8103926e-10,144.52455,59.351826,-1.2051768e-07
36,0.055641487,1.4166495e-09,1.1352536e-10,4.7175673e-11,-1.8486583,34.485184,4.98121e-07,0.27284044,2.0103323,4.9769694e-10,135.8282,96.760216,9.1397155e-08
37,0.058109794,1.4321162e-09,1.13794224e-10,4.7520772e-11,-1.8453163,34.49303,5.2773584e-07,0.274057,1.9979439,5.0539617e-10,135.02396,96.760216,-2.6963846e-08
38,0.061504107,1.4519419e-09,1.1447088e-10,4.8119533e-11,-1.8410668,34.483692,5.452372e-07,0.27542412,2.0070932,5.101641e-10,132.93532,96.760216,-7.1666136e-08
39,0.064161055,1.4789946e-09,1.1495436e-10,4.8480806e-11,-1.8399379,34.47578,5.684239e-07,0.27582815,2.0177672,5.158542e-10,131.73042,96.760216,7.67607e-08
40,0.07234912,1.6803439e-09,1.16402415e-10,4.958947e-11,-1.8286895,34.481937,6.188431e-07,0.27724755,2.0431228,5.288254e-10,129.62794,96.760216,2.1886842e-07
41,0.07800883,1.8733757e-09,1.1739688e-10,5.037451e-11,-1.8143277,34.507355,6.673041e-07,0.27787074,2.0590992,5.405017e-10,128.69725,96.760216,2.0787789e-07
42,0.07307214,1.6944374e-09,1.1653167e-10,4.9688496e-11,-1.8220627,34.52479,6.568887e-07,0.2771635,2.046252,5.3342014e-10,129.84535,96.760216,3.4909232e-07
43,0.07302578,1.6602975e-09,1.1674516e-10,5.0097378e-11,-1.8214958,34.541252,6.3713554e-07,0.27739838,2.0659754,5.2134486e-10,124.59089,96.760216,-7.177124e-08
44,0.062278382,1.431331e-09,1.1473092e-10,4.8712326e-11,-1.8426048,34.536816,5.634607e-07,0.27546722,2.0276308,4.994128e-10,128.75461,96.760216,-1.07440826e-07
45,0.054309405,1.3163074e-09,1.1329332e-10,4.7832797e-11,-1.8500038,34.5469,5.0009623e-07,0.2742569,2.0012052,4.794394e-10,131.15465,96.760216,-1.390832e-08
46,0.051830295,1.2872067e-09,1.1287939e-10,4.758344e-11,-1.851826,34.557438,4.7919144e-07,0.27398676,1.9935629,4.729549e-10,131.53052,96.760216,-1.5666501e-08
47,0.04939875,1.2836364e-09,1.1239106e-10,4.7154645e-11,-1.8556435,34.57138,4.6845142e-07,0.2730475,1.9806658,4.695799e-10,133.79128,96.760216,-6.055089e-08
48,0.0524133,1.3622173e-09,1.1297346e-10,4.7191126e-11,-1.8554314,34.591297,5.1218746e-07,0.2722675,1.9975797,4.825352e-10,135.65158,96.760216,9.6018184e-08
49,0.056177344,1.3776802e-09,1.1362404e-10,4.785719e-11,-1.8527472,34.585938,5.385865e-07,0.27435648,1.9947804,4.8829224e-10,133.42247,96.760216,1.0014806e-07
50,0.05991024,1.4284665e-09,1.1420087e-10,4.8389223e-11,-1.848212,34.58461,5.7458e-07,0.27471435,2.0076756,4.952778e-10,132.10498,96.760216,8.30075e-08
51,0.06181201,1.4392605e-09,1.1460684e-10,4.880974e-11,-1.8421241,34.56819,5.951355e-07,0.27499816,2.0213795,4.958761e-10,130.14528,96.760216,6.468383e-09
52,0.061600663,1.448502e-09,1.1470634e-10,4.9239706e-11,-1.8379744,34.512924,5.5678964e-07,0.27537763,2.0361755,4.7965254e-10,125.85547,96.760216,-9.598696e-08
53,0.04488468,1.164825e-09,1.12148416e-10,4.7628332e-11,-1.8406032,34.39938,4.3202715e-07,0.27321312,1.9977227,4.3891576e-10,122.94142,96.760216,8.8541015e-09
54,0.031097537,8.4626806e-10,1.0832187e-10,5.0104934e-11,-1.8367144,34.20114,2.5259018e-07,0.27999938,2.0692856,3.772921e-10,90.108406,96.760216,8.5828617e-07
56,0.031378184,1.0988461e-09,1.09649005e-10,4.298212e-11,-1.8614289,34.52584,3.189188e-07,0.2684573,1.9796345,5.1624083e-10,141.97148,96.760216,-2.6759412e-07
57,0.0588907,1.4050203e-09,1.13830716e-10,4.644808e-11,-1.8542854,34.553745,4.2232077e-07,0.2753977,1.9920896,5.397321e-10,135.3657,96.760216,2.2007895e-07
58,0.03752132,1.7471905e-09,1.1501295e-10,4.0335547e-11,-1.8582121,34.560677,4.3592865e-07,0.26534602,1.9772555,5.512332e-10,167.78162,96.760216,-7.3838294e-07
59,0.02593292,1.6615219e-09,1.1315295e-10,3.830945e-11,-1.8582685,34.53853,4.1211067e-07,0.26297578,1.9142625,5.4631727e-10,179.35759,96.760216,-6.732705e-08
60,0.024226932,1.6715063e-09,1.1298109e-10,3.8330464e-11,-1.8574978,34.505955,3.995217e-07,0.26235572,1.9190586,5.348961e-10,180.16809,96.760216,4.3271882e-08
61,0.02105445,1.6167744e-09,1.1257259e-10,3.8082197e-11,-1.8563018,34.48092,4.050689e-07,0.26190075,1.9150691,5.2370397e-10,181.16415,96.760216,2.592239e-07
62,0.024604226,1.6910594e-09,1.13316904e-10,3.8869397e-11,-1.8547753,34.462654,4.276834e-07,0.26258004,1.9075975,5.185843e-10,177.6737,96.760216,3.5546208e-07
63,0.02699002,1.6687819e-09,1.140799e-10,3.9755935e-11,-1.8533711,34.438927,4.1704763e-07,0.2629418,1.9520831,5.0453486e-10,168.66869,96.760216,2.9699703e-07
64,0.042705208,1.3541709e-09,1.1183269e-10,4.4053202e-11,-1.8522888,34.418552,4.2531997e-07,0.265519,2.0537343,5.0054577e-10,145.04854,96.760216,2.3441356e-07
65,0.043720055,1.2903855e-09,1.1161087e-10,4.4737235e-11,-1.8504075,34.397133,4.1568595e-07,0.26726502,2.0490022,4.928432e-10,141.83356,96.760216,7.896145e-08
66,0.042732958,1.2059265e-09,1.1133455e-10,4.5302803e-11,-1.8487931,34.368084,3.7713068e-07,0.26994145,2.005115,4.7872095e-10,138.43875,96.760216,9.90016e-07
67,0.03800354,1.1506252e-09,1.1060752e-10,4.481144e-11,-1.8499922,34.397278,3.5530795e-07,0.26926732,1.98994,4.693568e-10,138.64362,96.760216,4.6623444e-07
68,0.038508244,1.1836145e-09,1.1078351e-10,4.4896774e-11,-1.8506668,34.417576,3.6458434e-07,0.26898223,2.006231,4.677416e-10,138.40695,96.760216,2.1285013e-07
69,0.04211948,1.1585193e-09,1.1118574e-10,4.567095e-11,-1.8502138,34.42872,3.8896653e-07,0.27205744,1.9602581,4.714342e-10,136.46512,96.760216,1.5537837e-07
70,0.04705726,1.2664154e-09,1.1210532e-10,4.6130693e-11,-1.8506769,34.445053,4.2732344e-07,0.27113336,1.9928156,4.812413e-10,136.99683,96.760216,1.4315506e-07
71,0.05119489,1.363978e-09,1.1297579e-10,4.6508332e-11,-1.8503089,34.469074,4.6523576e-07,0.2708547,2.0451574,4.9005994e-10,137.20335,96.760216,2.3216927e-07
72,0.1910013,2.783849e-09,1.4149175e-10,8.100685e-11,-1.4922835,34.402172,6.1303945e-07,0.33535576,2.463185,5.325693e-10,127.47192,129.90582,1.3401484e-07
73,0.19503264,3.2448568e-09,1.4445767e-10,8.2549016e-11,-1.3334674,34.50411,6.7555453e-07,0.33486328,2.4653382,5.514973e-10,128.63554,129.90582,1.8335143e-08
74,0.2096095,4.5723736e-09,1.4888067e-10,8.811706e-11,-1.1242027,34.60266,7.418093e-07,0.3380787,2.5156052,5.744248e-10,121.50428,129.90582,-4.7244136e-08
75,0.23760663,0.044397183,1.5805594e-10,1.03028454e-10,-0.73604274,34.716175,8.723612e-07,0.3464779,2.6887133,6.1894395e-10,90.75509,129.90582,-1.1167536e-08
76,0.10990762,5.3065596e-09,1.6339526e-10,5.772952e-11,-0.25477555,34.834335,1.02533e-06,0.2813468,2.3440409,6.5882777e-10,343.07953,129.90582,-2.2754085e-07
77,0.19844778,2.3351396e-09,1.4919753e-10,8.004729e-11,-0.3096998,34.86002,1.1593842e-06,0.32395455,2.3583503,6.949514e-10,240.64223,129.90582,-4.091379e-07
78,0.11200954,3.2190421e-09,1.243944e-10,6.448807e-11,-0.2843446,34.88797,1.1814582e-06,0.24780758,2.396554,6.958601e-10,449.2075,129.90582,-2.5612815e-07
79,0.10744843,2.7683542e-09,1.1760971e-10,6.074125e-11,-0.342322,34.90356,1.2411535e-06,0.23299886,2.3023496,7.0857753e-10,506.5041,129.90582,-2.389594e-07
80,0.21624455,0.013350858,1.5282861e-10,9.115655e-11,-0.6964949,34.872246,1.2604369e-06,0.34035736,2.5086555,7.104123e-10,126.54374,129.90582,-2.1931646e-07
81,0.12852189,4.6874424e-09,1.4969567e-10,6.0407686e-11,-0.91814756,34.851627,1.162432e-06,0.2945646,2.351604,6.8107336e-10,277.81967,129.90582,-1.5402168e-07
82,0.17108439,4.848626e-09,1.4851889e-10,7.16699e-11,-1.2051421,34.79199,1.0492108e-06,0.32729524,2.343279,6.492421e-10,182.97372,129.90582,-1.5930198e-07
83,0.16779134,3.4044816e-09,1.4296447e-10,7.069672e-11,-1.3909762,34.74537,9.738866e-07,0.3252474,2.3070645,6.2665545e-10,177.10553,129.90582,-1.8061121e-07
84,0.16711351,3.358512e-09,1.4238373e-10,7.061478e-11,-1.4213705,34.733532,9.4368517e-07,0.32454622,2.3086264,6.176144e-10,176.67116,129.90582,-1.883817e-07
85,0.17734292,4.175731e-09,1.4604862e-10,7.3542616e-11,-1.3531702,34.760323,9.646526e-07,0.3284975,2.4020889,6.2307814e-10,169.33035,129.90582,-2.1285337e-07
86,0.23788989,0.03728829,1.550053e-10,1.0001817e-10,-1.0498964,34.83365,1.1158488e-06,0.34862524,2.6892362,6.642867e-10,93.44109,129.90582,-2.0783091e-07
87,0.22090359,0.01984618,1.5244132e-10,9.305518e-11,-0.78923887,34.875443,1.2418512e-06,0.34378707,2.5577734,6.8953093e-10,121.15518,129.90582,-1.7150592e-07
88,0.2229206,0.0043210974,1.5006547e-10,8.719172e-11,-0.609678,34.89087,1.2658383e-06,0.33686274,2.490046,6.8917416e-10,177.48108,129.90582,-3.557965e-07
89,0.06804837,3.2974794e-09,1.3797778e-10,4.809891e-11,-0.50674486,34.902973,1.199999e-06,0.25401506,2.1057,6.633605e-10,542.60297,129.90582,-4.478402e-07
90,0.09717678,3.7390993e-09,1.4304802e-10,5.4297743e-11,-0.7132151,34.8716,1.1918236e-06,0.26935962,2.1382608,6.600822e-10,381.12753,129.90582,1.2721157e-06
91,0.04917851,2.853264e-09,1.3457215e-10,4.3596137e-11,-0.6986675,34.901573,1.1910745e-06,0.24747528,2.0984664,6.5783534e-10,547.79144,129.90582,-1.5471699e-06
92,0.20747973,4.27651e-09,1.466675e-10,8.4070716e-11,-1.3658952,34.667072,8.496776e-07,0.3388845,2.5039666,5.9644917e-10,128.40292,129.90582,-2.100142e-06
93,0.18432847,3.2827019e-09,1.4155685e-10,7.4286854e-11,-1.564406,34.642754,8.451647e-07,0.32956097,2.3708286,6.1098265e-10,155.3459,129.90582,5.205584e-08
94,0.17894539,2.5339404e-09,1.3805791e-10,7.154569e-11,-1.7267034,34.56473,7.773707e-07,0.3310053,2.3520703,6.2136774e-10,160.717,129.90582,-1.5430396e-07
95,0.19311444,2.4906073e-09,1.3822078e-10,7.581723e-11,-1.799595,34.4681,6.463503e-07,0.33804682,2.4477708,6.1107663e-10,136.12878,129.90582,-1.4528592e-07
96,0.19214495,2.4281144e-09,1.3787253e-10,7.572385e-11,-1.8088229,34.443886,6.235535e-07,0.33791783,2.4469492,6.0417765e-10,135.55585,129.90582,-1.8580874e-07
97,0.19200002,2.4599573e-09,1.380069e-10,7.5694305e-11,-1.8095366,34.460445,6.8346435e-07,0.3374691,2.4438062,6.0345096e-10,136.71785,129.90582,-2.1331778e-07
98,0.19219637,2.4879283e-09,1.3815184e-10,7.581397e-11,-1.8066753,34.46955,7.3925867e-07,0.33694407,2.4421058,6.0208305e-10,137.22182,129.90582,-2.6443024e-07
99,0.19112878,2.4096098e-09,1.3793476e-10,7.608174e-11,-1.8053285,34.442352,7.4767706e-07,0.33639118,2.4407394,5.907122e-10,136.31752,129.90582,-1.5984585e-07
100,0.19228743,2.472111e-09,1.3830165e-10,7.627141e-11,-1.79465,34.44247,8.147636e-07,0.33597514,2.4400365,5.962931e-10,136.90349,129.90582,-2.8019554e-07
101,0.19107331,2.3866367e-09,1.3807694e-10,7.6474826e-11,-1.7862092,34.394695,7.8488694e-07,0.33559638,2.4395354,5.862805e-10,135.66801,129.90582,-2.8140403e-07
102,0.1865621,2.204232e-09,1.3735132e-10,7.632939e-11,-1.771639,34.312756,6.876806e-07,0.3350149,2.4327095,5.623914e-10,134.444,129.90582,-2.6625992e-07
103,0.1725774,1.6281253e-09,1.3447393e-10,7.5623126e-11,-1.7709965,34.139366,4.6743753e-07,0.33524242,2.4153352,5.0347554e-10,129.48882,129.90582,1.8381729e-07
104,0.17685379,1.9220572e-09,1.3583612e-10,7.5435956e-11,-1.7584713,34.26508,5.567298e-07,0.3338917,2.4126413,5.2404603e-10,133.4993,129.90582,-6.340423e-08
105,0.17474064,1.8848425e-09,1.355826e-10,7.565983e-11,-1.7456051,34.241203,5.177963e-07,0.3339458,2.4133797,5.091761e-10,131.61223,129.90582,-1.8962055e-08
106,0.17284662,1.7954437e-09,1.3538806e-10,7.6110215e-11,-1.7147409,34.203247,4.7034823e-07,0.3342964,2.4160328,4.956357e-10,129.44267,129.90582,6.9303944e-08
107,0.18313694,2.2706945e-09,1.3853296e-10,7.860037e-11,-1.6131128,34.30705,5.5283283e-07,0.33481738,2.4420357,5.169068e-10,128.82594,129.90582,1.950483e-07
108,0.2105808,1.0010005e-08,1.6619082e-10,9.192358e-11,-0.17934173,34.831604,1.197015e-06,0.33177277,2.4064856,7.032766e-10,230.97731,155.1925,-4.80773e-07
109,0.20272785,1.3314483e-08,1.8252891e-10,9.0249454e-11,0.38347194,34.872616,1.1943356e-06,0.32107216,2.3301904,7.0783845e-10,276.42557,155.1925,-4.267731e-07
110,0.20445393,1.786263e-08,1.9583943e-10,9.4766625e-11,0.9124041,34.894024,1.166067e-06,0.3145619,2.3114026,7.077317e-10,281.35147,155.1925,-5.4414727e-07
111,0.20133655,2.2244308e-08,2.2391108e-10,9.716916e-11,1.5242621,34.912655,1.0998879e-06,0.31422037,2.3490694,6.9872186e-10,305.3454,155.1925,-5.638208e-07
112,0.19387484,2.6503043e-08,2.5384328e-10,9.852214e-11,2.1329188,34.928486,1.032563e-06,0.3258712,2.4087086,6.912835e-10,326.31403,155.1925,-5.0013614e-07
113,0.19274908,2.9327028e-08,2.696983e-10,1.0293815e-10,2.5416992,34.938183,9.874257e-07,0.3215727,2.4084144,6.862722e-10,334.76196,155.1925,-8.8891386e-07
114,0.1818364,3.062343e-08,2.9109715e-10,9.9686454e-11,2.9519827,34.951656,9.31192e-07,0.29931682,2.2096753,6.7530304e-10,361.4359,155.1925,-1.1349199e-06
115,0.1757542,2.4376263e-08,2.8362235e-10,9.680418e-11,2.788625,34.953476,9.2460493e-07,0.2938082,2.3247924,6.6935313e-10,378.5256,155.1925,-8.1272765e-07
116,0.17400192,1.89632e-08,2.5114602e-10,9.34203e-11,2.236107,34.94629,9.702851e-07,0.3016534,2.2954836,6.6995476e-10,400.3725,155.1925,-8.5023675e-07
117,0.1863178,1.5977202e-08,2.1920371e-10,9.3986624e-11,1.4764907,34.92523,1.0070717e-06,0.31570876,2.4473143,6.6500355e-10,361.46072,155.1925,-4.9324274e-07
118,0.18686299,1.3013715e-08,2.0468831e-10,9.161502e-11,1.0497072,34.912006,1.0251566e-06,0.32179397,2.4013863,6.6216466e-10,350.43353,155.1925,-4.1586645e-10
119,0.19853093,1.1285974e-08,1.9343932e-10,9.392632e-11,0.6775231,34.893238,1.0530359e-06,0.3308014,2.492769,6.650471e-10,309.94598,155.1925,-1.9969684e-07
120,0.20509379,1.2303636e-08,1.9035674e-10,9.545115e-11,0.59116733,34.888805,1.0559509e-06,0.33642304,2.4235237,6.644434e-10,283.63403,155.1925,-2.0802781e-07
121,0.19798915,1.214182e-08,1.9343628e-10,9.3132876e-11,0.6285642,34.894936,1.0498353e-06,0.33562797,2.5012262,6.6003836e-10,295.39648,155.1925,-2.8187708e-07
122,0.18354,1.3019523e-08,2.0345346e-10,8.858281e-11,0.9107849,34.912926,1.049852e-06,0.32074043,2.3780677,6.579245e-10,338.12787,155.1925,-3.222425e-07
123,0.16689925,1.2907719e-08,2.1520416e-10,8.344967e-11,1.2659467,34.929302,1.0387847e-06,0.3113861,2.3066607,6.519372e-10,383.26437,155.1925,-3.5479002e-07
124,0.15781239,1.3545706e-08,2.2468391e-10,8.248258e-11,1.675127,34.945023,1.025741e-06,0.288522,2.4779332,6.470301e-10,422.48306,155.1925,-6.5916834e-07
125,0.12763529,1.05238085e-08,2.276664e-10,7.435053e-11,2.132132,34.95634,9.5257195e-07,0.26015282,2.3804908,6.262928e-10,526.3132,155.1925,-2.7580725e-06
