Year,Group,GMOC_min,GMOC_max,AMOC_min,AMOC_max
2022.5,1p5,-35.226,37.018,-1.667,11.417
2023.5,1p5,-35.219,37.009,-1.678,11.367
2024.5,1p5,-35.212,37.002,-1.689,11.317
2025.5,1p5,-35.209,36.997,-1.699,11.27
2026.5,1p5,-35.207,36.994,-1.711,11.227
2027.5,1p5,-35.206,36.991,-1.723,11.187
2028.5,1p5,-35.206,36.991,-1.736,11.151
2029.5,1p5,-35.207,36.991,-1.748,11.119
2030.5,1p5,-35.21,36.991,-1.761,11.09
2031.5,1p5,-35.212,36.992,-1.773,11.063
2032.5,1p5,-35.216,36.993,-1.786,11.038
2033.5,1p5,-35.22,36.994,-1.799,11.014
2034.5,1p5,-35.224,36.996,-1.811,10.992
2035.5,1p5,-35.228,36.998,-1.824,10.97
2036.5,1p5,-35.231,37.0,-1.837,10.95
2037.5,1p5,-35.235,37.002,-1.849,10.932
2038.5,1p5,-35.239,37.004,-1.861,10.915
2039.5,1p5,-35.244,37.006,-1.873,10.898
2040.5,1p5,-35.248,37.007,-1.885,10.882
2041.5,1p5,-35.252,37.009,-1.897,10.867
2042.5,1p5,-35.256,37.011,-1.908,10.854
2043.5,1p5,-35.26,37.013,-1.92,10.841
2044.5,1p5,-35.264,37.015,-1.931,10.827
2045.5,1p5,-35.268,37.017,-1.943,10.814
2046.5,1p5,-35.272,37.019,-1.954,10.801
2047.5,1p5,-35.276,37.021,-1.966,10.789
2048.5,1p5,-35.279,37.023,-1.977,10.778
2049.5,1p5,-35.283,37.024,-1.988,10.768
2050.5,1p5,-35.287,37.026,-1.999,10.759
2051.5,1p5,-35.29,37.028,-2.01,10.751
2052.5,1p5,-35.293,37.029,-2.021,10.744
2053.5,1p5,-35.297,37.031,-2.031,10.737
2054.5,1p5,-35.3,37.032,-2.041,10.73
2055.5,1p5,-35.303,37.034,-2.051,10.722
2056.5,1p5,-35.307,37.035,-2.061,10.714
2057.5,1p5,-35.308,37.036,-2.07,10.707
2058.5,1p5,-35.311,37.038,-2.079,10.7
2059.5,1p5,-35.322,37.037,-2.089,10.693
2060.5,1p5,-35.322,37.035,-2.102,10.686
2061.5,1p5,-35.32,37.035,-2.114,10.678
2062.5,1p5,-35.321,37.037,-2.125,10.67
2063.5,1p5,-35.323,37.038,-2.138,10.663
2064.5,1p5,-35.326,37.039,-2.151,10.659
2065.5,1p5,-35.329,37.04,-2.164,10.655
2066.5,1p5,-35.332,37.041,-2.177,10.665
2067.5,1p5,-35.335,37.042,-2.19,10.686
2068.5,1p5,-35.337,37.044,-2.202,10.707
2069.5,1p5,-35.339,37.045,-2.214,10.724
2070.5,1p5,-35.341,37.047,-2.225,10.732
2071.5,1p5,-35.342,37.048,-2.236,10.733
2072.5,1p5,-35.344,37.05,-2.247,10.73
2073.5,1p5,-35.345,37.051,-2.257,10.726
2074.5,1p5,-35.346,37.052,-2.267,10.722
2075.5,1p5,-35.348,37.054,-2.276,10.72
2076.5,1p5,-35.349,37.055,-2.284,10.72
2077.5,1p5,-35.351,37.057,-2.291,10.72
2078.5,1p5,-35.352,37.058,-2.298,10.721
2079.5,1p5,-35.354,37.059,-2.304,10.722
2080.5,1p5,-35.355,37.06,-2.31,10.721
2081.5,1p5,-35.357,37.061,-2.315,10.71
2082.5,1p5,-35.358,37.062,-2.32,10.702
2083.5,1p5,-35.36,37.063,-2.324,10.698
2084.5,1p5,-35.361,37.065,-2.328,10.699
2085.5,1p5,-35.362,37.066,-2.332,10.704
2086.5,1p5,-35.363,37.067,-2.335,10.711
2087.5,1p5,-35.364,37.068,-2.338,10.714
2088.5,1p5,-35.365,37.069,-2.341,10.714
2089.5,1p5,-35.365,37.07,-2.344,10.715
2090.5,1p5,-35.366,37.07,-2.347,10.713
2091.5,1p5,-35.367,37.071,-2.349,10.708
2092.5,1p5,-35.368,37.072,-2.351,10.7
2093.5,1p5,-35.369,37.073,-2.353,10.693
2094.5,1p5,-35.37,37.074,-2.354,10.687
2095.5,1p5,-35.371,37.075,-2.355,10.683
2096.5,1p5,-35.372,37.075,-2.356,10.682
2097.5,1p5,-35.373,37.076,-2.357,10.683
2098.5,1p5,-35.374,37.077,-2.357,10.685
2099.5,1p5,-35.374,37.078,-2.358,10.688
2022.5,2,-35.226,37.018,-1.667,11.417
2023.5,2,-35.219,37.008,-1.678,11.367
2024.5,2,-35.211,36.999,-1.689,11.316
2025.5,2,-35.206,36.992,-1.7,11.267
2026.5,2,-35.202,36.984,-1.711,11.22
2027.5,2,-35.197,36.978,-1.724,11.175
2028.5,2,-35.192,36.972,-1.736,11.134
2029.5,2,-35.189,36.967,-1.749,11.094
2030.5,2,-35.187,36.962,-1.761,11.055
2031.5,2,-35.185,36.958,-1.774,11.018
2032.5,2,-35.184,36.953,-1.787,10.981
2033.5,2,-35.182,36.949,-1.801,10.945
2034.5,2,-35.181,36.945,-1.814,10.911
2035.5,2,-35.179,36.941,-1.827,10.878
2036.5,2,-35.178,36.937,-1.841,10.845
2037.5,2,-35.177,36.934,-1.854,10.813
