,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
37,0.023372047,1.4912035e-09,1.1309642e-10,4.4357164e-11,-1.8331891,34.486935,1.4120903e-06,0.2621829,1.9853457,4.4618548e-10,170.63817,103.99735,1.600901e-06
38,2.0269539e-07,1.317894e-09,1.07343696e-10,3.9931478e-11,-1.6422476,34.64209,1.5473967e-06,0.2412244,2.1250598,4.869909e-10,250.88217,103.99735,7.617148e-07
39,7.1341255e-08,9.095483e-10,1.0433531e-10,3.665696e-11,-1.4613117,34.689552,1.5737411e-06,0.23713517,2.0238285,4.9224674e-10,294.61304,103.99735,2.5363e-07
40,1.6808048e-08,3.7602307e-10,8.5890996e-11,2.7562194e-11,-1.2902598,34.74436,1.7079475e-06,0.19840561,1.9056929,5.288822e-10,591.5215,103.99735,4.248268e-07
41,0.1172204,2.0534365e-09,1.2668955e-10,6.132217e-11,-1.1630112,34.754772,1.8385648e-06,0.29033783,2.1520374,5.6867766e-10,100.69048,103.99735,2.6576163e-07
42,0.11804689,2.0068445e-09,1.2662116e-10,6.163786e-11,-1.1849506,34.757576,1.8534379e-06,0.2909935,2.15565,5.696135e-10,98.7411,103.99735,-1.4015586e-07
43,4.6264335e-09,1.286603e-10,7.037833e-11,2.0062516e-11,-0.97372323,34.78137,1.8182359e-06,0.15875158,1.8832861,5.551461e-10,890.8668,103.99735,4.2385886e-07
44,1.3513281e-08,3.222894e-10,8.2345644e-11,2.6436946e-11,-1.3382598,34.753128,1.7638356e-06,0.19515263,1.8610313,5.3446975e-10,849.7185,103.99735,-9.787491e-07
45,0.0117773805,1.1435055e-09,9.743017e-11,3.9832204e-11,-1.4626861,34.733498,1.7820763e-06,0.23647177,2.2135203,5.419645e-10,639.2229,103.99735,-8.074094e-07
46,1.6212189e-08,3.7762746e-10,8.41903e-11,2.7830623e-11,-1.5340477,34.71961,1.7160445e-06,0.20624813,2.0546696,5.2045845e-10,759.7153,103.99735,-7.2124175e-07
47,0.0047559566,1.1450193e-09,9.8339704e-11,3.9057355e-11,-1.581847,34.704433,1.7251979e-06,0.23901704,2.0103536,5.2560745e-10,554.14514,103.99735,-6.5231353e-07
48,0.0072537037,1.0965472e-09,9.82261e-11,4.015653e-11,-1.5854464,34.69259,1.7195848e-06,0.23902017,2.1158192,5.258215e-10,489.273,103.99735,-6.482807e-07
49,0.0043977946,1.1204682e-09,9.935603e-11,4.017926e-11,-1.5565683,34.687878,1.7092588e-06,0.23719257,2.0176704,5.2431204e-10,433.1555,103.99735,-5.006165e-07
50,1.7857333e-08,4.0196968e-10,8.816921e-11,2.93852e-11,-1.4729872,34.690014,1.6513122e-06,0.20959117,2.076019,5.0576754e-10,538.3591,103.99735,-2.1396295e-07
51,1.3359001e-08,3.2066327e-10,8.450223e-11,2.7163528e-11,-1.2964203,34.702694,1.6637322e-06,0.19832091,1.9033794,5.089163e-10,642.2699,103.99735,6.8604095e-08
52,0.108498335,1.7549819e-09,1.2500301e-10,6.020803e-11,-1.1405376,34.7129,1.7734731e-06,0.28838268,2.1236336,5.426969e-10,103.020386,103.99735,4.098365e-07
53,4.0407846e-09,1.1720121e-10,6.8100935e-11,1.9178206e-11,-0.9117576,34.746956,1.7664133e-06,0.15183051,1.831525,5.345209e-10,991.56,103.99735,5.1066934e-07
54,4.2237014e-09,1.2291998e-10,6.701437e-11,1.8167192e-11,-1.0237907,34.751667,1.7861535e-06,0.149695,1.9626067,5.3680493e-10,1080.6313,103.99735,2.4631242e-07
55,2.445108e-08,4.934695e-10,9.02856e-11,3.0510625e-11,-1.4396275,34.71426,1.6955003e-06,0.2126757,1.962308,5.064277e-10,559.87537,103.99735,-7.5295566e-07
56,1.7659955e-08,4.1529144e-10,8.7492645e-11,2.9583946e-11,-1.6303397,34.70018,1.6606398e-06,0.21032225,2.2009494,4.9580035e-10,525.97107,103.99735,-6.0979806e-07
57,5.7920712e-08,8.659227e-10,9.4604026e-11,3.427453e-11,-1.7297524,34.71331,1.6988464e-06,0.22815722,1.924342,5.078911e-10,488.37082,103.99735,2.408226e-07
58,2.0863837e-08,4.741867e-10,8.801629e-11,2.939895e-11,-1.769283,34.734135,1.7017487e-06,0.21167958,1.8808657,5.087802e-10,533.2323,103.99735,1.9035167e-07
59,5.906048e-08,8.3873775e-10,9.347676e-11,3.3192744e-11,-1.8021995,34.76142,1.7492458e-06,0.22781342,1.8940928,5.261501e-10,548.46375,103.99735,3.3146233e-07
60,5.2777924e-08,8.035695e-10,9.139804e-11,3.125606e-11,-1.8175141,34.78287,1.770266e-06,0.2225418,1.9689718,5.3753585e-10,625.42395,103.99735,-7.351741e-08
61,2.2044945e-07,1.1044805e-09,9.760495e-11,3.5665765e-11,-1.8074471,34.79364,1.7874049e-06,0.24056529,1.9698085,5.492768e-10,618.68164,103.99735,-5.0186077e-07
62,2.0947627e-07,1.1351027e-09,9.773454e-11,3.543183e-11,-1.8031384,34.789753,1.777508e-06,0.23956193,1.9222307,5.517678e-10,611.30975,103.99735,-4.966047e-07
63,1.30821e-07,1.1544152e-09,9.7962465e-11,3.5506674e-11,-1.7970284,34.77654,1.750005e-06,0.23515078,2.0116692,5.484475e-10,451.52487,103.99735,-5.3726546e-07
64,0.0058880546,1.3135246e-09,1.01995315e-10,3.8357394e-11,-1.7999105,34.76073,1.7050644e-06,0.2420111,1.9424311,5.3779275e-10,326.66046,103.99735,-7.639212e-07
65,0.0015671181,1.4255829e-09,1.0795468e-10,3.8429374e-11,-1.8450121,34.728542,1.631257e-06,0.24381103,1.9427423,5.16936e-10,244.872,103.99735,-9.99008e-07
66,0.014800382,1.4827717e-09,1.1277015e-10,4.0742368e-11,-1.8708389,34.673286,1.5067694e-06,0.2572549,2.081869,4.788159e-10,186.02794,103.99735,5.5270732e-08
67,0.031367585,1.6024917e-09,1.13831215e-10,4.345076e-11,-1.8445168,34.654045,1.5405944e-06,0.2602549,2.0633621,4.886781e-10,172.81648,103.99735,1.1343997e-06
68,1.2527153e-08,3.270553e-10,7.977037e-11,2.5335933e-11,-1.7531629,34.7715,1.7157035e-06,0.19656222,1.8427358,5.3901783e-10,772.06335,103.99735,-7.531676e-07
69,2.2899686e-08,5.0337934e-10,8.60327e-11,2.8656239e-11,-1.7686447,34.75569,1.7232112e-06,0.20695624,1.8672743,5.4286176e-10,649.6158,103.99735,-1.2963114e-06
70,1.1045466e-07,1.1641509e-09,1.05832045e-10,3.6493197e-11,-1.6880139,34.668747,1.6032303e-06,0.2381164,2.1764803,5.092084e-10,278.80133,103.99735,-1.0607066e-06
72,0.12829792,6.6317645e-09,1.87484e-10,7.7084956e-11,0.9055226,34.685047,1.4797737e-06,0.28934342,2.3585038,4.910397e-10,240.73506,128.07674,-6.7781866e-07
73,0.1429891,8.160243e-09,1.9000071e-10,8.314655e-11,1.0120695,34.64654,1.4089217e-06,0.3020402,2.306134,4.7050697e-10,202.70586,128.07674,-3.6850324e-06
74,0.10866395,7.235486e-09,2.0534915e-10,7.227225e-11,1.643435,34.702484,1.4338422e-06,0.27433243,2.2215824,4.8199533e-10,282.85004,128.07674,-6.794887e-07
75,0.10726749,7.673515e-09,2.1636598e-10,7.29778e-11,2.060587,34.72785,1.4455954e-06,0.26930335,2.1781056,4.8840765e-10,293.4428,128.07674,-6.015191e-07
76,0.09901949,8.047623e-09,2.2884679e-10,7.09601e-11,2.562804,34.748684,1.4344174e-06,0.27077386,2.0810013,4.903798e-10,316.9887,128.07674,-4.4096964e-07
77,0.07354011,5.564267e-09,2.3097717e-10,6.31559e-11,3.0261934,34.771347,1.4315458e-06,0.24540536,1.9299924,4.940803e-10,379.96838,128.07674,1.003491e-07
78,0.06873638,4.8934714e-09,2.14273e-10,6.031499e-11,2.7297103,34.775524,1.4772684e-06,0.23586379,2.1294413,5.0513604e-10,403.52515,128.07674,-1.3063732e-07
79,0.056121167,3.719761e-09,1.9752752e-10,5.694435e-11,2.5381815,34.77783,1.4943723e-06,0.23112182,1.9306283,5.072813e-10,455.4656,128.07674,-3.970968e-07
80,0.06995563,3.812862e-09,1.8362707e-10,6.196269e-11,1.969465,34.768036,1.507639e-06,0.24078666,1.9701709,5.017039e-10,446.21533,128.07674,-3.0827988e-07
81,0.08613532,4.6048783e-09,1.827055e-10,6.561159e-11,1.6628736,34.76049,1.534693e-06,0.24476773,2.1917286,5.058521e-10,405.165,128.07674,-9.677194e-09
82,0.08784263,4.5579482e-09,1.8179605e-10,6.632488e-11,1.4670782,34.75159,1.5218302e-06,0.25198564,2.0717854,4.981642e-10,383.58676,128.07674,-1.4375271e-07
83,0.088802345,4.668427e-09,1.8158236e-10,6.5914094e-11,1.4010024,34.74642,1.5308443e-06,0.25170064,2.1023412,4.9961635e-10,379.26694,128.07674,-1.18170675e-07
84,0.0849779,4.3474273e-09,1.7883842e-10,6.491032e-11,1.3511285,34.743534,1.526241e-06,0.25037217,2.1468332,4.9637516e-10,382.53345,128.07674,-2.3445659e-07
85,0.08622833,4.454719e-09,1.8036403e-10,6.5333204e-11,1.388983,34.742455,1.5286449e-06,0.2510281,2.1191924,4.962902e-10,380.47357,128.07674,-2.289151e-07
86,0.086035274,4.602859e-09,1.8516086e-10,6.639505e-11,1.6467022,34.74574,1.50695e-06,0.24971578,2.0840108,4.910423e-10,379.42694,128.07674,-2.3142917e-07
87,0.078841716,4.5136437e-09,1.97008e-10,6.5592726e-11,2.174833,34.759064,1.4857357e-06,0.24050866,2.2086666,4.901506e-10,386.62146,128.07674,-2.2595975e-07
88,0.06854181,4.5444386e-09,2.1460711e-10,6.25051e-11,2.7930572,34.77646,1.4619271e-06,0.23523936,2.1647384,4.9054794e-10,406.36185,128.07674,-1.1565919e-07
89,0.047044136,3.612281e-09,2.173092e-10,5.7342065e-11,3.3907897,34.79575,1.4207641e-06,0.21761513,1.7955344,4.8660687e-10,467.8709,128.07674,-3.6274753e-07
90,0.042482153,3.4073557e-09,2.1273128e-10,5.694001e-11,3.4232638,34.801823,1.3961787e-06,0.21088076,2.0495732,4.810543e-10,533.662,128.07674,-1.5012583e-06
91,0.08610091,4.812144e-09,1.9569989e-10,7.184372e-11,2.3466325,34.772385,1.4037116e-06,0.24002808,2.084909,4.6769255e-10,389.1127,128.07674,-3.3612268e-06
92,0.07121836,3.8044417e-09,1.8255567e-10,6.508376e-11,1.7866005,34.76448,1.4277588e-06,0.23923366,2.081049,4.6670695e-10,417.64615,128.07674,4.097671e-07
93,0.055058297,2.572314e-09,1.5342506e-10,5.9057925e-11,0.88315266,34.75172,1.4754905e-06,0.23737235,2.0749056,4.6886456e-10,473.8874,128.07674,1.4320449e-07
94,0.12785684,1.368157e-09,1.3408488e-10,7.225133e-11,0.046968784,34.740234,1.5928626e-06,0.2910945,2.1860924,4.9748633e-10,376.947,128.07674,9.2858045e-08
95,0.21435234,0.0085203815,1.565335e-10,9.961942e-11,-0.48969862,34.722492,1.6412624e-06,0.33323455,2.5347295,5.0946714e-10,106.79599,128.07674,8.8000434e-08
96,0.218514,0.02108832,1.534246e-10,1.0159342e-10,-0.771649,34.697823,1.6112019e-06,0.34074593,2.60675,5.0239424e-10,93.16283,128.07674,5.755851e-09
