,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
37,2.7608382e-10,1.7707873e-10,8.856338e-11,5.6405124e-11,-1.8589513,34.40347,1.1672851e-06,0.27843297,2.0421054,3.7459108e-10,119.24978,103.99735,1.6065786e-06
38,3.655466e-10,2.0993478e-10,9.0828185e-11,5.6253415e-11,-1.7609187,34.578987,1.4206507e-06,0.28114584,2.16267,4.4997545e-10,132.0498,103.99735,5.8588745e-07
39,4.7906007e-10,2.4651575e-10,9.3610245e-11,5.671572e-11,-1.6201885,34.65883,1.6272503e-06,0.284649,2.1718547,5.0888094e-10,138.67317,103.99735,1.6894649e-07
40,3.3321873e-10,1.890228e-10,8.435516e-11,5.2014688e-11,-1.4899945,34.7257,1.7785443e-06,0.25420564,2.2263048,5.470942e-10,290.31964,103.99735,1.9501431e-07
41,2.3215142e-10,1.3134083e-10,7.3490755e-11,4.4663582e-11,-1.3156432,34.73381,1.760493e-06,0.21424699,1.9070989,5.427392e-10,446.67984,103.99735,4.539629e-08
42,2.3325236e-10,1.3247223e-10,7.2955926e-11,4.441543e-11,-1.3540027,34.72658,1.74873e-06,0.2149091,1.9846857,5.3977567e-10,447.12653,103.99735,-2.8346517e-07
43,2.1400301e-10,1.233513e-10,7.161156e-11,4.3878037e-11,-1.287735,34.732117,1.7590426e-06,0.21052763,2.2109568,5.4276394e-10,533.72186,103.99735,3.2763705e-07
44,2.659878e-10,1.5840501e-10,7.665157e-11,4.69813e-11,-1.5513835,34.717567,1.7566812e-06,0.23628582,2.0230095,5.39867e-10,445.25034,103.99735,-8.3661723e-07
45,2.7781943e-10,1.6077474e-10,7.75972e-11,4.7374916e-11,-1.6405675,34.703796,1.7512655e-06,0.23508675,2.1153393,5.3816723e-10,421.5017,103.99735,-5.6207296e-07
46,2.0386931e-10,1.2366722e-10,6.933107e-11,4.2525015e-11,-1.7087382,34.692905,1.7272596e-06,0.21514119,2.021355,5.286574e-10,643.925,103.99735,-5.228765e-07
47,2.4973537e-10,1.489642e-10,7.538946e-11,4.6348765e-11,-1.7438233,34.68019,1.706078e-06,0.23764478,2.1060812,5.221008e-10,420.02258,103.99735,-5.577408e-07
48,2.4782273e-10,1.4351575e-10,7.6436746e-11,4.6646267e-11,-1.7389367,34.666046,1.6747887e-06,0.23183385,1.9220165,5.1508137e-10,344.22913,103.99735,-5.8310343e-07
49,2.484268e-10,1.4386972e-10,7.655765e-11,4.6855138e-11,-1.732816,34.655876,1.652398e-06,0.2333176,1.931683,5.101917e-10,354.36298,103.99735,-4.912123e-07
50,2.5369648e-10,1.4853226e-10,8.0320584e-11,4.873477e-11,-1.7049679,34.646233,1.607658e-06,0.26332077,2.125545,4.988787e-10,208.4368,103.99735,-3.2387175e-07
51,3.979211e-10,2.355382e-10,9.414484e-11,5.8151293e-11,-1.6106092,34.640972,1.6793243e-06,0.28970525,2.1344066,5.292137e-10,150.03525,103.99735,-5.5499072e-08
52,2.428629e-10,1.4267898e-10,7.6731385e-11,4.7523794e-11,-1.3998396,34.659637,1.6150559e-06,0.22633366,1.9186367,5.094634e-10,336.118,103.99735,2.9532646e-07
53,5.411824e-10,2.8419983e-10,9.9355975e-11,6.064293e-11,-1.3284823,34.66852,1.7023954e-06,0.29364935,2.218369,5.3609583e-10,119.17981,103.99735,5.5004546e-07
54,5.347711e-10,2.8827674e-10,1.0074965e-10,6.145787e-11,-1.3432157,34.685886,1.7512654e-06,0.30742997,2.163343,5.450002e-10,111.31734,103.99735,5.984798e-07
55,2.3905022e-10,1.408214e-10,7.690049e-11,4.741884e-11,-1.584475,34.673565,1.6458065e-06,0.2286574,2.0187027,5.0758925e-10,350.80377,103.99735,-5.862571e-07
56,2.454259e-10,1.4678496e-10,7.7127665e-11,4.765489e-11,-1.7245977,34.673595,1.6279989e-06,0.23604739,1.9640889,4.980161e-10,320.6997,103.99735,-3.3613804e-07
57,2.088198e-10,1.2432287e-10,7.195884e-11,4.4370032e-11,-1.776971,34.711964,1.6910008e-06,0.21677336,1.8586928,5.10605e-10,423.1702,103.99735,7.7331765e-07
58,2.2390227e-10,1.3612315e-10,7.306995e-11,4.493673e-11,-1.8019149,34.743862,1.7281278e-06,0.22563145,2.1483839,5.1712123e-10,432.6969,103.99735,5.1650784e-07
59,2.0265964e-10,1.236546e-10,7.070361e-11,4.353182e-11,-1.8153672,34.770515,1.7405256e-06,0.21603815,1.8824221,5.1948595e-10,577.5124,103.99735,2.7722575e-07
60,2.0773717e-10,1.2875978e-10,7.1895136e-11,4.424508e-11,-1.8165414,34.79167,1.763506e-06,0.21723452,2.1449187,5.281033e-10,550.8073,103.99735,-1.2081534e-07
61,2.4345784e-10,1.4670588e-10,7.297516e-11,4.4114996e-11,-1.807012,34.80585,1.8154974e-06,0.23161536,2.0882602,5.489062e-10,774.7687,103.99735,-5.66696e-07
62,2.611118e-10,1.5706314e-10,7.724276e-11,4.6487845e-11,-1.7940366,34.803738,1.8111757e-06,0.25895154,2.1001387,5.517714e-10,551.324,103.99735,-5.5941933e-07
63,2.5814836e-10,1.5235792e-10,7.495834e-11,4.539694e-11,-1.7706963,34.794865,1.7998817e-06,0.23509745,1.9263301,5.5245847e-10,536.37256,103.99735,-5.4480637e-07
64,3.7392545e-10,2.1567742e-10,8.962936e-11,5.4569398e-11,-1.7781732,34.777115,1.8039937e-06,0.27866045,2.0681636,5.593926e-10,164.0984,103.99735,-7.527864e-07
65,3.7639455e-10,2.1576545e-10,9.110792e-11,5.5915442e-11,-1.8309507,34.73724,1.5827064e-06,0.28474113,2.159259,4.941168e-10,135.261,103.99735,-9.868396e-07
66,3.0360356e-10,1.8872555e-10,8.9138454e-11,5.5869705e-11,-1.8678421,34.67289,1.3315685e-06,0.28069276,2.0904958,4.2140358e-10,125.74751,103.99735,6.730454e-08
67,3.7426437e-10,2.1629472e-10,9.163499e-11,5.6558896e-11,-1.8475947,34.659893,1.5054512e-06,0.2869893,2.1556573,4.706417e-10,127.34139,103.99735,1.0368371e-06
68,1.8285061e-10,1.09987484e-10,6.458155e-11,3.9426733e-11,-1.7418258,34.79199,1.8460685e-06,0.20138077,2.0857363,5.6898125e-10,747.015,103.99735,-8.1735226e-07
69,1.6190366e-10,9.994671e-11,6.3689144e-11,3.983671e-11,-1.7710295,34.778736,1.8142471e-06,0.19406119,1.8780898,5.585695e-10,729.7008,103.99735,-1.151205e-06
70,3.5850575e-10,1.9802336e-10,8.842407e-11,5.3933174e-11,-1.7855883,34.66547,1.5796322e-06,0.2731636,2.1622467,4.927838e-10,161.73924,103.99735,-1.0281274e-06
72,0.006123767,9.635406e-10,1.4326088e-10,8.450418e-11,0.48545805,34.66643,1.5660262e-06,0.3438593,2.3017983,5.1965393e-10,185.8581,128.07674,-1.0302083e-06
73,0.0376374,8.365322e-10,1.4247357e-10,9.0110294e-11,-0.0516215,34.438797,1.2152481e-06,0.3676577,2.6407323,4.1663972e-10,83.11005,128.07674,-3.303488e-06
74,3.2271115e-09,8.870195e-10,1.463164e-10,8.5945695e-11,1.2045074,34.628353,1.4220202e-06,0.3230669,2.1816864,4.864573e-10,196.87718,128.07674,-5.9128683e-07
75,3.1115266e-09,9.073941e-10,1.4762218e-10,8.50316e-11,1.6279871,34.68098,1.4650071e-06,0.30703297,2.1120255,5.034049e-10,228.039,128.07674,-5.5125633e-07
76,3.1783833e-09,9.676647e-10,1.5111223e-10,8.581527e-11,2.1146116,34.708904,1.4595068e-06,0.29988676,2.0668435,5.085135e-10,246.51903,128.07674,-4.5780916e-07
77,2.46502e-09,8.5186513e-10,1.5062604e-10,8.505224e-11,2.6008337,34.734295,1.4513253e-06,0.27983657,1.9810572,5.131371e-10,272.27725,128.07674,3.0552656e-08
78,1.9376765e-09,6.384407e-10,1.427807e-10,7.977613e-11,2.3124566,34.73913,1.4618004e-06,0.2798558,2.1617398,5.1159615e-10,324.28342,128.07674,-1.6841716e-07
79,1.678761e-09,5.88807e-10,1.3860645e-10,7.813153e-11,2.1180375,34.741177,1.4699805e-06,0.2755417,2.0319195,5.112575e-10,332.66925,128.07674,-4.3391685e-07
80,2.2891589e-09,7.750107e-10,1.4313949e-10,8.252965e-11,1.6170284,34.72906,1.4905045e-06,0.3037738,2.0897007,5.100738e-10,245.45844,128.07674,-3.943013e-07
81,2.5079023e-09,8.0128304e-10,1.4311537e-10,8.319883e-11,1.3179033,34.717274,1.4912572e-06,0.30861086,2.1128607,5.0545834e-10,228.51492,128.07674,-6.992326e-08
82,2.0367812e-09,6.3604516e-10,1.3902068e-10,8.138162e-11,1.0965115,34.702606,1.4727573e-06,0.31459343,2.2315204,4.9464366e-10,255.6044,128.07674,-1.7360392e-07
83,1.8892155e-09,6.048649e-10,1.3755269e-10,8.0842055e-11,1.0315537,34.69249,1.4573601e-06,0.3150508,2.2307043,4.8879023e-10,255.5133,128.07674,-1.4115082e-07
84,1.7373948e-09,5.7502e-10,1.3577213e-10,8.002278e-11,0.9730645,34.688145,1.4546578e-06,0.31380993,2.2096355,4.878752e-10,258.31177,128.07674,-2.426764e-07
