Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Author,Journal,Year,Resource_doi,Database,Type,Symbiosis,Spinose,Prop
11145-1BX,MARGO_0016,1,Box,32.127,-24.725,5340,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.540836654
11327-2BX,MARGO_0019,1,Box,31.305,-25.39,5380,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,0,Yes,Yes,0.610271902
11800-5BX,MARGO_0022,1,Box,28.425,-25.795,5273,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.704183267
11824-2BX,MARGO_0024,1,Box,35.788,-17.595,4715,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.350947159
11886-4BX,MARGO_0030,1,Box,52.55,-22.1,4005,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.006
11905-3BX,MARGO_0035,1,Box,58.63,-19.448,1756,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.005
12174-15,MARGO_0038,1,Multi,31.093,-21.17,4938,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.638638638
5596A,MARGO_0072,1,,40.883,-13.133,5333,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.124999999
A167-12,MARGO_0084,1,Piston,31.833,-74.35,4700,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.521651561
CH69-28,MARGO_0100,1,Piston,45.367,-5.3333,3900,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.301492537
D11798#3,MARGO_0102,1,Piston,27.563,-27.652,5210,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.653653653
D11799#1,MARGO_0103,1,Piston,28.772,-26.457,5270,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.671
D11800#2,MARGO_0104,1,Trigger,28.408,-25.812,5270,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.754
D11952,MARGO_0130,1,,37.347,-11.86,5042,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.290452261
F1KS2,MARGO_0144,1,Piston,55.55,-12.45,2783,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,1,Yes,Yes,0.021341462
F1KS45,MARGO_0150,1,Piston,49.15,-17.77,4000,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,1,Yes,Yes,0.023880598
GBA7207,MARGO_0158,1,Box,45.367,-5.333,3950,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.093812376
GG6711,MARGO_0190,1,Piston,45.9,-3.8333,1420,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.089783281
GIK12328-1,MARGO_0207,1,Box,21.145,-18.573,2816,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.063
GIK12329-1,MARGO_0208,1,Box,19.037,-19.93,3314,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.14471058
GIK15628-4,MARGO_0220,1,Box,29.083,-11.97,766,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.193419742
GIK17045-2,MARGO_0281,1,Box,52.431,-16.671,3653,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.025025025
GIK23295-4,MARGO_0311,1,Box,71.135,-5.9878,1553,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
GIK23363-1,MARGO_0332,1,Box,70.956,-5.5472,1730,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
GIK23398-2,MARGO_0342,1,Box,76.438,8.9932,2229,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
GIK23400-1,MARGO_0343,1,Box,72.352,-7.807,2628,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
GIK23402-2,MARGO_0344,1,Box,68.732,0.1667,2412,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
GIK23418-6,MARGO_0348,1,Box,52.55,-20.335,2842,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.017804155
MD952014,MARGO_0465,1,Piston,60.35,-22.04,2397,7,0,"Duprat, J.",unpublished data,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.006833713
MD952015,MARGO_0466,1,Piston,58.46,-25.58,2630,7,0,"Duprat, J.",unpublished data,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.002604167
MIKS1,MARGO_0473,1,Piston,16.45,-20.117,3503,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.30448718
NA87-22,MARGO_0485,1,Piston,55.483,-14.683,2161,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.002994012
O1KR7,MARGO_0503,1,Box,62.17,-2.48,400,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,1,Yes,Yes,0.003174603
PS1310-4,MARGO_0535,1,Box,79.985,-0.8683,2628,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
PS1313-3,MARGO_0538,1,Box,79.985,2.815,2623,513,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
SFKS9,MARGO_0609,1,Piston,44.77,-4.2198,4231,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,1,Yes,Yes,0.107407408
SU90-20,MARGO_0625,1,Piston,59.862,-39.663,2007,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0
