Event,Latitude,Longitude,Elevation [m],Depth [m],G. bulloides [%],G. falconensis [%],G. aequilateralis [%],G. calida [%],G. digitata [%],G. bradyi [%],G. glutinata [%],G. conglobatus [%],G. ruber p [%],G. ruber w [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. inflata [%],G. rubescens [%],G. tenella [%],N. dutertrei [%],N. pachyderma d [%],N. pachyderma s [%],O. universa [%],G. quinqueloba [%],P. obliquiloculata [%],G. menardii [%]
A180-72,0.6,-21.7833,-3841,0,0,3.3,4.9,0.3,0,0,14.4,0,4.6,35.6,7.2,9.5,0,0.3,0,1.3,0.3,2.3,0,0,1.3,0,2,4.9
A180-76,-0.7667,-26.0333,-3512,0,0,1.7,1.2,0.3,0.3,0,9.6,0.3,4.3,38.6,17.4,5.8,0.3,0,0,0.9,0.3,2,0.3,0,1.4,0,6.4,6.7
A181-7,10.55,-57.3333,-3766,0,0,0,5,1.4,0,0,3.8,1.2,21.8,33.9,10.3,7.9,0.4,0,0,0,0,6.5,0,0,1.8,0,0.8,2.8
A260210A,-29.1332,-34.5667,-2974,0,0.57,7.69,4.59,0,1.15,0,9.41,1.72,3.1,42.71,2.3,2.07,6.31,0.46,2.99,0.69,2.99,0.11,0.57,0,0.92,0,0,1.72
CIRCE-239,-8.28,-11.12,-3248,0,0,0.2,6.1,1.5,0.5,0,9.3,0.5,8.8,32.9,13,5.7,0,0,0.5,0.7,0.2,2.7,0.3,0,1.2,0,2,9.4
GIK12329-1,19.3667,-19.93,-3318,0,12.2,0,1.2,0.6,0,0,1.8,0,1,5.1,2.7,0.4,0.5,0,25.3,0.1,0.1,19.5,22.6,0.5,0.3,0.1,0,2.9
GIK12336-1,16.2383,-20.425,-3645,0,9,0.1,1.6,0.6,0.3,0,8.4,0,4.4,19.5,6,1.6,0.4,0,13.9,0.4,0,15.1,8,0.3,0.4,0.1,0.1,7.6
GIK12347-2,15.825,-17.8617,-2576,0,12.9,0.1,2.3,0,0,0,3.8,0,9.4,8.3,6.7,1.1,0,0,17.6,0.4,0,10.3,6.1,0,2.2,0,0.8,13.2
GIK13312-1,12.4875,-17.7905,-2175,0,26.8,0.2,1.5,0,0.5,0,5.4,0,7.3,16.8,8,0.5,0.2,0,7.1,1.2,0.7,8,4.9,0,2.7,0.2,0,3.4
GIK13519-1,5.67,-19.8517,-2862,0,4.8,0.8,4.6,1.2,0.3,0,9.4,0.5,2.3,39.9,13.7,4.4,0,0.1,1.4,0.9,2.8,5.8,0,0,0.9,0,0.5,2.5
GIK13586-3,19.408,-17.12,-660,0,31.1,0,2.1,0.7,0.3,0,0.9,0,5.1,5.3,1.1,0.3,0,0,23.4,0.5,0,13.1,11.3,0,1.2,0.8,0,1.2
GIK13587-1,19.389,-17.135,-810,0,35.3,0,2.4,0.3,0.5,0,1.9,0,5.2,5.8,2.7,0.2,0,0,21.3,0.5,0,9.8,7.1,0,0.8,0.6,0,1.3
GIK13588-2,19.374,-17.152,-970,0,31.6,1.7,3.4,0.4,0.6,0,0,0,3.4,3.7,2.3,0.6,0,0,24.3,0.4,0,9.3,14.2,0,2.4,0.1,0.1,1.7
GIK16410-1,8.91,-20.85,-3969,0,3.7,0,4.9,0,0.5,0,3.2,0.1,0,29.9,32.8,0.1,0.1,0,0.6,0,0.1,9.8,2.9,0,1.7,0,2.1,6.5
GIK16415-1,9.5667,-19.1067,-3841,0,6.2,0,3.3,0.4,0.6,0,3,0.2,0,22.4,25.2,0.1,1,0,0.8,0,0.1,17,2.6,0,2.1,0.1,1.9,11.6
