Event,Latitude,Longitude,Elevation [m],Symbiosis,Spinose,Depth [m],Relative_Abundance
A180-72,0.6,-21.7833,-3841,No,No,0,0.052000000000000005
A180-72,0.6,-21.7833,-3841,No,Yes,0,0
A180-72,0.6,-21.7833,-3841,Yes,No,0,0.23600000000000002
A180-72,0.6,-21.7833,-3841,Yes,Yes,0,1.088
A180-76,-0.7667,-26.0333,-3512,No,No,0,0.073
A180-76,-0.7667,-26.0333,-3512,No,Yes,0,0
A180-76,-0.7667,-26.0333,-3512,Yes,No,0,0.24700000000000003
A180-76,-0.7667,-26.0333,-3512,Yes,Yes,0,1.1540000000000001
A181-7,10.55,-57.3333,-3766,No,No,0,0.032
A181-7,10.55,-57.3333,-3766,No,Yes,0,0
A181-7,10.55,-57.3333,-3766,Yes,No,0,0.139
A181-7,10.55,-57.3333,-3766,Yes,Yes,0,1.4040000000000004
A260210A,-29.1332,-34.5667,-2974,No,No,0,0.0906
A260210A,-29.1332,-34.5667,-2974,No,Yes,0,0.005699999999999999
A260210A,-29.1332,-34.5667,-2974,Yes,No,0,0.1722
A260210A,-29.1332,-34.5667,-2974,Yes,Yes,0,1.1459
CIRCE-239,-8.28,-11.12,-3248,No,No,0,0.09700000000000002
CIRCE-239,-8.28,-11.12,-3248,No,Yes,0,0
CIRCE-239,-8.28,-11.12,-3248,Yes,No,0,0.24400000000000002
CIRCE-239,-8.28,-11.12,-3248,Yes,Yes,0,1.14
GeoB1015-2,-11.7775,12.8473,-1638,No,No,0,0.05
GeoB1015-2,-11.7775,12.8473,-1638,No,Yes,0,0.053
GeoB1015-2,-11.7775,12.8473,-1638,Yes,No,0,0.33399999999999996
GeoB1015-2,-11.7775,12.8473,-1638,Yes,Yes,0,1.0810000000000002
GeoB1017-3,-11.7407,10.5494,-3809,No,No,0,0.239
GeoB1017-3,-11.7407,10.5494,-3809,No,Yes,0,0.033
GeoB1017-3,-11.7407,10.5494,-3809,Yes,No,0,0.892
GeoB1017-3,-11.7407,10.5494,-3809,Yes,Yes,0,0.24200000000000002
GeoB1025-2,-17.165,10.2417,-3565,No,No,0,0.040999999999999995
GeoB1025-2,-17.165,10.2417,-3565,No,Yes,0,0.213
GeoB1025-2,-17.165,10.2417,-3565,Yes,No,0,1.005
GeoB1025-2,-17.165,10.2417,-3565,Yes,Yes,0,0.115
GeoB1027-2,-19.6558,9.1377,-2668,No,No,0,0.036000000000000004
GeoB1027-2,-19.6558,9.1377,-2668,No,Yes,0,0.221
GeoB1027-2,-19.6558,9.1377,-2668,Yes,No,0,0.8369999999999999
GeoB1027-2,-19.6558,9.1377,-2668,Yes,Yes,0,0.158
GeoB1028-4,-20.0993,9.1777,-2215,No,No,0,0.11599999999999999
GeoB1028-4,-20.0993,9.1777,-2215,No,Yes,0,0.21899999999999997
GeoB1028-4,-20.0993,9.1777,-2215,Yes,No,0,0.676
GeoB1028-4,-20.0993,9.1777,-2215,Yes,Yes,0,0.185
GeoB1029-1,-21.0631,8.2288,-3420,No,No,0,0.125
GeoB1029-1,-21.0631,8.2288,-3420,No,Yes,0,0.278
GeoB1029-1,-21.0631,8.2288,-3420,Yes,No,0,0.494
GeoB1029-1,-21.0631,8.2288,-3420,Yes,Yes,0,0.157
GeoB1030-3,-21.0768,7.7786,-1326,No,No,0,0.225
GeoB1030-3,-21.0768,7.7786,-1326,No,Yes,0,0.27699999999999997
GeoB1030-3,-21.0768,7.7786,-1326,Yes,No,0,0.45299999999999996
GeoB1030-3,-21.0768,7.7786,-1326,Yes,Yes,0,0.177
GeoB1031-2,-21.883,7.1017,-3103,No,No,0,0.281
GeoB1031-2,-21.883,7.1017,-3103,No,Yes,0,0.142
GeoB1031-2,-21.883,7.1017,-3103,Yes,No,0,0.5670000000000001
GeoB1031-2,-21.883,7.1017,-3103,Yes,Yes,0,0.24599999999999997
GeoB1032-2,-22.9133,6.0267,-2490,No,No,0,0.23799999999999996
GeoB1032-2,-22.9133,6.0267,-2490,No,Yes,0,0.08199999999999999
GeoB1032-2,-22.9133,6.0267,-2490,Yes,No,0,0.609
GeoB1032-2,-22.9133,6.0267,-2490,Yes,Yes,0,0.33799999999999997
GeoB1033-3,-22.0533,5.535,-3147,No,No,0,0.21599999999999997
GeoB1033-3,-22.0533,5.535,-3147,No,Yes,0,0.085
GeoB1033-3,-22.0533,5.535,-3147,Yes,No,0,0.6459999999999999
GeoB1033-3,-22.0533,5.535,-3147,Yes,Yes,0,0.343
GeoB1034-2,-21.7167,5.4317,-3800,No,No,0,0.237
GeoB1034-2,-21.7167,5.4317,-3800,No,Yes,0,0.11
GeoB1034-2,-21.7167,5.4317,-3800,Yes,No,0,0.6030000000000001
GeoB1034-2,-21.7167,5.4317,-3800,Yes,Yes,0,0.361
GeoB1046-2,7.3433,-20.4717,-3914,No,No,0,0.047
GeoB1046-2,7.3433,-20.4717,-3914,No,Yes,0,0.049
GeoB1046-2,7.3433,-20.4717,-3914,Yes,No,0,0.185
GeoB1046-2,7.3433,-20.4717,-3914,Yes,Yes,0,1.0150000000000001
GeoB1104-4,-1.1633,-10.725,-3715,No,No,0,0.054000000000000006
GeoB1104-4,-1.1633,-10.725,-3715,No,Yes,0,0.05
GeoB1104-4,-1.1633,-10.725,-3715,Yes,No,0,0.241
GeoB1104-4,-1.1633,-10.725,-3715,Yes,Yes,0,1.073
GeoB1105-4,-1.665,-12.4283,-3225,No,No,0,0.065
GeoB1105-4,-1.665,-12.4283,-3225,No,Yes,0,0.04
GeoB1105-4,-1.665,-12.4283,-3225,Yes,No,0,0.31499999999999995
