Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
10-4bx,46.63,-13.273,4522,No,No,0.9840000000000001
10-4bx,46.63,-13.273,4522,No,Yes,0.174
10-4bx,46.63,-13.273,4522,Yes,No,0.254
10-4bx,46.63,-13.273,4522,Yes,Yes,0.099
10552-9bx,19.455,-29.893,4855,No,No,0.294
10552-9bx,19.455,-29.893,4855,No,Yes,0.01
10552-9bx,19.455,-29.893,4855,Yes,No,0.248
10552-9bx,19.455,-29.893,4855,Yes,Yes,1.1840000000000002
10611Tc,52.517,-31.817,3820,No,No,0.5670000000000001
10611Tc,52.517,-31.817,3820,No,Yes,0.43799999999999994
10611Tc,52.517,-31.817,3820,Yes,No,0.18100000000000002
10611Tc,52.517,-31.817,3820,Yes,Yes,0.015
10699-1p,30.73,-24.483,5431,No,No,0.272
10699-1p,30.73,-24.483,5431,No,Yes,0.083
10699-1p,30.73,-24.483,5431,Yes,No,0.373
10699-1p,30.73,-24.483,5431,Yes,Yes,0.752
10705-7bx,38.585,-12.535,4825,No,No,0.588
10705-7bx,38.585,-12.535,4825,No,Yes,0.14
10705-7bx,38.585,-12.535,4825,Yes,No,0.358
10705-7bx,38.585,-12.535,4825,Yes,Yes,0.32799999999999996
10970-1p,31.477,-25.092,5272,No,No,0.29300000000000004
10970-1p,31.477,-25.092,5272,No,Yes,0.122
10970-1p,31.477,-25.092,5272,Yes,No,0.26899999999999996
10970-1p,31.477,-25.092,5272,Yes,Yes,0.8109999999999999
10975-1p,31.517,-25.038,5356,No,No,0.331
10975-1p,31.517,-25.038,5356,No,Yes,0.153
10975-1p,31.517,-25.038,5356,Yes,No,0.35
10975-1p,31.517,-25.038,5356,Yes,Yes,0.5920000000000001
11-4bx,46.068,-12.472,4740,No,No,0.9779999999999999
11-4bx,46.068,-12.472,4740,No,Yes,0.20600000000000002
11-4bx,46.068,-12.472,4740,Yes,No,0.21600000000000003
11-4bx,46.068,-12.472,4740,Yes,Yes,0.092
11106-5,49.837,-14.053,3975,No,No,0.8810000000000001
11106-5,49.837,-14.053,3975,No,Yes,0.247
11106-5,49.837,-14.053,3975,Yes,No,0.257
11106-5,49.837,-14.053,3975,Yes,Yes,0.04100000000000001
11107-1,50.298,-13.398,2723,No,No,0.858
11107-1,50.298,-13.398,2723,No,Yes,0.263
11107-1,50.298,-13.398,2723,Yes,No,0.233
11107-1,50.298,-13.398,2723,Yes,Yes,0.031
11108-1,51.058,-12.965,2000,No,No,0.9499999999999998
11108-1,51.058,-12.965,2000,No,Yes,0.22399999999999998
11108-1,51.058,-12.965,2000,Yes,No,0.229
11108-1,51.058,-12.965,2000,Yes,Yes,0.027999999999999997
11108-2,51.062,-12.945,2000,No,No,0.8690000000000001
11108-2,51.062,-12.945,2000,No,Yes,0.22699999999999998
11108-2,51.062,-12.945,2000,Yes,No,0.268
11108-2,51.062,-12.945,2000,Yes,Yes,0.022000000000000002
11109-1,51.582,-13.005,1350,No,No,0.8499999999999999
11109-1,51.582,-13.005,1350,No,Yes,0.207
11109-1,51.582,-13.005,1350,Yes,No,0.285
11109-1,51.582,-13.005,1350,Yes,Yes,0.024
11138-1bx,31.437,-24.823,5340,No,No,0.207
11138-1bx,31.437,-24.823,5340,No,Yes,0.053
11138-1bx,31.437,-24.823,5340,Yes,No,0.25299999999999995
11138-1bx,31.437,-24.823,5340,Yes,Yes,1.1250000000000002
11139-8bx,31.422,-25.203,5340,No,No,0.245
11139-8bx,31.422,-25.203,5340,No,Yes,0.129
11139-8bx,31.422,-25.203,5340,Yes,No,0.265
11139-8bx,31.422,-25.203,5340,Yes,Yes,0.899
11145-1bx,32.127,-24.725,5340,No,No,0.245
11145-1bx,32.127,-24.725,5340,No,Yes,0.105
11145-1bx,32.127,-24.725,5340,Yes,No,0.281
11145-1bx,32.127,-24.725,5340,Yes,Yes,0.9250000000000002
11146-1bx,32.607,-24.388,5340,No,No,0.39000000000000007
11146-1bx,32.607,-24.388,5340,No,Yes,0.131
11146-1bx,32.607,-24.388,5340,Yes,No,0.298
11146-1bx,32.607,-24.388,5340,Yes,Yes,0.6779999999999999
11147-5bx,48.71,-14.677,4382,No,No,1.1640000000000001
11147-5bx,48.71,-14.677,4382,No,Yes,0.14400000000000002
11147-5bx,48.71,-14.677,4382,Yes,No,0.237
11147-5bx,48.71,-14.677,4382,Yes,Yes,0.027999999999999997
11327-2bx,31.305,-25.39,5380,No,No,0.16699999999999998
11327-2bx,31.305,-25.39,5380,No,Yes,0.08800000000000001
11327-2bx,31.305,-25.39,5380,Yes,No,0.24799999999999997
11327-2bx,31.305,-25.39,5380,Yes,Yes,1.0839999999999999
11342-3bx,46.65,-13.247,4526,No,No,0.81
11342-3bx,46.65,-13.247,4526,No,Yes,0.24100000000000002
11342-3bx,46.65,-13.247,4526,Yes,No,0.263
11342-3bx,46.65,-13.247,4526,Yes,Yes,0.081
11343-3bx,49.715,-14.693,4365,No,No,1.1269999999999998
11343-3bx,49.715,-14.693,4365,No,Yes,0.14800000000000002
11343-3bx,49.715,-14.693,4365,Yes,No,0.22
11343-3bx,49.715,-14.693,4365,Yes,Yes,0.044000000000000004
11800-5bx,28.425,-25.795,5273,No,No,0.149
11800-5bx,28.425,-25.795,5273,No,Yes,0.054000000000000006
11800-5bx,28.425,-25.795,5273,Yes,No,0.243
11800-5bx,28.425,-25.795,5273,Yes,Yes,1.1979999999999997
11804-4bx,26.872,-27.12,4790,No,No,0.151
11804-4bx,26.872,-27.12,4790,No,Yes,0.064
11804-4bx,26.872,-27.12,4790,Yes,No,0.16799999999999998
11804-4bx,26.872,-27.12,4790,Yes,Yes,1.3130000000000002
11824-2bx,35.788,-17.595,4715,No,No,0.3950000000000001
11824-2bx,35.788,-17.595,4715,No,Yes,0.217
11824-2bx,35.788,-17.595,4715,Yes,No,0.27099999999999996
11824-2bx,35.788,-17.595,4715,Yes,Yes,0.499
11879-3bx,47.807,-21.643,4053,No,No,0.602
11879-3bx,47.807,-21.643,4053,No,Yes,0.27699999999999997
11879-3bx,47.807,-21.643,4053,Yes,No,0.33599999999999997
11879-3bx,47.807,-21.643,4053,Yes,Yes,0.049
11880-5bx,47.775,-19.713,4540,No,No,0.6950000000000002
11880-5bx,47.775,-19.713,4540,No,Yes,0.301
11880-5bx,47.775,-19.713,4540,Yes,No,0.29400000000000004
11880-5bx,47.775,-19.713,4540,Yes,Yes,0.036000000000000004
11881-4bx,49.792,-21.233,4067,No,No,0.8530000000000001
11881-4bx,49.792,-21.233,4067,No,Yes,0.23399999999999999
11881-4bx,49.792,-21.233,4067,Yes,No,0.299
11881-4bx,49.792,-21.233,4067,Yes,Yes,0.014000000000000002
11883-1bx,50.122,-21.2,2865,No,No,0.8150000000000002
11883-1bx,50.122,-21.2,2865,No,Yes,0.267
11883-1bx,50.122,-21.2,2865,Yes,No,0.276
11883-1bx,50.122,-21.2,2865,Yes,Yes,0.013000000000000001
11884-2bx,51.74,-22.583,2365,No,No,1.0299999999999998
11884-2bx,51.74,-22.583,2365,No,Yes,0.136
11884-2bx,51.74,-22.583,2365,Yes,No,0.28600000000000003
11884-2bx,51.74,-22.583,2365,Yes,Yes,0.032
11886-4bx,52.55,-22.1,4005,No,No,0.8519999999999999
11886-4bx,52.55,-22.1,4005,No,Yes,0.192
11886-4bx,52.55,-22.1,4005,Yes,No,0.34299999999999997
11886-4bx,52.55,-22.1,4005,Yes,Yes,0.009
11889-4bx,53.703,-21.327,3275,No,No,0.8969999999999999
11889-4bx,53.703,-21.327,3275,No,Yes,0.226
11889-4bx,53.703,-21.327,3275,Yes,No,0.292
11889-4bx,53.703,-21.327,3275,Yes,Yes,0.012000000000000002
11891-3bx,55.192,-20.35,2017,No,No,0.889
11891-3bx,55.192,-20.35,2017,No,Yes,0.231
11891-3bx,55.192,-20.35,2017,Yes,No,0.23199999999999998
11891-3bx,55.192,-20.35,2017,Yes,Yes,0.016
11896-3bx,59.113,-20.142,2790,No,No,0.8299999999999998
11896-3bx,59.113,-20.142,2790,No,Yes,0.27399999999999997
11896-3bx,59.113,-20.142,2790,Yes,No,0.261
11896-3bx,59.113,-20.142,2790,Yes,Yes,0.006000000000000001
11905-3bx,57.992,-16.507,1150,No,No,0.9249999999999998
11905-3bx,57.992,-16.507,1150,No,Yes,0.2
11905-3bx,57.992,-16.507,1150,Yes,No,0.255
11905-3bx,57.992,-16.507,1150,Yes,Yes,0.006
11905-3bx,58.63,-19.448,1756,No,No,0.7809999999999999
11905-3bx,58.63,-19.448,1756,No,Yes,0.258
11905-3bx,58.63,-19.448,1756,Yes,No,0.272
11905-3bx,58.63,-19.448,1756,Yes,Yes,0.005
11908-22,48.835,-11.473,4847,No,No,1.1
11908-22,48.835,-11.473,4847,No,Yes,0.154
