,bn,bs,sn,ss,sst,sal,po4,light,chl_total,fe,mld
7,0.9567367349617814,0.03710948863519638,0.004825976204789787,0.0013278001982324527,-1.8660407,34.661716,3.6739362e-07,59.351826,1.6447465,4.0840795e-10,136.89897
8,0.9668990941918022,0.030134702870010483,0.002296507340648134,0.0006696955975391262,-1.86273,34.67901,4.435753e-07,59.351826,1.6910866,4.384398e-10,115.127884
9,0.9612433664122813,0.03390961121458151,0.0037694620770201367,0.00107756029611702,-1.8637649,34.68691,4.2534256e-07,59.351826,1.7437791,4.3175222e-10,134.35287
10,0.9601816151661324,0.034626742152932426,0.004057067628764732,0.001134575052170365,-1.8642994,34.687485,4.1815125e-07,59.351826,1.6688483,4.297856e-10,138.46199
11,0.9580191153441241,0.036200511880021345,0.00453381354500501,0.001246559230849645,-1.8652887,34.68193,3.911571e-07,59.351826,1.6551173,4.2017662e-10,136.43134
20,0.9236145176796163,0.05991224001486317,0.01346443551034867,0.003008806795171937,-1.863243,34.59848,2.6424658e-07,59.351826,1.7164712,4.638294e-10,140.3281
21,0.9407301877358883,0.04801486818887207,0.009065147281074758,0.002189796794164755,-1.8628458,34.61238,3.0707596e-07,59.351826,1.7692871,4.819052e-10,148.3557
22,0.9368858815524446,0.050712448996201885,0.010031009128823262,0.0023706603225301087,-1.862597,34.604427,3.0258127e-07,59.351826,1.7512169,4.8103926e-10,144.52455
36,0.9999999736814392,2.5460308438345866e-08,6.063020928255205e-10,2.5194994879859836e-10,-1.8486583,34.485184,4.98121e-07,96.760216,2.0103323,4.9769694e-10,135.8282
37,0.9999999745300587,2.4645005135625015e-08,5.819233495727734e-10,2.430127457872376e-10,-1.8453163,34.49303,5.2773584e-07,96.760216,1.9979439,5.0539617e-10,135.02396
38,0.9999999756071941,2.3607234316351638e-08,5.53077248594843e-10,2.3249423237993665e-10,-1.8410668,34.483692,5.452372e-07,96.760216,2.0070932,5.101641e-10,132.93532
39,0.9999999761917652,2.3051281857669017e-08,5.324132404421418e-10,2.245397516418409e-10,-1.8399379,34.47578,5.684239e-07,96.760216,2.0177672,5.158542e-10,131.73042
40,0.9999999760927235,2.3225489666633112e-08,4.781053653674093e-10,2.0368127458596202e-10,-1.8286895,34.481937,6.188431e-07,96.760216,2.0431228,5.288254e-10,129.62794
41,0.9999999753459822,2.4014917509699552e-08,4.472060823633853e-10,1.9189425286686796e-10,-1.8143277,34.507355,6.673041e-07,96.760216,2.0590992,5.405017e-10,128.69725
42,0.999999976135477,2.3188553948636852e-08,4.739003600109097e-10,2.020686365599874e-10,-1.8220627,34.52479,6.568887e-07,96.760216,2.046252,5.3342014e-10,129.84535
43,0.9999999765852975,2.2735771711396816e-08,4.750699657230333e-10,2.0386078919671295e-10,-1.8214958,34.541252,6.3713554e-07,96.760216,2.0659754,5.2134486e-10,124.59089
44,0.9999999762373353,2.2982790539313478e-08,5.47441918206263e-10,2.3243227964786964e-10,-1.8426048,34.536816,5.634607e-07,96.760216,2.0276308,4.994128e-10,128.75461
45,0.9999999748811814,2.4237189746133034e-08,6.199035908960355e-10,2.617252516369795e-10,-1.8500038,34.5469,5.0009623e-07,96.760216,2.0012052,4.794394e-10,131.15465
46,0.9999999742449805,2.483502418181193e-08,6.471811823603076e-10,2.72814253141386e-10,-1.851826,34.557438,4.7919144e-07,96.760216,1.9935629,4.729549e-10,131.53052
47,0.9999999730550371,2.598519968740089e-08,6.76099651995841e-10,2.836634731294945e-10,-1.8556435,34.57138,4.6845142e-07,96.760216,1.9806658,4.695799e-10,133.79128
48,0.9999999731020119,2.5989916883912834e-08,6.405157530446458e-10,2.6755541009223517e-10,-1.8554314,34.591297,5.1218746e-07,96.760216,1.9975797,4.825352e-10,135.65158
49,0.9999999746220395,2.452376803252566e-08,6.010407603882512e-10,2.53151726892493e-10,-1.8527472,34.585938,5.385865e-07,96.760216,1.9947804,4.8829224e-10,133.42247
50,0.9999999753500878,2.384344287239332e-08,5.664521707498052e-10,2.4001726324629597e-10,-1.848212,34.58461,5.7458e-07,96.760216,2.0076756,4.952778e-10,132.10498
51,0.9999999759298905,2.32844792101899e-08,5.509758533590409e-10,2.3465431185927276e-10,-1.8421241,34.56819,5.951355e-07,96.760216,2.0213795,4.958761e-10,130.14528
52,0.9999999756947311,2.3514389046037885e-08,5.533462153280546e-10,2.375335539627774e-10,-1.8379744,34.512924,5.5678964e-07,96.760216,2.0361755,4.7965254e-10,125.85547
53,0.9999999729906799,2.5951503689004293e-08,7.424887727656953e-10,3.153276974763761e-10,-1.8406032,34.39938,4.3202715e-07,96.760216,1.9977227,4.3891576e-10,122.94142
54,0.9999999712727528,2.7213345991446616e-08,1.0351065671824419e-09,4.787947735920387e-10,-1.8367144,34.20114,2.5259018e-07,96.760216,2.0692856,3.772921e-10,90.108406
56,0.9999999635350969,3.501942949142462e-08,1.038417005111022e-09,4.070567320417926e-10,-1.8614289,34.52584,3.189188e-07,96.760216,1.9796345,5.1624083e-10,141.97148
57,0.9999999753331303,2.385810118632647e-08,5.743910271068985e-10,2.3437752345186697e-10,-1.8542854,34.553745,4.2232077e-07,96.760216,1.9920896,5.397321e-10,135.3657
58,0.9999999522043946,4.6565268975362336e-08,9.108849168939652e-10,3.1945134497318525e-10,-1.8582121,34.560677,4.3592865e-07,96.760216,1.9772555,5.512332e-10,167.78162
