Year,Group,pCO2 (mol),pCO2 (ppm),Temperature
2022.5,1p5,7.43805380603e+16,420.419,13.527872
2023.5,1p5,7.4539782433e+16,421.319,13.546536
2024.5,1p5,7.45850974256e+16,421.575,13.562031
2025.5,1p5,7.46297508337e+16,421.82800000000003,13.575248
2026.5,1p5,7.46741439336e+16,422.079,13.587867
2027.5,1p5,7.47179980463e+16,422.326,13.60014
2028.5,1p5,7.47615883139e+16,422.573,13.611355
2029.5,1p5,7.48052576056e+16,422.82,13.62126
2030.5,1p5,7.48488482002e+16,423.066,13.630851
2031.5,1p5,7.48924437126e+16,423.312,13.640258
2032.5,1p5,7.49359951926e+16,423.559,13.648288
2033.5,1p5,7.49794195849e+16,423.80400000000003,13.656846
2034.5,1p5,7.50228993957e+16,424.04999999999995,13.664989
2035.5,1p5,7.50663991053e+16,424.296,13.671858
2036.5,1p5,7.5109707735e+16,424.541,13.679633
2037.5,1p5,7.51529194567e+16,424.785,13.686324
2038.5,1p5,7.51961369277e+16,425.029,13.693971
2039.5,1p5,7.5239075309e+16,425.272,13.700576
2040.5,1p5,7.52823440769e+16,425.516,13.707703
2041.5,1p5,7.53255671001e+16,425.76099999999997,13.714379
2042.5,1p5,7.53687412646e+16,426.00500000000005,13.72052
2043.5,1p5,7.54120417229e+16,426.249,13.725944
2044.5,1p5,7.54552206358e+16,426.493,13.732454
2045.5,1p5,7.54984643751e+16,426.738,13.737501
2046.5,1p5,7.5541524335e+16,426.981,13.744364
2047.5,1p5,7.55845346341e+16,427.224,13.750682
2048.5,1p5,7.56275652834e+16,427.468,13.756157
2049.5,1p5,7.56707813564e+16,427.712,13.76183
2050.5,1p5,7.57138430425e+16,427.955,13.767926
2051.5,1p5,7.57568626358e+16,428.19800000000004,13.773088
2052.5,1p5,7.57999136832e+16,428.442,13.778348
2053.5,1p5,7.58429770726e+16,428.685,13.784065
2054.5,1p5,7.58859179201e+16,428.928,13.789354
2055.5,1p5,7.59289762198e+16,429.171,13.794263
2056.5,1p5,7.59720239784e+16,429.415,13.799696
2057.5,1p5,7.60149706156e+16,429.657,13.804814
2058.5,1p5,7.60580082408e+16,429.901,13.810504
2059.5,1p5,7.61009362394e+16,430.14300000000003,13.816576
2060.5,1p5,7.61441678576e+16,430.38800000000003,13.820324
2061.5,1p5,7.61872391447e+16,430.63100000000003,13.824995
2062.5,1p5,7.62303649828e+16,430.875,13.830825
2063.5,1p5,7.62731968523e+16,431.117,13.835339
2064.5,1p5,7.63162562464e+16,431.36,13.839796
2065.5,1p5,7.63591822338e+16,431.603,13.844197
2066.5,1p5,7.64023905816e+16,431.84700000000004,13.848758
2067.5,1p5,7.64454426753e+16,432.09,13.854225
2068.5,1p5,7.64885857954e+16,432.334,13.857889
2069.5,1p5,7.65314325693e+16,432.576,13.863659
2070.5,1p5,7.65744844189e+16,432.82,13.867802
2071.5,1p5,7.66174963883e+16,433.06300000000005,13.872045
2072.5,1p5,7.66602973236e+16,433.305,13.876207
2073.5,1p5,7.67032916223e+16,433.548,13.879993
2074.5,1p5,7.67462927728e+16,433.791,13.884158
2075.5,1p5,7.67892647573e+16,434.03400000000005,13.888612
2076.5,1p5,7.68321965817e+16,434.276,13.892617
2077.5,1p5,7.68752620932e+16,434.52,13.897354
2078.5,1p5,7.69182571566e+16,434.76300000000003,13.901305
2079.5,1p5,7.69611712721e+16,435.00500000000005,13.905311
2080.5,1p5,7.70038340286e+16,435.247,13.909578
2081.5,1p5,7.70469700447e+16,435.49,13.912937
2082.5,1p5,7.70902251684e+16,435.73499999999996,13.918119
2083.5,1p5,7.71329943907e+16,435.977,13.923537
2084.5,1p5,7.71757189265e+16,436.218,13.926918
2085.5,1p5,7.72188094707e+16,436.462,13.930573
2086.5,1p5,7.72618510581e+16,436.70500000000004,13.936079
2087.5,1p5,7.73046907114e+16,436.947,13.939238
2088.5,1p5,7.7347641227e+16,437.19,13.943552
2089.5,1p5,7.73906895371e+16,437.433,13.946582
